"Lipid","Feature","SumOfAllFragmentsIntensities","Class","Adduct"
"1_Cer(d18:1/22:0)+HCO2","287",48617.062,"Cer","[M+HCO2]-"
"1_Cer(d18:1/23:0)+HCO2","227",70615.5652,"Cer","[M+HCO2]-"
"1_Cer(d18:1/24:0)+HCO2","108",372051.09,"Cer","[M+HCO2]-"
"1_Cer(d18:1/24:0)+HCO2","3271",372051.09,"Cer","[M+HCO2]-"
"1_Cer(d18:1/24:1)+HCO2","366",53950.1194,"Cer","[M+HCO2]-"
"1_Cer(d18:1/24:1)+HCO2","470",53950.1194,"Cer","[M+HCO2]-"
"1_Cer(d18:2/24:0)+HCO2","366",55636.4912,"Cer","[M+HCO2]-"
"1_Cer(d18:2/24:0)+HCO2","470",55636.4912,"Cer","[M+HCO2]-"
"1_DMPE(16:0_16:0)-H","193",384165.567,"DMPE","[M-H]-"
"1_LPC(14:0)+HCO2","194",466774.4276,"LPC","[M+HCO2]-"
"1_LPC(14:0)+HCO2","2578",466774.4276,"LPC","[M+HCO2]-"
"1_LPC(16:0)+HCO2","8",5291641.189,"LPC","[M+HCO2]-"
"1_LPC(16:0)+HCO2","3825",3280594.12,"LPC","[M+HCO2]-"
"1_LPC(16:1)+HCO2","137",449385.8745,"LPC","[M+HCO2]-"
"1_LPC(17:0)+HCO2","37",1012099.4365,"LPC","[M+HCO2]-"
"1_LPC(17:0)+HCO2","1949",1012099.4365,"LPC","[M+HCO2]-"
"1_LPC(17:0)+HCO2","3884",1012099.4365,"LPC","[M+HCO2]-"
"1_LPC(18:0)+HCO2","18",10078772.588,"LPC","[M+HCO2]-"
"1_LPC(18:0)+HCO2","3880",10078772.588,"LPC","[M+HCO2]-"
"1_LPC(18:1)+HCO2","50",2016739.152,"LPC","[M+HCO2]-"
"1_LPC(18:2)+HCO2","28",2932020.045,"LPC","[M+HCO2]-"
"1_LPC(18:2)+HCO2","276",2932020.045,"LPC","[M+HCO2]-"
"1_LPC(18:3)+HCO2","352",124409.3358,"LPC","[M+HCO2]-"
"1_LPC(19:0)+HCO2","51",1530918.6062,"LPC","[M+HCO2]-"
"1_LPC(19:0)+HCO2","1955",1530918.6062,"LPC","[M+HCO2]-"
"1_LPC(19:0)+HCO2","3887",91476.3212,"LPC","[M+HCO2]-"
"1_LPC(20:3)+HCO2","179",144626.096,"LPC","[M+HCO2]-"
"1_LPC(20:3)+HCO2","3808",144626.096,"LPC","[M+HCO2]-"
"1_LPC(20:4)+HCO2","92",631917.498,"LPC","[M+HCO2]-"
"1_LPC(20:4)+HCO2","786",631917.498,"LPC","[M+HCO2]-"
"1_LPC(20:5)+HCO2","1954",19136.956,"LPC","[M+HCO2]-"
"1_LPC(22:6)+HCO2","241",161897.724,"LPC","[M+HCO2]-"
"1_LPE(16:0)-H","266",125675.2742,"LPE","[M-H]-"
"1_LPE(18:0)-H","197",631074.6734,"LPE","[M-H]-"
"1_LPE(18:1)-H","224",365771.4078,"LPE","[M-H]-"
"1_LPE(18:2)-H","176",219458.6687,"LPE","[M-H]-"
"1_LPE(20:4)-H","243",60613.9791,"LPE","[M-H]-"
"1_LPE(22:6)-H","393",21429.74,"LPE","[M-H]-"
"1_MMPE(16:0_17:0)-H","193",1337380.367,"MMPE","[M-H]-"
"1_PC(14:0_16:0)+HCO2","292",260220.073,"PC","[M+HCO2]-"
"1_PC(14:0_18:0)+HCO2","654",194544.8989,"PC","[M+HCO2]-"
"1_PC(14:0_18:1)+HCO2","160",186759.192,"PC","[M+HCO2]-"
"1_PC(14:0_18:1)+HCO2","2194",186759.192,"PC","[M+HCO2]-"
"1_PC(14:0_18:2)+HCO2","226",245040.5292,"PC","[M+HCO2]-"
"1_PC(14:0_20:3)+HCO2","185",209954.818,"PC","[M+HCO2]-"
"1_PC(15:0_18:2)+HCO2","220",311252.9851,"PC","[M+HCO2]-"
"1_PC(15:0_20:4)+HCO2","458",124325.3694,"PC","[M+HCO2]-"
