"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","RT at Max Intensity","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Number of Scans","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Max Intensity","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Average m/z","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment"
"","CL(14:0_14:0_14:0_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_14:0_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_14:0_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_14:0_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_14:0_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_14:0_22:5)-2H","670.4397179","565.3411479","460.2420279","565.3411479","409.2185679","363.19408","363.19408","363.19408","465.241","227.20153","227.20153","227.20153","329.24845","2.93351060606061","3.23351060606061","3661"
"","CL(14:0_14:0_16:1_20:4)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_16:1_20:4)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_16:1_20:4)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_16:1_20:4)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_16:1_20:4)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_16:1_20:4)-2H","670.4397179","565.3411479","460.2420279","552.3333279","409.2185679","363.19408","363.19408","389.20972","439.22536","227.20153","227.20153","253.21717","303.23281","2.93351060606061","3.23351060606061","3661"
"","CL(14:0_14:0_18:2_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_18:2_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_18:2_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_18:2_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_18:2_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_14:0_18:2_18:3)-2H","670.4397179","565.3411479","460.2420279","539.3255079","409.2185679","363.19408","363.19408","415.22536","413.20972","227.20153","227.20153","279.23281","277.21717","2.93351060606061","3.23351060606061","3661"
"","CL(14:0_16:1_16:1_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_16:1_16:1_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_16:1_16:1_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_16:1_16:1_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_16:1_16:1_18:3)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","CL(14:0_16:1_16:1_18:3)-2H","670.4397179","565.3411479","447.2342079","552.3333279","422.2263879","363.19408","389.20972","389.20972","413.20972","227.20153","253.21717","253.21717","277.21717","2.93351060606061","3.23351060606061","3661"
"","CL(14:0_20:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:0_22:5_22:6)-2H","762.5023182","657.4037482","510.2577082","606.3802882","451.2655282","363.19408","447.28792","465.241","463.22536","227.20153","311.29537","329.24845","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(14:0_20:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(14:0_20:1_22:5_22:5)-2H","762.5023182","657.4037482","511.2655282","606.3802882","450.2577082","363.19408","445.27228","465.241","465.241","227.20153","309.27973","329.24845","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(16:0_18:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:0_22:5_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:0_22:5_22:6)-2H","762.5023182","643.3881082","510.2577082","606.3802882","451.2655282","391.22536","419.25664","465.241","463.22536","255.23281","283.26409","329.24845","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(16:0_18:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:1_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_18:1_22:5_22:5)-2H","762.5023182","643.3881082","511.2655282","606.3802882","450.2577082","391.22536","417.241","465.241","465.241","255.23281","281.24845","329.24845","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(16:0_20:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:1_20:4_22:6)-2H","762.5023182","643.3881082","497.2498882","619.3881082","464.2733482","391.22536","445.27228","439.22536","463.22536","255.23281","309.27973","303.23281","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(16:0_20:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:3_22:6)-2H","762.5023182","643.3881082","498.2577082","618.3802882","463.2655282","391.22536","443.25664","441.241","463.22536","255.23281","307.26409","305.24845","327.23281","5.44704393939394","5.74704393939394","2550"
