"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer_ADS(d16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d16:0/27:0)-H","680.65625","662.64565","648.63005","632.63505","272.26005","450.43165","254.24945","432.42115","240.23385","407.39005","211.20725","379.39505","11.7277909090909","12.0277909090909","1062"
"","Cer_ADS(d16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d16:0/27:1)-H","678.64055","660.63005","646.61435","630.61945","272.26005","448.41605","254.24945","430.40545","240.23385","405.37435","211.20725","377.37945","10.9600636363636","11.2600636363636","1038"
"","Cer_ADS(d17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d17:0/26:0)-H","680.65625","662.64565","648.63005","632.63505","286.27565","436.41605","268.26515","418.40545","254.24945","393.37435","225.22295","365.37945","11.7277909090909","12.0277909090909","1062"
"","Cer_ADS(d17:0/26:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d17:0/26:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d17:0/26:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d17:0/26:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d17:0/26:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d17:0/26:1)-H","678.64055","660.63005","646.61435","630.61945","286.27565","434.40035","268.26515","416.38985","254.24945","391.35875","225.22295","363.36385","10.9600636363636","11.2600636363636","1038"
"","Cer_ADS(d18:0/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d18:0/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d18:0/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d18:0/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d18:0/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d18:0/25:0)-H","680.65625","662.64565","648.63005","632.63505","300.29135","422.40035","282.28075","404.38985","268.26515","379.35875","239.23855","351.36385","11.7277909090909","12.0277909090909","1062"
"","Cer_ADS(d18:0/25:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d18:0/25:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d18:0/25:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d18:0/25:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d18:0/25:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d18:0/25:1)-H","678.64055","660.63005","646.61435","630.61945","300.29135","420.38475","282.28075","402.37415","268.26515","377.34305","239.23855","349.34815","10.9600636363636","11.2600636363636","1038"
"","Cer_ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d19:0/24:0)-H","680.65625","662.64565","648.63005","632.63505","314.30705","408.38475","296.29645","390.37415","282.28075","365.34305","253.25425","337.34815","11.7277909090909","12.0277909090909","1062"
"","Cer_ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d19:0/24:1)-H","678.64055","660.63005","646.61435","630.61945","314.30705","406.36905","296.29645","388.35845","282.28075","363.32745","253.25425","335.33245","10.9600636363636","11.2600636363636","1038"
"","Cer_ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_ADS(d20:0/23:0)-H","680.65625","662.64565","648.63005","632.63505","328.32265","394.36905","310.31215","376.35845","296.29645","351.32745","267.26985","323.33245","11.7277909090909","12.0277909090909","1062"
"","Cer_ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_ADS(d20:0/23:1)-H","678.64055","660.63005","646.61435","630.61945","328.32265","392.35345","310.31215","374.34285","296.29645","349.31175","267.26985","321.31685","10.9600636363636","11.2600636363636","1038"
