"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Average m/z","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment"
"","Cer_AP(t16:0/19:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t16:0/19:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t16:0/19:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t16:0/19:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t16:0/19:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t16:0/19:4)+HCO2","622.46885","576.46335","360.25385","305.21275","259.20725","197.19055","5.76597878787879","6.06597878787879","703"
"","Cer_AP(t16:0/25:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t16:0/25:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t16:0/25:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t16:0/25:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t16:0/25:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t16:0/25:3)+HCO2","708.57835","662.57285","446.36345","391.32235","345.31685","197.19055","9.63075303030303","9.93075303030303","2513"
"","Cer_AP(t16:0/25:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t16:0/25:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t16:0/25:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t16:0/25:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t16:0/25:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t16:0/25:4)+HCO2","706.56275","660.55725","444.34775","389.30665","343.30115","197.19055","9.27028333333333","9.57028333333333","359"
"","Cer_AP(t16:0/26:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t16:0/26:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t16:0/26:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t16:0/26:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t16:0/26:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t16:0/26:4)+HCO2","720.57835","674.57285","458.36345","403.32235","357.31685","197.19055","9.7723","10.0723","607"
"","Cer_AP(t16:0/27:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t16:0/27:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t16:0/27:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t16:0/27:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t16:0/27:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t16:0/27:3)+HCO2","736.60965","690.60415","474.39475","419.35365","373.34815","197.19055","10.5703878787879","10.8703878787879","306"
"","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t16:0/27:4)+HCO2","734.59405","688.58855","472.37905","417.33795","371.33245","197.19055","10.2551090909091","10.5551090909091","171"
"","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t16:0/27:4)+HCO2","734.59405","688.58855","472.37905","417.33795","371.33245","197.19055","10.0804848484848","10.3804848484848","4126"
"","Cer_AP(t16:0/28:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t16:0/28:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t16:0/28:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t16:0/28:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t16:0/28:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t16:0/28:3)+HCO2","750.62535","704.61985","488.41045","433.36925","387.36385","197.19055","11.0025560606061","11.3025560606061","394"
"","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t16:0/28:4)+HCO2","748.60965","702.60415","486.39475","431.35365","385.34815","197.19055","10.6981590909091","10.9981590909091","136"
"","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t16:0/28:4)+HCO2","748.60965","702.60415","486.39475","431.35365","385.34815","197.19055","10.5236848484849","10.8236848484849","675"
