"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Average m/z","Cer_AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment"
"","Cer_AP(t16:0/23:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t16:0/23:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t16:0/23:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t16:0/23:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t16:0/23:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t16:0/23:1)-H","638.57285","422.36345","367.32235","321.31685","197.19055","9.27443484848485","9.57443484848485","1335"
"","Cer_AP(t16:0/24:1)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_AP(t16:0/24:1)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_AP(t16:0/24:1)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_AP(t16:0/24:1)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_AP(t16:0/24:1)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_AP(t16:0/24:1)-H","652.58855","436.37905","381.33795","335.33245","197.19055","9.77759848484848","10.0775984848485","3025"
"","Cer_AP(t16:0/25:0)-H",0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_AP(t16:0/25:0)-H",0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_AP(t16:0/25:0)-H",0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_AP(t16:0/25:0)-H",0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_AP(t16:0/25:0)-H",0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_AP(t16:0/25:0)-H","668.61985","452.41045","397.36925","351.36385","197.19055","10.5709893939394","10.8709893939394","708"
"","Cer_AP(t16:0/25:1)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer_AP(t16:0/25:1)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer_AP(t16:0/25:1)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer_AP(t16:0/25:1)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer_AP(t16:0/25:1)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer_AP(t16:0/25:1)-H","666.60415","450.39475","395.35365","349.34815","197.19055","10.2572696969697","10.5572696969697","287"
"","Cer_AP(t16:0/25:2)-H",0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_AP(t16:0/25:2)-H",0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_AP(t16:0/25:2)-H",0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_AP(t16:0/25:2)-H",0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_AP(t16:0/25:2)-H",0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_AP(t16:0/25:2)-H","664.58855","448.37905","393.33795","347.33245","197.19055","9.37739242424243","9.67739242424243","1330"
"","Cer_AP(t16:0/26:0)-H",0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_AP(t16:0/26:0)-H",0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_AP(t16:0/26:0)-H",0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_AP(t16:0/26:0)-H",0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_AP(t16:0/26:0)-H",0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_AP(t16:0/26:0)-H","682.63545","466.42605","411.38495","365.37945","197.19055","11.0019590909091","11.3019590909091","863"
"","Cer_AP(t16:0/26:1)-H",1,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer_AP(t16:0/26:1)-H",10.8619,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer_AP(t16:0/26:1)-H",1,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer_AP(t16:0/26:1)-H",1057.556,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer_AP(t16:0/26:1)-H",680.6201,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer_AP(t16:0/26:1)-H","680.61985","464.41045","409.36925","363.36385","197.19055","10.6999696969697","10.9999696969697","227"
"","Cer_AP(t16:0/26:1)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_AP(t16:0/26:1)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_AP(t16:0/26:1)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_AP(t16:0/26:1)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_AP(t16:0/26:1)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_AP(t16:0/26:1)-H","680.61985","464.41045","409.36925","363.36385","197.19055","10.5248181818182","10.8248181818182","1553"
"","Cer_AP(t16:0/26:2)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_AP(t16:0/26:2)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_AP(t16:0/26:2)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_AP(t16:0/26:2)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_AP(t16:0/26:2)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_AP(t16:0/26:2)-H","678.60415","462.39475","407.35365","361.34815","197.19055","9.8607848484848","10.1607848484848","1372"
"","Cer_AP(t16:0/27:0)-H",0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_AP(t16:0/27:0)-H",0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_AP(t16:0/27:0)-H",0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_AP(t16:0/27:0)-H",0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_AP(t16:0/27:0)-H",0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_AP(t16:0/27:0)-H","696.65115","480.44165","425.40055","379.39505","197.19055","11.4208166666667","11.7208166666667","399"
"","Cer_AP(t16:0/27:1)-H",1,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer_AP(t16:0/27:1)-H",11.29021,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer_AP(t16:0/27:1)-H",1,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer_AP(t16:0/27:1)-H",8007.366,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer_AP(t16:0/27:1)-H",694.6364,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer_AP(t16:0/27:1)-H","694.63545","478.42605","423.38495","377.37945","197.19055","11.1295590909091","11.4295590909091","108"
"","Cer_AP(t16:0/27:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_AP(t16:0/27:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_AP(t16:0/27:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_AP(t16:0/27:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_AP(t16:0/27:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_AP(t16:0/27:1)-H","694.63545","478.42605","423.38495","377.37945","197.19055","10.5101439393939","10.8101439393939","1160"
"","Cer_AP(t16:0/27:1)-H",1,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_AP(t16:0/27:1)-H",11.29021,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_AP(t16:0/27:1)-H",1,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_AP(t16:0/27:1)-H",8007.366,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_AP(t16:0/27:1)-H",694.6364,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_AP(t16:0/27:1)-H","694.63545","478.42605","423.38495","377.37945","197.19055","11.0714060606061","11.3714060606061","3271"
"","Cer_AP(t16:0/27:2)-H",0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer_AP(t16:0/27:2)-H",10.4723,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer_AP(t16:0/27:2)-H",2,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer_AP(t16:0/27:2)-H",774.0684,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer_AP(t16:0/27:2)-H",692.62145,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer_AP(t16:0/27:2)-H","692.61985","476.41045","421.36925","375.36385","197.19055","10.3349015151515","10.6349015151515","366"
"","Cer_AP(t16:0/27:2)-H",0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer_AP(t16:0/27:2)-H",10.4723,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer_AP(t16:0/27:2)-H",2,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer_AP(t16:0/27:2)-H",774.0684,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer_AP(t16:0/27:2)-H",692.62145,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer_AP(t16:0/27:2)-H","692.61985","476.41045","421.36925","375.36385","197.19055","10.1740090909091","10.4740090909091","470"
"","Cer_AP(t16:0/27:3)-H",0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_AP(t16:0/27:3)-H",0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_AP(t16:0/27:3)-H",0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_AP(t16:0/27:3)-H",0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_AP(t16:0/27:3)-H",0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_AP(t16:0/27:3)-H","690.60415","474.39475","419.35365","373.34815","197.19055","9.3155606060606","9.6155606060606","1495"
"","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_AP(t16:0/28:1)-H","708.65115","492.44165","437.40055","391.39505","197.19055","11.3712712121212","11.6712712121212","402"
"","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_AP(t16:0/28:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_AP(t16:0/28:1)-H","708.65115","492.44165","437.40055","391.39505","197.19055","11.5306954545455","11.8306954545455","2733"
"","Cer_AP(t16:0/28:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_AP(t16:0/28:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_AP(t16:0/28:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_AP(t16:0/28:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_AP(t16:0/28:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_AP(t16:0/28:2)-H","706.63545","490.42605","435.38495","389.37945","197.19055","10.4557772727273","10.7557772727273","1755"
"","Cer_AP(t16:0/29:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_AP(t16:0/29:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_AP(t16:0/29:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_AP(t16:0/29:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_AP(t16:0/29:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_AP(t16:0/29:0)-H","724.68245","508.47295","453.43185","407.42635","197.19055","12.1783683333333","12.4783683333333","3694"
"","Cer_AP(t16:0/29:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer_AP(t16:0/29:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer_AP(t16:0/29:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer_AP(t16:0/29:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer_AP(t16:0/29:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer_AP(t16:0/29:1)-H","722.66685","506.45735","451.41625","405.41075","197.19055","11.9297696969697","12.2297696969697","759"
"","Cer_AP(t17:0/22:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t17:0/22:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t17:0/22:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t17:0/22:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t17:0/22:1)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_AP(t17:0/22:1)-H","638.57285","408.34775","353.30665","307.30115","211.20615","9.27443484848485","9.57443484848485","1335"
