"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer_AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d16:1/27:0)-H","678.64055","660.63005","646.61435","630.61945","268.22875","252.23385","425.40055","424.41655","240.23385","407.39005","211.20725","209.19165","379.39505","10.9600636363636","11.2600636363636","1038"
"","Cer_AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d17:1/26:0)-H","678.64055","660.63005","646.61435","630.61945","282.24445","266.24945","411.38495","410.40095","254.24945","393.37435","225.22295","223.20725","365.37945","10.9600636363636","11.2600636363636","1038"
"","Cer_AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d18:1/25:0)-H","678.64055","660.63005","646.61435","630.61945","296.26005","280.26515","397.36925","396.38525","268.26515","379.35875","239.23855","237.22295","351.36385","10.9600636363636","11.2600636363636","1038"
"","Cer_AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d19:1/24:0)-H","678.64055","660.63005","646.61435","630.61945","310.27565","294.28075","383.35365","382.36955","282.28075","365.34305","253.25425","251.23855","337.34815","10.9600636363636","11.2600636363636","1038"
"","Cer_AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d20:1/23:0)-H","678.64055","660.63005","646.61435","630.61945","324.29135","308.29645","369.33795","368.35395","296.29645","351.32745","267.26985","265.25425","323.33245","10.9600636363636","11.2600636363636","1038"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","1.77463484848485","2.07463484848485","869"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","2.60543181818182","2.90543181818182","1267"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","11.1358515151515","11.4358515151515","1413"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","14.9866727272727","15.2866727272727","2812"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","12.5019181818182","12.8019181818182","2827"
