"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_BDS","[M+FA-H]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_BDS","[M+FA-H]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_BDS","[M+FA-H]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_BDS","[M+FA-H]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_BDS","[M+FA-H]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_BDS","[M+FA-H]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer_BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d16:0/26:0)+HCO2","712.64605","666.64055","314.27065","282.24445","272.26005","211.20735","10.6707424242424","10.9707424242424","1131"
"","Cer_BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_BDS(d16:0/26:1)+HCO2","710.63045","664.62495","314.27065","282.24445","272.26005","211.20735","10.7806166666667","11.0806166666667","1422"
"","Cer_BDS(d16:0/27:3)+HCO2",0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BDS(d16:0/27:3)+HCO2",0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BDS(d16:0/27:3)+HCO2",0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BDS(d16:0/27:3)+HCO2",0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BDS(d16:0/27:3)+HCO2",0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_BDS(d16:0/27:3)+HCO2","720.61475","674.60935","314.27065","282.24445","272.26005","211.20735","10.9162772727273","11.2162772727273","972"
"","Cer_BDS(d16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BDS(d16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BDS(d16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BDS(d16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BDS(d16:0/27:4)+HCO2",0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_BDS(d16:0/27:4)+HCO2","718.59915","672.59365","314.27065","282.24445","272.26005","211.20735","10.0734984848485","10.3734984848485","908"
"","Cer_BDS(d16:0/28:3)+HCO2",0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BDS(d16:0/28:3)+HCO2",0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BDS(d16:0/28:3)+HCO2",0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BDS(d16:0/28:3)+HCO2",0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BDS(d16:0/28:3)+HCO2",0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_BDS(d16:0/28:3)+HCO2","734.63045","688.62495","314.27065","282.24445","272.26005","211.20735","11.3263590909091","11.6263590909091","1402"
"","Cer_BDS(d16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BDS(d16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BDS(d16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BDS(d16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BDS(d16:0/28:4)+HCO2",0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_BDS(d16:0/28:4)+HCO2","732.61475","686.60935","314.27065","282.24445","272.26005","211.20735","10.5313909090909","10.8313909090909","1290"
"","Cer_BDS(d16:0/29:3)+HCO2",0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BDS(d16:0/29:3)+HCO2",0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BDS(d16:0/29:3)+HCO2",0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BDS(d16:0/29:3)+HCO2",0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BDS(d16:0/29:3)+HCO2",0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_BDS(d16:0/29:3)+HCO2","748.64605","702.64055","314.27065","282.24445","272.26005","211.20735","11.7283893939394","12.0283893939394","790"
"","Cer_BDS(d16:0/29:4)+HCO2",0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BDS(d16:0/29:4)+HCO2",0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BDS(d16:0/29:4)+HCO2",0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BDS(d16:0/29:4)+HCO2",0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BDS(d16:0/29:4)+HCO2",0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_BDS(d16:0/29:4)+HCO2","746.63045","700.62495","314.27065","282.24445","272.26005","211.20735","10.9594772727273","11.2594772727273","525"
"","Cer_BDS(d16:0/36:4)+HCO2",0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BDS(d16:0/36:4)+HCO2",0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BDS(d16:0/36:4)+HCO2",0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BDS(d16:0/36:4)+HCO2",0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BDS(d16:0/36:4)+HCO2",0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_BDS(d16:0/36:4)+HCO2","844.73995","798.73445","314.27065","282.24445","272.26005","211.20735","12.0117515151515","12.3117515151515","1639"
"","Cer_BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_BDS(d17:0/25:0)+HCO2","712.64605","666.64055","328.28625","296.26005","286.27565","225.22295","10.6707424242424","10.9707424242424","1131"
