"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer_BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d16:0/27:0)-H","680.65625","314.27065","282.24445","272.26005","211.20735","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d16:0/27:1)-H","678.64055","314.27065","282.24445","272.26005","211.20735","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d17:0/26:0)-H","680.65625","328.28625","296.26005","286.27565","225.22295","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d17:0/26:1)-H","678.64055","328.28625","296.26005","286.27565","225.22295","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d18:0/25:0)-H","680.65625","342.30195","310.27565","300.29135","239.23865","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d18:0/25:1)-H","678.64055","342.30195","310.27565","300.29135","239.23865","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d19:0/24:0)-H","680.65625","356.31755","324.29135","314.30705","253.25425","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d19:0/24:1)-H","678.64055","356.31755","324.29135","314.30705","253.25425","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d20:0/23:0)-H","680.65625","370.33325","338.30705","328.32265","267.26985","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d20:0/23:1)-H","678.64055","370.33325","338.30705","328.32265","267.26985","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","1.77463484848485","2.07463484848485","869"
