"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Average m/z","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment"
"","Cer_BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d16:1/27:0)-H","678.64055","660.63005","312.25495","282.24445","235.20725","209.19165","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d17:1/26:0)-H","678.64055","660.63005","326.27065","296.26005","249.22295","223.20725","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d18:1/25:0)-H","678.64055","660.63005","340.28625","310.27565","263.23855","237.22295","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d19:1/24:0)-H","678.64055","660.63005","354.30195","324.29135","277.25425","251.23855","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d20:1/23:0)-H","678.64055","660.63005","368.31755","338.30705","291.26985","265.25425","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","1.77463484848485","2.07463484848485","869"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","2.60543181818182","2.90543181818182","1267"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","11.1358515151515","11.4358515151515","1413"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","14.9866727272727","15.2866727272727","2812"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","12.5019181818182","12.8019181818182","2827"
