"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment"
"","Cer_NDS(d16:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_NDS(d16:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_NDS(d16:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_NDS(d16:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_NDS(d16:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer_NDS(d16:0/22:1)+HCO2","638.57285","592.56745","560.54115","544.54625","272.26005","378.33775","362.34285","336.32775","211.20725","319.32505","9.27443484848485","9.57443484848485","1335"
"","Cer_NDS(d16:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_NDS(d16:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_NDS(d16:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_NDS(d16:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_NDS(d16:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer_NDS(d16:0/23:1)+HCO2","652.58855","606.58305","574.55685","558.56195","272.26005","392.35345","376.35845","350.34335","211.20725","333.34065","9.77759848484848","10.0775984848485","3025"
"","Cer_NDS(d16:0/24:0)+HCO2",0,1,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_NDS(d16:0/24:0)+HCO2",0,10.73891,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_NDS(d16:0/24:0)+HCO2",0,1,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_NDS(d16:0/24:0)+HCO2",0,10931.03,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_NDS(d16:0/24:0)+HCO2",0,622.6153,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer_NDS(d16:0/24:0)+HCO2","668.61985","622.61435","590.58815","574.59325","272.26005","408.38475","392.38985","366.37465","211.20725","349.37195","10.5709893939394","10.8709893939394","708"
"","Cer_NDS(d16:0/24:1)+HCO2",0,1,0,0,0,0,0,1,0,0,"10.2572696969697","10.5572696969697","287","","Cer_NDS(d16:0/24:1)+HCO2",0,10.37019,0,0,0,0,0,10.37019,0,0,"10.2572696969697","10.5572696969697","287","","Cer_NDS(d16:0/24:1)+HCO2",0,1,0,0,0,0,0,1,0,0,"10.2572696969697","10.5572696969697","287","","Cer_NDS(d16:0/24:1)+HCO2",0,47550.63,0,0,0,0,0,1066.432,0,0,"10.2572696969697","10.5572696969697","287","","Cer_NDS(d16:0/24:1)+HCO2",0,620.5994,0,0,0,0,0,364.3589,0,0,"10.2572696969697","10.5572696969697","287","","Cer_NDS(d16:0/24:1)+HCO2","666.60415","620.59875","588.57255","572.57755","272.26005","406.36905","390.37415","364.35905","211.20725","347.35625","10.2572696969697","10.5572696969697","287"
"","Cer_NDS(d16:0/24:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_NDS(d16:0/24:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_NDS(d16:0/24:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_NDS(d16:0/24:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_NDS(d16:0/24:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","Cer_NDS(d16:0/24:2)+HCO2","664.58855","618.58305","586.55685","570.56195","272.26005","404.35345","388.35845","362.34335","211.20725","345.34065","9.37739242424243","9.67739242424243","1330"
"","Cer_NDS(d16:0/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_NDS(d16:0/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_NDS(d16:0/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_NDS(d16:0/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_NDS(d16:0/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer_NDS(d16:0/25:0)+HCO2","682.63545","636.63005","604.60385","588.60885","272.26005","422.40035","406.40545","380.39035","211.20725","363.38765","11.0019590909091","11.3019590909091","863"
"","Cer_NDS(d16:0/25:1)+HCO2",1,1,0,0,0,0,0,1,0,0,"10.6999696969697","10.9999696969697","227","","Cer_NDS(d16:0/25:1)+HCO2",10.8619,10.8619,0,0,0,0,0,10.8619,0,0,"10.6999696969697","10.9999696969697","227","","Cer_NDS(d16:0/25:1)+HCO2",1,1,0,0,0,0,0,1,0,0,"10.6999696969697","10.9999696969697","227","","Cer_NDS(d16:0/25:1)+HCO2",1057.556,65958.08,0,0,0,0,0,2524.149,0,0,"10.6999696969697","10.9999696969697","227","","Cer_NDS(d16:0/25:1)+HCO2",680.6201,634.6152,0,0,0,0,0,378.375,0,0,"10.6999696969697","10.9999696969697","227","","Cer_NDS(d16:0/25:1)+HCO2","680.61985","634.61435","602.58815","586.59325","272.26005","420.38475","404.38985","378.37465","211.20725","361.37195","10.6999696969697","10.9999696969697","227"
"","Cer_NDS(d16:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_NDS(d16:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_NDS(d16:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_NDS(d16:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_NDS(d16:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer_NDS(d16:0/25:1)+HCO2","680.61985","634.61435","602.58815","586.59325","272.26005","420.38475","404.38985","378.37465","211.20725","361.37195","10.5248181818182","10.8248181818182","1553"
"","Cer_NDS(d16:0/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_NDS(d16:0/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_NDS(d16:0/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_NDS(d16:0/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_NDS(d16:0/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer_NDS(d16:0/25:2)+HCO2","678.60415","632.59875","600.57255","584.57755","272.26005","418.36905","402.37415","376.35905","211.20725","359.35625","9.8607848484848","10.1607848484848","1372"
"","Cer_NDS(d16:0/26:0)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_NDS(d16:0/26:0)+HCO2",0,11.55784,0,0,0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_NDS(d16:0/26:0)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_NDS(d16:0/26:0)+HCO2",0,37248.86,0,0,0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_NDS(d16:0/26:0)+HCO2",0,650.6465,0,0,0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","Cer_NDS(d16:0/26:0)+HCO2","696.65115","650.64565","618.61945","602.62455","272.26005","436.41605","420.42115","394.40595","211.20725","377.40325","11.4208166666667","11.7208166666667","399"
