"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2-H","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2-H","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2-H","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2-H","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Average m/z","DGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2-H","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2-H","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment"
"","DGDG(8:0_20:5)+HCO2",0,0,0,0,0,0,"0.560003333333333","0.860003333333333","3978","","DGDG(8:0_20:5)+HCO2",0,0,0,0,0,0,"0.560003333333333","0.860003333333333","3978","","DGDG(8:0_20:5)+HCO2",0,0,0,0,0,0,"0.560003333333333","0.860003333333333","3978","","DGDG(8:0_20:5)+HCO2",0,0,0,0,0,0,"0.560003333333333","0.860003333333333","3978","","DGDG(8:0_20:5)+HCO2",0,0,0,0,0,0,"0.560003333333333","0.860003333333333","3978","","DGDG(8:0_20:5)+HCO2","871.47006","143.10775","301.21735","379.1246","397.1351","415.1457","0.560003333333333","0.860003333333333","3978"
"","DGDG(8:0_22:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(8:0_22:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(8:0_22:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(8:0_22:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(8:0_22:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(8:0_22:5)+HCO2","899.50136","143.10775","329.24865","379.1246","397.1351","415.1457","0.740913333333333","1.04091333333333","3240"
"","DGDG(10:0_20:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(10:0_20:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(10:0_20:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(10:0_20:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(10:0_20:5)+HCO2",0,0,0,0,0,0,"0.740913333333333","1.04091333333333","3240","","DGDG(10:0_20:5)+HCO2","899.50136","171.13905","301.21735","379.1246","397.1351","415.1457","0.740913333333333","1.04091333333333","3240"
"","DGDG(20:1_22:6)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:1_22:6)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:1_22:6)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:1_22:6)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:1_22:6)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:1_22:6)+HCO2","1063.65786","309.27995","327.23295","379.1246","397.1351","415.1457","10.2490909090909","10.5490909090909","1288"
"","DGDG(20:2_22:5)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:2_22:5)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:2_22:5)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:2_22:5)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:2_22:5)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:2_22:5)+HCO2","1063.65786","307.26425","329.24865","379.1246","397.1351","415.1457","10.2490909090909","10.5490909090909","1288"
"","DGDG(20:2_22:6)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:2_22:6)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:2_22:6)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:2_22:6)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:2_22:6)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:2_22:6)+HCO2","1061.64216","307.26425","327.23295","379.1246","397.1351","415.1457","9.17323939393939","9.47323939393939","1537"
"","DGDG(20:3_22:4)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:3_22:4)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:3_22:4)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:3_22:4)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:3_22:4)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:3_22:4)+HCO2","1063.65786","305.24865","331.26425","379.1246","397.1351","415.1457","10.2490909090909","10.5490909090909","1288"
"","DGDG(20:3_22:5)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:3_22:5)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:3_22:5)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:3_22:5)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:3_22:5)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:3_22:5)+HCO2","1061.64226","305.24865","329.24865","379.1246","397.1351","415.1457","9.17323939393939","9.47323939393939","1537"
"","DGDG(20:4_22:3)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:4_22:3)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:4_22:3)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:4_22:3)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:4_22:3)+HCO2",0,0,0,0,0,0,"10.2490909090909","10.5490909090909","1288","","DGDG(20:4_22:3)+HCO2","1063.65786","303.23295","333.27995","379.1246","397.1351","415.1457","10.2490909090909","10.5490909090909","1288"
"","DGDG(20:4_22:4)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:4_22:4)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:4_22:4)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:4_22:4)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:4_22:4)+HCO2",0,0,0,0,0,0,"9.17323939393939","9.47323939393939","1537","","DGDG(20:4_22:4)+HCO2","1061.64216","303.23295","331.26425","379.1246","397.1351","415.1457","9.17323939393939","9.47323939393939","1537"
