"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","DMPE(8:0_12:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(8:0_12:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(8:0_12:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(8:0_12:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(8:0_12:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(8:0_12:0)-H","550.3514","143.10775","199.17035","0.98556166666667","1.28556166666667","1282"
"","DMPE(8:0_20:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(8:0_20:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(8:0_20:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(8:0_20:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(8:0_20:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(8:0_20:0)-H","662.4766","143.10775","311.29555","6.13960757575758","6.43960757575758","188"
"","DMPE(8:0_24:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(8:0_24:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(8:0_24:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(8:0_24:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(8:0_24:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(8:0_24:0)-H","718.5392","143.10775","367.35815","8.47925757575758","8.77925757575758","193"
"","DMPE(8:0_24:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(8:0_24:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(8:0_24:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(8:0_24:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(8:0_24:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(8:0_24:1)-H","716.5236","143.10775","365.34255","5.62081363636364","5.92081363636364","1824"
"","DMPE(10:0_10:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(10:0_10:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(10:0_10:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(10:0_10:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(10:0_10:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","DMPE(10:0_10:0)-H","550.3514","171.13905","171.13905","0.98556166666667","1.28556166666667","1282"
"","DMPE(10:0_18:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(10:0_18:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(10:0_18:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(10:0_18:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(10:0_18:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(10:0_18:0)-H","662.4766","171.13905","283.26425","6.13960757575758","6.43960757575758","188"
"","DMPE(10:0_22:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(10:0_22:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(10:0_22:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(10:0_22:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(10:0_22:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(10:0_22:0)-H","718.5392","171.13905","339.32685","8.47925757575758","8.77925757575758","193"
"","DMPE(10:0_22:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(10:0_22:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(10:0_22:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(10:0_22:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(10:0_22:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(10:0_22:1)-H","716.5236","171.13905","337.31125","5.62081363636364","5.92081363636364","1824"
"","DMPE(10:0_22:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(10:0_22:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(10:0_22:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(10:0_22:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(10:0_22:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(10:0_22:2)-H","714.5079","171.13905","335.29555","4.60836818181818","4.90836818181818","1332"
"","DMPE(10:0_22:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(10:0_22:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(10:0_22:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(10:0_22:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(10:0_22:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(10:0_22:2)-H","714.5079","171.13905","335.29555","6.5105303030303","6.8105303030303","1416"
"","DMPE(10:0_24:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H","744.5549","171.13905","365.34255","8.54963333333333","8.84963333333333","1115"
