"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcADG","[M-H]-","M-sn1","M-sn2","[M-H-sn1+H20]-","[M-H-sn2+H20]-","[M-H-sn1-H20]-","[M-H-sn2-H20]-","SN1","SN2","RT_min","RT_max","Comment","RT at Max Intensity","GlcADG","[M-H]-","M-sn1","M-sn2","[M-H-sn1+H20]-","[M-H-sn2+H20]-","[M-H-sn1-H20]-","[M-H-sn2-H20]-","SN1","SN2","RT_min","RT_max","Comment","Number of Scans","GlcADG","[M-H]-","M-sn1","M-sn2","[M-H-sn1+H20]-","[M-H-sn2+H20]-","[M-H-sn1-H20]-","[M-H-sn2-H20]-","SN1","SN2","RT_min","RT_max","Comment","Max Intensity","GlcADG","[M-H]-","M-sn1","M-sn2","[M-H-sn1+H20]-","[M-H-sn2+H20]-","[M-H-sn1-H20]-","[M-H-sn2-H20]-","SN1","SN2","RT_min","RT_max","Comment","Average m/z","GlcADG","[M-H]-","M-sn1","M-sn2","[M-H-sn1+H20]-","[M-H-sn2+H20]-","[M-H-sn1-H20]-","[M-H-sn2-H20]-","SN1","SN2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcADG","[M-H]-","M-sn1","M-sn2","[M-H-sn1+H20]-","[M-H-sn2+H20]-","[M-H-sn1-H20]-","[M-H-sn2-H20]-","SN1","SN2","RT_min","RT_max","Comment"
"","GlcADG(14:0_24:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(14:0_24:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(14:0_24:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(14:0_24:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(14:0_24:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(14:0_24:4)-H","819.5622434","591.3534434","459.2596034","609.3640076","477.2701676","573.3428792","441.2490392","227.20098","359.29482","4.95305757575758","5.25305757575758","2512"
"","GlcADG(14:0_26:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(14:0_26:0)-H",8.413545,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(14:0_26:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(14:0_26:0)-H",17137.88,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(14:0_26:0)-H",855.6603,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(14:0_26:0)-H","855.6561438","627.4473438","459.2596638","645.457908","477.270228","609.4367796","441.2490996","227.20098","395.38866","8.25450757575758","8.55450757575758","335"
"","GlcADG(15:0_25:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(15:0_25:0)-H",8.413545,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(15:0_25:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(15:0_25:0)-H",17137.88,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(15:0_25:0)-H",855.6603,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(15:0_25:0)-H","855.6561438","613.4317038","473.2753038","631.442268","491.285868","595.4211396","455.2647396","241.21662","381.37302","8.25450757575758","8.55450757575758","335"
"","GlcADG(16:0_22:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(16:0_22:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(16:0_22:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(16:0_22:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(16:0_22:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(16:0_22:4)-H","819.5622434","563.3221634","487.2908834","581.3327276","505.3014476","545.3115992","469.2803192","255.23226","331.26354","4.95305757575758","5.25305757575758","2512"
"","GlcADG(16:0_24:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(16:0_24:0)-H",8.413545,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(16:0_24:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(16:0_24:0)-H",17137.88,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(16:0_24:0)-H",855.6603,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(16:0_24:0)-H","855.6561438","599.4160638","487.2909438","617.426628","505.301508","581.4054996","469.2803796","255.23226","367.35738","8.25450757575758","8.55450757575758","335"
"","GlcADG(17:0_23:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(17:0_23:0)-H",8.413545,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(17:0_23:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(17:0_23:0)-H",17137.88,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(17:0_23:0)-H",855.6603,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(17:0_23:0)-H","855.6561438","585.4004238","501.3065838","603.410988","519.317148","567.3898596","483.2960196","269.2479","353.34174","8.25450757575758","8.55450757575758","335"
"","GlcADG(18:0_20:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:0_20:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:0_20:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:0_20:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:0_20:4)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:0_20:4)-H","819.5622434","535.2908834","515.3221634","553.3014476","533.3327276","517.2803192","497.3115992","283.26354","303.23226","4.95305757575758","5.25305757575758","2512"
"","GlcADG(18:0_22:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(18:0_22:0)-H",8.413545,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(18:0_22:0)-H",1,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(18:0_22:0)-H",17137.88,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(18:0_22:0)-H",855.6603,0,0,0,0,0,0,0,0,"8.25450757575758","8.55450757575758","335","","GlcADG(18:0_22:0)-H","855.6561438","571.3847838","515.3222238","589.395348","533.332788","553.3742196","497.3116596","283.26354","339.3261","8.25450757575758","8.55450757575758","335"
"","GlcADG(18:1_20:3)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:1_20:3)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:1_20:3)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:1_20:3)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:1_20:3)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:1_20:3)-H","819.5622434","537.3065234","513.3065234","555.3170876","531.3170876","519.2959592","495.2959592","281.2479","305.2479","4.95305757575758","5.25305757575758","2512"
"","GlcADG(18:2_20:2)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:2_20:2)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:2_20:2)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:2_20:2)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:2_20:2)-H",0,0,0,0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","GlcADG(18:2_20:2)-H","819.5622434","539.3221634","511.2908834","557.3327276","529.3014476","521.3115992","493.2803192","279.23226","307.26354","4.95305757575758","5.25305757575758","2512"
