"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Average m/z","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment"
"","GlcCer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:0/27:4)+HCO2","896.64685","850.64135","688.58855","472.37905","442.36855","417.33795","371.33245","179.05615","9.57360303030303","9.87360303030303","721"
"","GlcCer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:0/28:4)+HCO2","910.66245","864.65705","702.60415","486.39475","456.38415","431.35365","385.34815","179.05615","10.0432939393939","10.3432939393939","1021"
"","GlcCer_AP(t16:0/29:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:0/29:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:0/29:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:0/29:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:0/29:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:0/29:4)+HCO2","924.67815","878.67265","716.61985","500.41045","470.39985","445.36925","399.36385","179.05615","10.4961333333333","10.7961333333333","518"
"","GlcCer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:0/26:4)+HCO2","896.64685","850.64135","688.58855","458.36345","428.35285","403.32235","357.31685","179.05615","9.57360303030303","9.87360303030303","721"
"","GlcCer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:0/27:4)+HCO2","910.66245","864.65705","702.60415","472.37905","442.36855","417.33795","371.33245","179.05615","10.0432939393939","10.3432939393939","1021"
"","GlcCer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:0/28:4)+HCO2","924.67815","878.67265","716.61985","486.39475","456.38415","431.35365","385.34815","179.05615","10.4961333333333","10.7961333333333","518"
"","GlcCer_AP(t18:0/25:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:0/25:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:0/25:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:0/25:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:0/25:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:0/25:4)+HCO2","896.64685","850.64135","688.58855","444.34775","414.33725","389.30665","343.30115","179.05615","9.57360303030303","9.87360303030303","721"
"","GlcCer_AP(t18:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t18:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t18:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t18:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t18:0/26:4)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t18:0/26:4)+HCO2","910.66245","864.65705","702.60415","458.36345","428.35285","403.32235","357.31685","179.05615","10.0432939393939","10.3432939393939","1021"
"","GlcCer_AP(t18:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t18:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t18:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t18:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t18:0/27:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t18:0/27:4)+HCO2","924.67815","878.67265","716.61985","472.37905","442.36855","417.33795","371.33245","179.05615","10.4961333333333","10.7961333333333","518"
"","GlcCer_AP(t19:0/24:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t19:0/24:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t19:0/24:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t19:0/24:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t19:0/24:4)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t19:0/24:4)+HCO2","896.64685","850.64135","688.58855","430.33215","400.32155","375.29105","329.28555","179.05615","9.57360303030303","9.87360303030303","721"
