"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_AP","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_AP","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_AP","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_AP","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Average m/z","GlcCer_AP","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_AP","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment"
"","GlcCer_AP(t16:0/25:1)-H",0,0,0,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t16:0/25:1)-H",0,0,0,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t16:0/25:1)-H",0,0,0,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t16:0/25:1)-H",0,0,0,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t16:0/25:1)-H",0,0,0,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t16:0/25:1)-H","828.65705","666.60415","450.39475","420.38415","395.35365","349.34815","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_AP(t16:0/26:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t16:0/26:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t16:0/26:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t16:0/26:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t16:0/26:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t16:0/26:1)-H","842.67265","680.61985","464.41045","434.39985","409.36925","363.36385","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_AP(t16:0/27:1)-H",0,0,0,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t16:0/27:1)-H",0,0,0,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t16:0/27:1)-H",0,0,0,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t16:0/27:1)-H",0,0,0,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t16:0/27:1)-H",0,0,0,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t16:0/27:1)-H","856.68835","694.63545","478.42605","448.41545","423.38495","377.37945","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t16:0/27:2)-H","854.67265","692.61985","476.41045","446.39985","421.36925","375.36385","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t16:0/27:2)-H",0,0,0,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t16:0/27:2)-H","854.67265","692.61985","476.41045","446.39985","421.36925","375.36385","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_AP(t17:0/24:1)-H",0,0,0,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t17:0/24:1)-H",0,0,0,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t17:0/24:1)-H",0,0,0,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t17:0/24:1)-H",0,0,0,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t17:0/24:1)-H",0,0,0,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_AP(t17:0/24:1)-H","828.65705","666.60415","436.37905","406.36855","381.33795","335.33245","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_AP(t17:0/25:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t17:0/25:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t17:0/25:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t17:0/25:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t17:0/25:1)-H",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_AP(t17:0/25:1)-H","842.67265","680.61985","450.39475","420.38415","395.35365","349.34815","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_AP(t17:0/26:1)-H",0,0,0,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t17:0/26:1)-H",0,0,0,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t17:0/26:1)-H",0,0,0,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t17:0/26:1)-H",0,0,0,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t17:0/26:1)-H",0,0,0,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_AP(t17:0/26:1)-H","856.68835","694.63545","464.41045","434.39985","409.36925","363.36385","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_AP(t17:0/26:2)-H","854.67265","692.61985","462.39475","432.38415","407.35365","361.34815","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t17:0/26:2)-H",0,0,0,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_AP(t17:0/26:2)-H","854.67265","692.61985","462.39475","432.38415","407.35365","361.34815","179.05615","9.66252727272727","9.96252727272727","2994"
