"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","GlcCer_NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d16:0/22:2)-H","752.60465","590.55175","360.32725","211.20725","317.30935","179.05615","9.75611666666666","10.0561166666667","871"
"","GlcCer_NDS(d16:0/23:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d16:0/23:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d16:0/23:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d16:0/23:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d16:0/23:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d16:0/23:2)-H","766.62025","604.56745","374.34285","211.20725","331.32505","179.05615","10.2335636363636","10.5335636363636","1362"
"","GlcCer_NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d16:0/24:2)-H","780.63595","618.58305","388.35845","211.20725","345.34065","179.05615","10.6655606060606","10.9655606060606","477"
"","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d16:0/24:3)-H","778.62025","616.56745","386.34285","211.20725","343.32505","179.05615","10.7871","11.0871","653"
"","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d16:0/24:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d16:0/24:3)-H","778.62025","616.56745","386.34285","211.20725","343.32505","179.05615","9.71061666666667","10.0106166666667","1150"
"","GlcCer_NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d16:0/26:2)-H","808.66715","646.61435","416.38985","211.20725","373.37195","179.05615","11.4915318181818","11.7915318181818","3156"
"","GlcCer_NDS(d16:0/29:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d16:0/29:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d16:0/29:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d16:0/29:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d16:0/29:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d16:0/29:4)-H","846.68285","684.63005","454.40545","211.20725","411.38765","179.05615","9.9384351851852","10.2384351851852","1337"
"","GlcCer_NDS(d16:0/31:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d16:0/31:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d16:0/31:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d16:0/31:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d16:0/31:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d16:0/31:4)-H","874.71415","712.66135","482.43675","211.20725","439.41885","179.05615","10.6824045454545","10.9824045454545","4200"
"","GlcCer_NDS(d17:0/21:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d17:0/21:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d17:0/21:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d17:0/21:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d17:0/21:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d17:0/21:2)-H","752.60465","590.55175","346.31155","225.22295","303.29375","179.05615","9.75611666666666","10.0561166666667","871"
"","GlcCer_NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d17:0/22:2)-H","766.62025","604.56745","360.32725","225.22295","317.30935","179.05615","10.2335636363636","10.5335636363636","1362"
