"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","GlcCer_NS(d16:1/24:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d16:1/24:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d16:1/24:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d16:1/24:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d16:1/24:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d16:1/24:0)+HCO2","828.65713","782.65163","620.59883","392.38995","349.37185","209.19162","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d16:1/25:0)+HCO2","842.67279","796.66729","634.61449","406.40561","363.38751","209.19162","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NS(d16:1/26:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d16:1/26:0)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d16:1/26:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d16:1/26:0)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d16:1/26:0)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d16:1/26:0)+HCO2","856.68845","810.68295","648.63015","420.42127","377.40317","209.19162","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NS(d16:1/26:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d16:1/26:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d16:1/26:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d16:1/26:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d16:1/26:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d16:1/26:1)+HCO2","854.67279","808.66729","646.61449","418.40561","375.38751","209.19162","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NS(d16:1/26:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d16:1/26:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d16:1/26:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d16:1/26:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d16:1/26:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d16:1/26:1)+HCO2","854.67279","808.66729","646.61449","418.40561","375.38751","209.19162","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NS(d17:1/23:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d17:1/23:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d17:1/23:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d17:1/23:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d17:1/23:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d17:1/23:0)+HCO2","828.65713","782.65163","620.59883","378.37429","335.35619","223.20728","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d17:1/24:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d17:1/24:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d17:1/24:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d17:1/24:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d17:1/24:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d17:1/24:0)+HCO2","842.67279","796.66729","634.61449","392.38995","349.37185","223.20728","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NS(d17:1/25:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d17:1/25:0)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d17:1/25:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d17:1/25:0)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d17:1/25:0)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d17:1/25:0)+HCO2","856.68845","810.68295","648.63015","406.40561","363.38751","223.20728","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NS(d17:1/25:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d17:1/25:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d17:1/25:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d17:1/25:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d17:1/25:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d17:1/25:1)+HCO2","854.67279","808.66729","646.61449","404.38995","361.37185","223.20728","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NS(d17:1/25:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d17:1/25:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d17:1/25:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d17:1/25:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d17:1/25:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d17:1/25:1)+HCO2","854.67279","808.66729","646.61449","404.38995","361.37185","223.20728","179.05615","9.66252727272727","9.96252727272727","2994"
