"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","LPC(14:0)+HCO2",1,1,0,1,1,0,0,1,0,0,"0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2",0.646187,0.646187,0.646187,0.646187,0.646187,0.646187,0.646187,0.646187,0,0,"0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2",1,1,1,1,1,1,1,1,0,0,"0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2",10350.57,320623.3,793.3772,1707.756,10982.18,502.0574,748.887,121066.3,0,0,"0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2",512.2994,452.2785,381.206,242.08,224.0694,168.0431,152.996,227.2017,0,0,"0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2","512.2994","452.2783","381.2048","242.0799","224.0693","168.0431","152.9958","227.201655","96.9696","78.9591","0.476742424242424","0.776742424242424","194"
"","LPC(14:0)+HCO2",1,1,0,1,1,0,0,1,0,0,"0.645025","0.945025","2578","","LPC(14:0)+HCO2",0.646187,0.646187,0.646187,0.646187,0.646187,0.646187,0.646187,0.646187,0,0,"0.645025","0.945025","2578","","LPC(14:0)+HCO2",1,1,1,1,1,1,1,1,0,0,"0.645025","0.945025","2578","","LPC(14:0)+HCO2",10350.57,320623.3,793.3772,1707.756,10982.18,502.0574,748.887,121066.3,0,0,"0.645025","0.945025","2578","","LPC(14:0)+HCO2",512.2994,452.2785,381.206,242.08,224.0694,168.0431,152.996,227.2017,0,0,"0.645025","0.945025","2578","","LPC(14:0)+HCO2","512.2994","452.2783","381.2048","242.0799","224.0693","168.0431","152.9958","227.201655","96.9696","78.9591","0.645025","0.945025","2578"
"","LPC(14:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","LPC(14:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","LPC(14:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","LPC(14:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","LPC(14:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","LPC(14:1)+HCO2","510.28375","450.26265","379.18915","242.0799","224.0693","168.0431","152.9958","225.186005","96.9696","78.9591","0.77015","1.07015","1006"
"","LPC(15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","LPC(15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","LPC(15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","LPC(15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","LPC(15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","LPC(15:0)+HCO2","526.31505","466.29395","395.22045","242.0799","224.0693","168.0431","152.9958","241.217305","96.9696","78.9591","0.60280303030303","0.90280303030303","228"
"","LPC(16:0)+HCO2",1,1,1,1,1,1,1,1,0,1,"0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2",0.8822394,0.8822394,0.8822394,0.8822394,0.8822394,0.8822394,0.8822394,0.8822394,0,0.8822394,"0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2",2,2,2,2,2,2,2,2,0,2,"0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2",130445.3,3001127,6982.508,49777.19,96706.05,9025.506,13593.13,1979703,0,4281.505,"0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2",540.3308,480.30955,409.2359,242.08,224.06935,168.043,152.9958,255.23295,0,78.959125,"0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2","540.3307","480.3096","409.2361","242.0799","224.0693","168.0431","152.9958","255.232955","96.9696","78.9591","0.777812121212121","1.07781212121212","8"
"","LPC(16:0)+HCO2",1,1,1,1,1,1,1,1,0,1,"0.9446","1.2446","3825","","LPC(16:0)+HCO2",1.006761,1.006761,1.006761,1.006761,1.006761,1.006761,1.006761,1.006761,0,1.006761,"0.9446","1.2446","3825","","LPC(16:0)+HCO2",2,2,1,2,2,1,2,2,0,1,"0.9446","1.2446","3825","","LPC(16:0)+HCO2",92571.73,2143266,3047.147,23505.75,79065.26,5629.527,7976.086,923323.8,0,2208.82,"0.9446","1.2446","3825","","LPC(16:0)+HCO2",540.33085,480.3096,409.2359,242.08005,224.0694,168.043,152.99575,255.233,0,78.95912,"0.9446","1.2446","3825","","LPC(16:0)+HCO2","540.3307","480.3096","409.2361","242.0799","224.0693","168.0431","152.9958","255.232955","96.9696","78.9591","0.9446","1.2446","3825"
"","LPC(16:1)+HCO2",1,1,0,1,1,0,0,1,0,0,"0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2",0.7102667,0.7102667,0,0.7102667,0.7102667,0,0.7102667,0.7102667,0,0.7102667,"0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2",1,1,0,1,1,0,1,1,0,1,"0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2",11283.69,292454.3,0,3726.203,10387.66,0,768.0608,130325.7,0,440.2607,"0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2",538.3149,478.294,0,242.0801,224.0694,0,152.9958,253.2173,0,78.95905,"0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2","538.31505","478.29395","407.22045","242.0799","224.0693","168.0431","152.9958","253.217305","96.9696","78.9591","0.528524242424242","0.828524242424242","137"
"","LPC(16:1)+HCO2",1,0,0,0,0,0,0,0,0,0,"1.20290151515152","1.50290151515152","706","","LPC(16:1)+HCO2",1.364999,0,0,0,0,0,1.364999,0,0,0,"1.20290151515152","1.50290151515152","706","","LPC(16:1)+HCO2",1,0,0,0,0,0,1,0,0,0,"1.20290151515152","1.50290151515152","706","","LPC(16:1)+HCO2",28938.36,0,0,0,0,0,668.9499,0,0,0,"1.20290151515152","1.50290151515152","706","","LPC(16:1)+HCO2",538.3154,0,0,0,0,0,152.9959,0,0,0,"1.20290151515152","1.50290151515152","706","","LPC(16:1)+HCO2","538.31505","478.29395","407.22045","242.0799","224.0693","168.0431","152.9958","253.217305","96.9696","78.9591","1.20290151515152","1.50290151515152","706"
"","LPC(17:0)+HCO2",1,1,0,1,1,0,1,1,0,0,"1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2",1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,0,1.215296,"1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2",2,2,2,2,2,2,2,2,0,1,"1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2",28474.96,673484.4,959.0334,7096.795,21566.77,867.5104,2277.64,276830.2,0,542.1277,"1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2",554.3467,494.3254,423.25235,242.08005,224.0694,168.04315,152.9959,269.24865,0,78.95921,"1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2","554.34635","494.32525","423.25175","242.0799","224.0693","168.0431","152.9958","269.248605","96.9696","78.9591","1.00069696969697","1.30069696969697","37"
"","LPC(17:0)+HCO2",1,1,0,1,1,0,1,1,0,0,"1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2",1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,0,1.215296,"1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2",2,2,1,1,2,1,2,2,0,1,"1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2",28474.96,673484.4,959.0334,7096.795,21566.77,867.5104,2277.64,276830.2,0,542.1277,"1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2",554.34665,494.3254,423.2517,242.0801,224.06925,168.0432,152.99585,269.2487,0,78.95921,"1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2","554.34635","494.32525","423.25175","242.0799","224.0693","168.0431","152.9958","269.248605","96.9696","78.9591","1.17375333333333","1.47375333333333","1949"
