"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","LPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","LPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","LPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","LPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","LPE(16:0)-H",1,0,1,1,0,0,0,0,0,"0.835119696969697","1.1351196969697","266","","LPE(16:0)-H",1.017124,0,1.017124,1.017124,0,0,0,1.017124,0,"0.835119696969697","1.1351196969697","266","","LPE(16:0)-H",1,0,1,1,0,0,0,1,0,"0.835119696969697","1.1351196969697","266","","LPE(16:0)-H",57959.69,0,6345.057,60736.91,0,0,0,633.6172,0,"0.835119696969697","1.1351196969697","266","","LPE(16:0)-H",452.2784,0,196.038,255.2329,0,0,0,140.0118,0,"0.835119696969697","1.1351196969697","266","","LPE(16:0)-H","452.27829","214.048615","196.038055","255.232955","152.99586","96.96964","78.95852","140.01128","122.0007","0.835119696969697","1.1351196969697","266"
"","LPE(17:0)-H",0,0,0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","LPE(17:0)-H",0,0,0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","LPE(17:0)-H",0,0,0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","LPE(17:0)-H",0,0,0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","LPE(17:0)-H",0,0,0,0,0,0,0,0,0,"1.05410666666667","1.35410666666667","3173","","LPE(17:0)-H","466.29394","214.048615","196.038055","269.248605","152.99586","96.96964","78.95852","140.01128","122.0007","1.05410666666667","1.35410666666667","3173"
"","LPE(18:0)-H",1,1,1,1,0,0,0,1,0,"1.31746212121212","1.61746212121212","197","","LPE(18:0)-H",1.459871,1.459871,1.459871,1.459871,1.459871,0,0,1.459871,0,"1.31746212121212","1.61746212121212","197","","LPE(18:0)-H",1,1,1,1,1,0,0,1,0,"1.31746212121212","1.61746212121212","197","","LPE(18:0)-H",293542.4,6929.865,29713.21,296328.1,560.0194,0,0,4001.079,0,"1.31746212121212","1.61746212121212","197","","LPE(18:0)-H",480.3097,214.0486,196.0381,283.2643,152.9957,0,0,140.0119,0,"1.31746212121212","1.61746212121212","197","","LPE(18:0)-H","480.30959","214.048615","196.038055","283.264255","152.99586","96.96964","78.95852","140.01128","122.0007","1.31746212121212","1.61746212121212","197"
"","LPE(18:0)-H",1,0,0,0,0,0,0,0,0,"0.776827272727273","1.07682727272727","293","","LPE(18:0)-H",0.9584297,0,0,0,0,0,0,0,0,"0.776827272727273","1.07682727272727","293","","LPE(18:0)-H",1,0,0,0,0,0,0,0,0,"0.776827272727273","1.07682727272727","293","","LPE(18:0)-H",23256.5,0,0,0,0,0,0,0,0,"0.776827272727273","1.07682727272727","293","","LPE(18:0)-H",480.3097,0,0,0,0,0,0,0,0,"0.776827272727273","1.07682727272727","293","","LPE(18:0)-H","480.30959","214.048615","196.038055","283.264255","152.99586","96.96964","78.95852","140.01128","122.0007","0.776827272727273","1.07682727272727","293"
"","LPE(18:0)-H",0,0,0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","LPE(18:0)-H",0,0,0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","LPE(18:0)-H",0,0,0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","LPE(18:0)-H",0,0,0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","LPE(18:0)-H",0,0,0,0,0,0,0,0,0,"1.50431666666667","1.80431666666667","3157","","LPE(18:0)-H","480.30959","214.048615","196.038055","283.264255","152.99586","96.96964","78.95852","140.01128","122.0007","1.50431666666667","1.80431666666667","3157"
"","LPE(18:1)-H",1,1,1,1,0,0,0,0,0,"0.9013696969697","1.2013696969697","224","","LPE(18:1)-H",1.027487,1.027487,1.027487,1.027487,1.027487,0,0,1.027487,0,"0.9013696969697","1.2013696969697","224","","LPE(18:1)-H",1,1,1,1,1,0,0,1,0,"0.9013696969697","1.2013696969697","224","","LPE(18:1)-H",160300.6,4393.782,18798.65,180873.3,594.9581,0,0,810.1177,0,"0.9013696969697","1.2013696969697","224","","LPE(18:1)-H",478.2941,214.0487,196.0381,281.2487,152.9959,0,0,140.0119,0,"0.9013696969697","1.2013696969697","224","","LPE(18:1)-H","478.29394","214.048615","196.038055","281.248605","152.99586","96.96964","78.95852","140.01128","122.0007","0.9013696969697","1.2013696969697","224"
"","LPE(18:2)-H",1,1,1,1,0,0,0,0,0,"0.621769696969697","0.921769696969697","176","","LPE(18:2)-H",0.8153807,0.8153807,0.8153807,0.8153807,0,0,0,0.8153807,0,"0.621769696969697","0.921769696969697","176","","LPE(18:2)-H",1,1,1,1,0,0,0,1,0,"0.621769696969697","0.921769696969697","176","","LPE(18:2)-H",93566.54,3156.256,8873.427,113207.5,0,0,0,654.9457,0,"0.621769696969697","0.921769696969697","176","","LPE(18:2)-H",476.2784,214.0485,196.0381,279.2329,0,0,0,140.0118,0,"0.621769696969697","0.921769696969697","176","","LPE(18:2)-H","476.27829","214.048615","196.038055","279.232955","152.99586","96.96964","78.95852","140.01128","122.0007","0.621769696969697","0.921769696969697","176"
"","LPE(18:2)-H",0,0,0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","LPE(18:2)-H",0,0,0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","LPE(18:2)-H",0,0,0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","LPE(18:2)-H",0,0,0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","LPE(18:2)-H",0,0,0,0,0,0,0,0,0,"0.820886111111111","1.12088611111111","2541","","LPE(18:2)-H","476.27829","214.048615","196.038055","279.232955","152.99586","96.96964","78.95852","140.01128","122.0007","0.820886111111111","1.12088611111111","2541"
"","LPE(18:3)-H",0,0,0,0,0,0,0,0,0,"0.46314","0.76314","3018","","LPE(18:3)-H",0,0,0,0,0,0,0,0,0,"0.46314","0.76314","3018","","LPE(18:3)-H",0,0,0,0,0,0,0,0,0,"0.46314","0.76314","3018","","LPE(18:3)-H",0,0,0,0,0,0,0,0,0,"0.46314","0.76314","3018","","LPE(18:3)-H",0,0,0,0,0,0,0,0,0,"0.46314","0.76314","3018","","LPE(18:3)-H","474.26264","214.048615","196.038055","277.217305","152.99586","96.96964","78.95852","140.01128","122.0007","0.46314","0.76314","3018"
"","LPE(19:0)-H",0,0,0,0,0,0,0,0,0,"0.99963484848485","1.29963484848485","2060","","LPE(19:0)-H",0,0,0,0,0,0,0,0,0,"0.99963484848485","1.29963484848485","2060","","LPE(19:0)-H",0,0,0,0,0,0,0,0,0,"0.99963484848485","1.29963484848485","2060","","LPE(19:0)-H",0,0,0,0,0,0,0,0,0,"0.99963484848485","1.29963484848485","2060","","LPE(19:0)-H",0,0,0,0,0,0,0,0,0,"0.99963484848485","1.29963484848485","2060","","LPE(19:0)-H","494.32524","214.048615","196.038055","297.279905","152.99586","96.96964","78.95852","140.01128","122.0007","0.99963484848485","1.29963484848485","2060"
"","LPE(20:0)-H",1,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","609","","LPE(20:0)-H",1.432903,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","609","","LPE(20:0)-H",1,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","609","","LPE(20:0)-H",5948.285,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","609","","LPE(20:0)-H",508.341,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","609","","LPE(20:0)-H","508.34089","214.048615","196.038055","311.295555","152.99586","96.96964","78.95852","140.01128","122.0007","1.25095606060606","1.55095606060606","609"
