"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","MMPE(8:0_13:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","MMPE(8:0_13:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","MMPE(8:0_13:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","MMPE(8:0_13:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","MMPE(8:0_13:0)-H",0,0,0,"0.98556166666667","1.28556166666667","1282","","MMPE(8:0_13:0)-H","550.35147","143.10775","213.18605","0.98556166666667","1.28556166666667","1282"
"","MMPE(8:0_20:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(8:0_20:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(8:0_20:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(8:0_20:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(8:0_20:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(8:0_20:3)-H","642.41407","143.10775","305.24865","2.00370151515152","2.30370151515152","2869"
"","MMPE(8:0_21:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(8:0_21:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(8:0_21:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(8:0_21:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(8:0_21:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(8:0_21:0)-H","662.47667","143.10775","325.31125","6.13960757575758","6.43960757575758","188"
"","MMPE(8:0_22:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(8:0_22:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(8:0_22:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(8:0_22:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(8:0_22:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(8:0_22:3)-H","670.44537","143.10775","333.27995","2.93351060606061","3.23351060606061","3661"
"","MMPE(8:0_22:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(8:0_22:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(8:0_22:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(8:0_22:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(8:0_22:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(8:0_22:4)-H","668.42967","143.10775","331.26425","2.12131818181818","2.42131818181818","3091"
"","MMPE(8:0_25:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(8:0_25:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(8:0_25:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(8:0_25:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(8:0_25:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(8:0_25:0)-H","718.53927","143.10775","381.37385","8.47925757575758","8.77925757575758","193"
"","MMPE(10:0_18:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(10:0_18:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(10:0_18:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(10:0_18:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(10:0_18:3)-H",0,0,0,"2.00370151515152","2.30370151515152","2869","","MMPE(10:0_18:3)-H","642.41407","171.13905","277.21735","2.00370151515152","2.30370151515152","2869"
"","MMPE(10:0_19:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(10:0_19:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(10:0_19:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(10:0_19:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(10:0_19:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(10:0_19:0)-H","662.47667","171.13905","297.27995","6.13960757575758","6.43960757575758","188"
"","MMPE(10:0_20:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(10:0_20:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(10:0_20:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(10:0_20:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(10:0_20:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(10:0_20:3)-H","670.44537","171.13905","305.24865","2.93351060606061","3.23351060606061","3661"
"","MMPE(10:0_20:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(10:0_20:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(10:0_20:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(10:0_20:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(10:0_20:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(10:0_20:4)-H","668.42967","171.13905","303.23295","2.12131818181818","2.42131818181818","3091"
