"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","OxLPE(13:3(COOH))-H",0,0,0,0,0,0,0,0,0,"0.24195","0.54195","3898","","OxLPE(13:3(COOH))-H",0,0,0,0,0,0,0,0,0,"0.24195","0.54195","3898","","OxLPE(13:3(COOH))-H",0,0,0,0,0,0,0,0,0,"0.24195","0.54195","3898","","OxLPE(13:3(COOH))-H",0,0,0,0,0,0,0,0,0,"0.24195","0.54195","3898","","OxLPE(13:3(COOH))-H",0,0,0,0,0,0,0,0,0,"0.24195","0.54195","3898","","OxLPE(13:3(COOH))-H","434.15858","214.048615","196.038055","237.11326","152.99586","96.96964","78.95852","140.01128","122.0007","0.24195","0.54195","3898"
"","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:4(OH))-H","488.24189","214.048615","196.038055","291.19657","152.99586","96.96964","78.95852","140.01128","122.0007","0.243756060606061","0.543756060606061","112"
"","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:4(OH))-H","488.24189","214.048615","196.038055","291.19657","152.99586","96.96964","78.95852","140.01128","122.0007","0.774281818181818","1.07428181818182","666"
"","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:4(OH))-H","488.24189","214.048615","196.038055","291.19657","152.99586","96.96964","78.95852","140.01128","122.0007","0.568266666666667","0.868266666666667","3418"
"","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:4(OH))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:4(OH))-H","488.24189","214.048615","196.038055","291.19657","152.99586","96.96964","78.95852","140.01128","122.0007","1.25231818181818","1.55231818181818","3677"
"","OxLPE(22:1(OH))-H",0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","OxLPE(22:1(OH))-H",0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","OxLPE(22:1(OH))-H",0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","OxLPE(22:1(OH))-H",0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","OxLPE(22:1(OH))-H",0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","OxLPE(22:1(OH))-H","550.35149","214.048615","196.038055","353.30617","152.99586","96.96964","78.95852","140.01128","122.0007","0.98556166666667","1.28556166666667","1282"
"","OxLPE(18:1(OO))-H",0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","OxLPE(18:1(OO))-H",0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","OxLPE(18:1(OO))-H",0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","OxLPE(18:1(OO))-H",0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","OxLPE(18:1(OO))-H",0,0,0,0,0,0,0,0,0,"0.77015","1.07015","1006","","OxLPE(18:1(OO))-H","510.28381","214.048615","196.038055","313.23849","152.99586","96.96964","78.95852","140.01128","122.0007","0.77015","1.07015","1006"
"","OxLPE(20:1(OO))-H",1,0,0,0,0,0,0,0,0,"0.528524242424242","0.828524242424242","137","","OxLPE(20:1(OO))-H",0.7102667,0,0,0,0.7102667,0,0,0,0,"0.528524242424242","0.828524242424242","137","","OxLPE(20:1(OO))-H",1,0,0,0,1,0,0,0,0,"0.528524242424242","0.828524242424242","137","","OxLPE(20:1(OO))-H",11283.69,0,0,0,768.0608,0,0,0,0,"0.528524242424242","0.828524242424242","137","","OxLPE(20:1(OO))-H",538.3149,0,0,0,152.9958,0,0,0,0,"0.528524242424242","0.828524242424242","137","","OxLPE(20:1(OO))-H","538.31511","214.048615","196.038055","341.26979","152.99586","96.96964","78.95852","140.01128","122.0007","0.528524242424242","0.828524242424242","137"
"","OxLPE(20:1(OO))-H",1,0,0,0,0,0,0,0,0,"1.20290151515152","1.50290151515152","706","","OxLPE(20:1(OO))-H",1.364999,0,0,0,1.364999,0,0,0,0,"1.20290151515152","1.50290151515152","706","","OxLPE(20:1(OO))-H",1,0,0,0,1,0,0,0,0,"1.20290151515152","1.50290151515152","706","","OxLPE(20:1(OO))-H",28938.36,0,0,0,668.9499,0,0,0,0,"1.20290151515152","1.50290151515152","706","","OxLPE(20:1(OO))-H",538.3154,0,0,0,152.9959,0,0,0,0,"1.20290151515152","1.50290151515152","706","","OxLPE(20:1(OO))-H","538.31511","214.048615","196.038055","341.26979","152.99586","96.96964","78.95852","140.01128","122.0007","1.20290151515152","1.50290151515152","706"
"","OxLPE(20:2(OO))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:2(OO))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:2(OO))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:2(OO))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:2(OO))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:2(OO))-H","536.29941","214.048615","196.038055","339.25409","152.99586","96.96964","78.95852","140.01128","122.0007","0.817175757575758","1.11717575757576","898"
