"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","OxPE(8:0_12:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(8:0_12:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(8:0_12:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(8:0_12:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(8:0_12:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(8:0_12:0(CHO))-H","536.29942","410.19493","340.15307","392.18437","322.14251","143.10777","213.14963","152.99586","96.96964","78.95852","140.01128","122.0007","0.817175757575758","1.11717575757576","898"
"","OxPE(8:0_14:0(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(8:0_14:0(CHO))-H",0.778071,0,0,0,0,0,0,0.778071,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(8:0_14:0(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(8:0_14:0(CHO))-H",64452.28,0,0,0,0,0,0,5329.42,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(8:0_14:0(CHO))-H",564.3311,0,0,0,0,0,0,152.996,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(8:0_14:0(CHO))-H","564.33072","438.22623","340.15307","420.21567","322.14251","143.10777","241.18093","152.99586","96.96964","78.95852","140.01128","122.0007","0.590513636363636","0.890513636363636","28"
"","OxPE(8:0_14:0(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(8:0_14:0(CHO))-H",0.778071,0,0,0,0,0,0,0.778071,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(8:0_14:0(CHO))-H",2,0,0,0,0,0,0,2,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(8:0_14:0(CHO))-H",64452.28,0,0,0,0,0,0,5329.42,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(8:0_14:0(CHO))-H",564.3311,0,0,0,0,0,0,152.9957,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(8:0_14:0(CHO))-H","564.33072","438.22623","340.15307","420.21567","322.14251","143.10777","241.18093","152.99586","96.96964","78.95852","140.01128","122.0007","0.765088888888889","1.06508888888889","276"
"","OxPE(8:0_12:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(8:0_12:1(CHO))-H",0.7473137,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(8:0_12:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(8:0_12:1(CHO))-H",27888.15,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(8:0_12:1(CHO))-H",534.2839,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(8:0_12:1(CHO))-H","534.28378","408.17929","340.15307","390.16873","322.14251","143.10777","211.13399","152.99586","96.96964","78.95852","140.01128","122.0007","0.570583333333333","0.870583333333333","575"
"","OxPE(8:0_14:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(8:0_14:1(CHO))-H",0.6191943,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(8:0_14:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(8:0_14:1(CHO))-H",1367.118,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(8:0_14:1(CHO))-H",562.3171,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(8:0_14:1(CHO))-H","562.31508","436.21059","340.15307","418.20003","322.14251","143.10777","239.16529","152.99586","96.96964","78.95852","140.01128","122.0007","0.452106060606061","0.752106060606061","352"
"","OxPE(8:0_14:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(8:0_14:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(8:0_14:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(8:0_14:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(8:0_14:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(8:0_14:3(CHO))-H","558.28378","432.17929","340.15307","414.16873","322.14251","143.10777","235.13399","152.99586","96.96964","78.95852","140.01128","122.0007","0.533388333333333","0.833388333333333","2084"
"","OxPE(8:0_16:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.69500303030303","0.99500303030303","179","","OxPE(8:0_16:1(CHO))-H",0.8874418,0,0,0,0,0,0,0,0,0,0,0,"0.69500303030303","0.99500303030303","179","","OxPE(8:0_16:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.69500303030303","0.99500303030303","179","","OxPE(8:0_16:1(CHO))-H",1800.179,0,0,0,0,0,0,0,0,0,0,0,"0.69500303030303","0.99500303030303","179","","OxPE(8:0_16:1(CHO))-H",590.3469,0,0,0,0,0,0,0,0,0,0,0,"0.69500303030303","0.99500303030303","179","","OxPE(8:0_16:1(CHO))-H","590.34638","464.24189","340.15307","446.23133","322.14251","143.10777","267.19659","152.99586","96.96964","78.95852","140.01128","122.0007","0.69500303030303","0.99500303030303","179"
"","OxPE(8:0_16:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.84495","1.14495","3808","","OxPE(8:0_16:1(CHO))-H",0.8874418,0,0,0,0,0,0,0,0,0,0,0,"0.84495","1.14495","3808","","OxPE(8:0_16:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.84495","1.14495","3808","","OxPE(8:0_16:1(CHO))-H",1800.179,0,0,0,0,0,0,0,0,0,0,0,"0.84495","1.14495","3808","","OxPE(8:0_16:1(CHO))-H",590.3469,0,0,0,0,0,0,0,0,0,0,0,"0.84495","1.14495","3808","","OxPE(8:0_16:1(CHO))-H","590.34638","464.24189","340.15307","446.23133","322.14251","143.10777","267.19659","152.99586","96.96964","78.95852","140.01128","122.0007","0.84495","1.14495","3808"
"","OxPE(8:0_16:2(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.553121212121212","0.853121212121212","92","","OxPE(8:0_16:2(CHO))-H",0.7421239,0,0,0,0,0,0,0.7421239,0,0,0,0,"0.553121212121212","0.853121212121212","92","","OxPE(8:0_16:2(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.553121212121212","0.853121212121212","92","","OxPE(8:0_16:2(CHO))-H",10043.71,0,0,0,0,0,0,1064.382,0,0,0,0,"0.553121212121212","0.853121212121212","92","","OxPE(8:0_16:2(CHO))-H",588.3312,0,0,0,0,0,0,152.9958,0,0,0,0,"0.553121212121212","0.853121212121212","92","","OxPE(8:0_16:2(CHO))-H","588.33073","462.22624","340.15307","444.21568","322.14251","143.10777","265.18094","152.99586","96.96964","78.95852","140.01128","122.0007","0.553121212121212","0.853121212121212","92"
"","OxPE(8:0_16:2(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.725137037037037","1.02513703703704","786","","OxPE(8:0_16:2(CHO))-H",0.7421239,0,0,0,0,0,0,0.7421239,0,0,0,0,"0.725137037037037","1.02513703703704","786","","OxPE(8:0_16:2(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.725137037037037","1.02513703703704","786","","OxPE(8:0_16:2(CHO))-H",10043.71,0,0,0,0,0,0,1064.382,0,0,0,0,"0.725137037037037","1.02513703703704","786","","OxPE(8:0_16:2(CHO))-H",588.3312,0,0,0,0,0,0,152.9958,0,0,0,0,"0.725137037037037","1.02513703703704","786","","OxPE(8:0_16:2(CHO))-H","588.33073","462.22624","340.15307","444.21568","322.14251","143.10777","265.18094","152.99586","96.96964","78.95852","140.01128","122.0007","0.725137037037037","1.02513703703704","786"
