"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PC(8:0_17:1)+HCO2",1,0,0,0,0,0,0,0,0,0,0,1,1,0,"3.71595909090909","4.01595909090909","111","","PC(8:0_17:1)+HCO2",3.867781,0,0,0,0,0,0,0,0,0,0,3.867781,3.867781,0,"3.71595909090909","4.01595909090909","111","","PC(8:0_17:1)+HCO2",2,0,0,0,0,0,0,0,0,0,0,2,1,0,"3.71595909090909","4.01595909090909","111","","PC(8:0_17:1)+HCO2",258464.7,0,0,0,0,0,0,0,0,0,0,65533.39,5935.135,0,"3.71595909090909","4.01595909090909","111","","PC(8:0_17:1)+HCO2",678.43565,0,0,0,0,0,0,0,0,0,0,152.99585,96.96986,0,"3.71595909090909","4.01595909090909","111","","PC(8:0_17:1)+HCO2","678.43518","618.41404","547.34054","492.30957","368.18437","474.29901","350.17381","224.06881","143.10775","267.23295","168.04314","152.99586","96.96964","78.95852","3.71595909090909","4.01595909090909","111"
"","PC(8:0_20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","PC(8:0_20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","PC(8:0_20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","PC(8:0_20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","PC(8:0_20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","PC(8:0_20:0)+HCO2","722.49778","662.47664","591.40314","536.37217","368.18437","518.36161","350.17381","224.06881","143.10775","311.29555","168.04314","152.99586","96.96964","78.95852","4.52922272727273","4.82922272727273","1173"
"","PC(8:0_20:1)+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","PC(8:0_20:1)+HCO2",5.740896,0,0,0,0,0,0,0,0,0,0,5.740896,0,0,"5.56829242424242","5.86829242424242","190","","PC(8:0_20:1)+HCO2",1,0,0,0,0,0,0,0,0,0,0,1,0,0,"5.56829242424242","5.86829242424242","190","","PC(8:0_20:1)+HCO2",182553.7,0,0,0,0,0,0,0,0,0,0,690.6321,0,0,"5.56829242424242","5.86829242424242","190","","PC(8:0_20:1)+HCO2",720.4832,0,0,0,0,0,0,0,0,0,0,152.9959,0,0,"5.56829242424242","5.86829242424242","190","","PC(8:0_20:1)+HCO2","720.48218","660.46104","589.38754","534.35657","368.18437","516.34601","350.17381","224.06881","143.10775","309.27995","168.04314","152.99586","96.96964","78.95852","5.56829242424242","5.86829242424242","190"
"","PC(8:0_22:0)+HCO2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,"5.85595303030303","6.15595303030303","292","","PC(8:0_22:0)+HCO2",5.999008,5.999008,0,0,0,0,0,0,0,0,5.999008,0,0,0,"5.85595303030303","6.15595303030303","292","","PC(8:0_22:0)+HCO2",2,2,0,0,0,0,0,0,0,0,2,0,0,0,"5.85595303030303","6.15595303030303","292","","PC(8:0_22:0)+HCO2",7398.128,108196.4,0,0,0,0,0,0,0,0,2710.919,0,0,0,"5.85595303030303","6.15595303030303","292","","PC(8:0_22:0)+HCO2",750.53085,690.5088,0,0,0,0,0,0,0,0,168.04305,0,0,0,"5.85595303030303","6.15595303030303","292","","PC(8:0_22:0)+HCO2","750.52908","690.50794","619.43444","564.40347","368.18437","546.39291","350.17381","224.06881","143.10775","339.32685","168.04314","152.99586","96.96964","78.95852","5.85595303030303","6.15595303030303","292"
"","PC(8:0_22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PC(8:0_22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PC(8:0_22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PC(8:0_22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PC(8:0_22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PC(8:0_22:1)+HCO2","748.51348","688.49234","617.41884","562.38787","368.18437","544.37731","350.17381","224.06881","143.10775","337.31125","168.04314","152.99586","96.96964","78.95852","4.66369090909091","4.96369090909091","3080"
"","PC(8:0_24:0)+HCO2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,"7.07521363636364","7.37521363636364","654","","PC(8:0_24:0)+HCO2",7.238242,7.238242,0,0,0,0,0,7.238242,0,0,7.238242,0,0,0,"7.07521363636364","7.37521363636364","654","","PC(8:0_24:0)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"7.07521363636364","7.37521363636364","654","","PC(8:0_24:0)+HCO2",10895.04,174089.1,0,0,0,0,0,799.2239,0,0,2772.694,0,0,0,"7.07521363636364","7.37521363636364","654","","PC(8:0_24:0)+HCO2",778.5616,718.5398,0,0,0,0,0,224.0693,0,0,168.043,0,0,0,"7.07521363636364","7.37521363636364","654","","PC(8:0_24:0)+HCO2","778.56038","718.53924","647.46574","592.43477","368.18437","574.42421","350.17381","224.06881","143.10775","367.35815","168.04314","152.99586","96.96964","78.95852","7.07521363636364","7.37521363636364","654"
"","PC(8:0_24:1)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"5.97987878787879","6.27987878787879","160","","PC(8:0_24:1)+HCO2",6.165564,6.165564,0,0,0,0,0,6.165564,0,0,6.165564,0,0,0,"5.97987878787879","6.27987878787879","160","","PC(8:0_24:1)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"5.97987878787879","6.27987878787879","160","","PC(8:0_24:1)+HCO2",7300.446,142560.1,0,0,0,0,0,2118.297,0,0,1848.398,0,0,0,"5.97987878787879","6.27987878787879","160","","PC(8:0_24:1)+HCO2",776.5465,716.5245,0,0,0,0,0,224.0696,0,0,168.0433,0,0,0,"5.97987878787879","6.27987878787879","160","","PC(8:0_24:1)+HCO2","776.54478","716.52364","645.45014","590.41917","368.18437","572.40861","350.17381","224.06881","143.10775","365.34255","168.04314","152.99586","96.96964","78.95852","5.97987878787879","6.27987878787879","160"
"","PC(8:0_24:1)+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PC(8:0_24:1)+HCO2",8.003457,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PC(8:0_24:1)+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PC(8:0_24:1)+HCO2",55092.88,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PC(8:0_24:1)+HCO2",776.5453,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PC(8:0_24:1)+HCO2","776.54478","716.52364","645.45014","590.41917","368.18437","572.40861","350.17381","224.06881","143.10775","365.34255","168.04314","152.99586","96.96964","78.95852","7.8329303030303","8.1329303030303","782"
"","PC(8:0_24:1)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"6.10964166666667","6.40964166666667","2194","","PC(8:0_24:1)+HCO2",6.165564,6.165564,0,0,0,0,0,6.165564,0,0,6.165564,0,0,0,"6.10964166666667","6.40964166666667","2194","","PC(8:0_24:1)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"6.10964166666667","6.40964166666667","2194","","PC(8:0_24:1)+HCO2",7300.446,142560.1,0,0,0,0,0,2118.297,0,0,1848.398,0,0,0,"6.10964166666667","6.40964166666667","2194","","PC(8:0_24:1)+HCO2",776.5465,716.5245,0,0,0,0,0,224.0696,0,0,168.0433,0,0,0,"6.10964166666667","6.40964166666667","2194","","PC(8:0_24:1)+HCO2","776.54478","716.52364","645.45014","590.41917","368.18437","572.40861","350.17381","224.06881","143.10775","365.34255","168.04314","152.99586","96.96964","78.95852","6.10964166666667","6.40964166666667","2194"
"","PC(8:0_26:0)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"8.19296060606061","8.49296060606061","231","","PC(8:0_26:0)+HCO2",8.354185,8.354185,0,0,0,0,0,8.354185,0,0,8.354185,0,0,0,"8.19296060606061","8.49296060606061","231","","PC(8:0_26:0)+HCO2",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"8.19296060606061","8.49296060606061","231","","PC(8:0_26:0)+HCO2",20790.72,405654.6,0,0,0,0,0,3615.187,0,0,7912.947,0,0,0,"8.19296060606061","8.49296060606061","231","","PC(8:0_26:0)+HCO2",806.5926,746.5714,0,0,0,0,0,224.0694,0,0,168.0431,0,0,0,"8.19296060606061","8.49296060606061","231","","PC(8:0_26:0)+HCO2","806.59168","746.57054","675.49704","620.46607","368.18437","602.45551","350.17381","224.06881","143.10775","395.38945","168.04314","152.99586","96.96964","78.95852","8.19296060606061","8.49296060606061","231"
