"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Number of Scans","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Max Intensity","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Average m/z","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment"
"","PI(8:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(8:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(8:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(8:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(8:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(8:0_24:1)-H","807.50302","645.45018","681.39855","459.16375","663.38799","441.15319","519.34571","297.11091","501.33515","279.10035","143.10775","365.34255","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(10:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(10:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(10:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(10:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(10:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(10:0_22:1)-H","807.50302","645.45018","653.36725","487.19505","635.35669","469.18449","491.31441","325.14221","473.30385","307.13165","171.13905","337.31125","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(10:0_24:1)-H","835.53432","673.48148","681.39855","487.19505","663.38799","469.18449","519.34571","325.14221","501.33515","307.13165","171.13905","365.34255","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.35398333333333","6.65398333333333","1803"
"","PI(12:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(12:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(12:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(12:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(12:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(12:0_20:1)-H","807.50302","645.45018","625.33595","515.22635","607.32539","497.21579","463.28311","353.17351","445.27255","335.16295","199.17035","309.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(12:0_22:1)-H","835.53432","673.48148","653.36725","515.22635","635.35669","497.21579","491.31441","353.17351","473.30385","335.16295","199.17035","337.31125","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.35398333333333","6.65398333333333","1803"
"","PI(12:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"5.43252424242424","5.73252424242424","250","","PI(12:0_22:2)-H",5.607739,0,0,0,0,0,0,0,0,0,0,0,5.607739,0,0,5.607739,5.607739,0,0,5.607739,"5.43252424242424","5.73252424242424","250","","PI(12:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"5.43252424242424","5.73252424242424","250","","PI(12:0_22:2)-H",125384,0,0,0,0,0,0,0,0,0,0,0,2438.442,0,0,10946.08,2278.812,0,0,652.9462,"5.43252424242424","5.73252424242424","250","","PI(12:0_22:2)-H",833.5197,0,0,0,0,0,0,0,0,0,0,0,152.9959,0,0,241.0122,223.0013,0,0,297.0382,"5.43252424242424","5.73252424242424","250","","PI(12:0_22:2)-H","833.51862","671.46578","651.35155","515.22635","633.34099","497.21579","489.29871","353.17351","471.28815","335.16295","199.17035","335.29555","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.43252424242424","5.73252424242424","250"
"","PI(13:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(13:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(13:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(13:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(13:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(13:0_20:1)-H","821.51872","659.46588","625.33595","529.24205","607.32539","511.23149","463.28311","367.18921","445.27255","349.17865","213.18605","309.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.44282272727273","5.74282272727273","3803"
"","PI(14:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:0_18:1)-H","807.50302","645.45018","597.30465","543.25765","579.29409","525.24709","435.25181","381.20481","417.24125","363.19425","227.20165","281.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:0_20:1)-H","835.53432","673.48148","625.33595","543.25765","607.32539","525.24709","463.28311","381.20481","445.27255","363.19425","227.20165","309.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.35398333333333","6.65398333333333","1803"
"","PI(14:0_20:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"5.43252424242424","5.73252424242424","250","","PI(14:0_20:2)-H",5.607739,0,0,0,0,0,0,0,0,0,0,0,5.607739,0,0,5.607739,5.607739,0,0,5.607739,"5.43252424242424","5.73252424242424","250","","PI(14:0_20:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"5.43252424242424","5.73252424242424","250","","PI(14:0_20:2)-H",125384,0,0,0,0,0,0,0,0,0,0,0,2438.442,0,0,10946.08,2278.812,0,0,652.9462,"5.43252424242424","5.73252424242424","250","","PI(14:0_20:2)-H",833.5197,0,0,0,0,0,0,0,0,0,0,0,152.9959,0,0,241.0122,223.0013,0,0,297.0382,"5.43252424242424","5.73252424242424","250","","PI(14:0_20:2)-H","833.51862","671.46578","623.32025","543.25765","605.30969","525.24709","461.26741","381.20481","443.25685","363.19425","227.20165","307.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.43252424242424","5.73252424242424","250"
"","PI(14:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",6.797093,0,0,0,0,0,0,0,0,0,0,0,6.797093,0,0,6.797093,6.797093,0,0,6.797093,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",112051.9,0,0,0,0,0,0,0,0,0,0,0,2477.512,0,0,13168.64,2643.757,0,0,1046.608,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",861.5511,0,0,0,0,0,0,0,0,0,0,0,152.9958,0,0,241.012,223.0014,0,0,297.0381,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H","861.54992","699.49708","651.35155","543.25765","633.34099","525.24709","489.29871","381.20481","471.28815","363.19425","227.20165","335.29555","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.61526818181818","6.91526818181818","665"
"","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H","859.53432","697.48148","649.33595","543.25765","631.32539","525.24709","487.28311","381.20481","469.27255","363.19425","227.20165","333.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.53224090909091","5.83224090909091","522"
