"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PS(8:0_14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(8:0_14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(8:0_14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(8:0_14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(8:0_14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(8:0_14:1)-H","592.3257","505.29368","379.18921","297.11091","361.17865","279.10035","224.06881","143.10775","225.18605","152.99586","96.96964","78.95852","0.590781666666667","0.890781666666667","3933"
"","PS(8:0_20:0)-H",1,1,0,0,0,0,0,0,0,1,1,0,"3.71595909090909","4.01595909090909","111","","PS(8:0_20:0)-H",3.867781,3.867781,0,0,0,0,0,0,0,3.867781,3.867781,0,"3.71595909090909","4.01595909090909","111","","PS(8:0_20:0)-H",2,2,0,0,0,0,0,0,0,2,1,0,"3.71595909090909","4.01595909090909","111","","PS(8:0_20:0)-H",258464.7,388725.9,0,0,0,0,0,0,0,65533.39,5935.135,0,"3.71595909090909","4.01595909090909","111","","PS(8:0_20:0)-H",678.43565,591.4034,0,0,0,0,0,0,0,152.99585,96.96986,0,"3.71595909090909","4.01595909090909","111","","PS(8:0_20:0)-H","678.4352","591.40318","465.29871","297.11091","447.28815","279.10035","224.06881","143.10775","311.29555","152.99586","96.96964","78.95852","3.71595909090909","4.01595909090909","111"
"","PS(8:0_23:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","PS(8:0_23:0)-H",5.740896,0,0,0,0,0,0,0,0,5.740896,0,0,"5.56829242424242","5.86829242424242","190","","PS(8:0_23:0)-H",1,0,0,0,0,0,0,0,0,1,0,0,"5.56829242424242","5.86829242424242","190","","PS(8:0_23:0)-H",182553.7,0,0,0,0,0,0,0,0,690.6321,0,0,"5.56829242424242","5.86829242424242","190","","PS(8:0_23:0)-H",720.4832,0,0,0,0,0,0,0,0,152.9959,0,0,"5.56829242424242","5.86829242424242","190","","PS(8:0_23:0)-H","720.4822","633.45018","507.34571","297.11091","489.33515","279.10035","224.06881","143.10775","353.34255","152.99586","96.96964","78.95852","5.56829242424242","5.86829242424242","190"
"","PS(8:0_25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(8:0_25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(8:0_25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(8:0_25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(8:0_25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(8:0_25:0)-H","748.5135","661.48148","535.37701","297.11091","517.36645","279.10035","224.06881","143.10775","381.37385","152.99586","96.96964","78.95852","4.66369090909091","4.96369090909091","3080"
"","PS(8:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(8:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(8:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(8:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(8:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(8:0_26:0)-H","762.5291","675.49708","549.39261","297.11091","531.38205","279.10035","224.06881","143.10775","395.38945","152.99586","96.96964","78.95852","7.52695606060606","7.82695606060606","949"
"","PS(10:0_18:0)-H",1,1,0,0,0,0,0,0,0,1,1,0,"3.71595909090909","4.01595909090909","111","","PS(10:0_18:0)-H",3.867781,3.867781,0,0,0,0,0,0,0,3.867781,3.867781,0,"3.71595909090909","4.01595909090909","111","","PS(10:0_18:0)-H",2,2,0,0,0,0,0,0,0,2,1,0,"3.71595909090909","4.01595909090909","111","","PS(10:0_18:0)-H",258464.7,388725.9,0,0,0,0,0,0,0,65533.39,5935.135,0,"3.71595909090909","4.01595909090909","111","","PS(10:0_18:0)-H",678.43565,591.4034,0,0,0,0,0,0,0,152.99585,96.96986,0,"3.71595909090909","4.01595909090909","111","","PS(10:0_18:0)-H","678.4352","591.40318","437.26741","325.14221","419.25685","307.13165","224.06881","171.13905","283.26425","152.99586","96.96964","78.95852","3.71595909090909","4.01595909090909","111"
"","PS(10:0_21:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","PS(10:0_21:0)-H",5.740896,0,0,0,0,0,0,0,0,5.740896,0,0,"5.56829242424242","5.86829242424242","190","","PS(10:0_21:0)-H",1,0,0,0,0,0,0,0,0,1,0,0,"5.56829242424242","5.86829242424242","190","","PS(10:0_21:0)-H",182553.7,0,0,0,0,0,0,0,0,690.6321,0,0,"5.56829242424242","5.86829242424242","190","","PS(10:0_21:0)-H",720.4832,0,0,0,0,0,0,0,0,152.9959,0,0,"5.56829242424242","5.86829242424242","190","","PS(10:0_21:0)-H","720.4822","633.45018","479.31441","325.14221","461.30385","307.13165","224.06881","171.13905","325.31125","152.99586","96.96964","78.95852","5.56829242424242","5.86829242424242","190"
"","PS(10:0_23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(10:0_23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(10:0_23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(10:0_23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(10:0_23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(10:0_23:0)-H","748.5135","661.48148","507.34571","325.14221","489.33515","307.13165","224.06881","171.13905","353.34255","152.99586","96.96964","78.95852","4.66369090909091","4.96369090909091","3080"
"","PS(10:0_24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(10:0_24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(10:0_24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(10:0_24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(10:0_24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(10:0_24:0)-H","762.5291","675.49708","521.36131","325.14221","503.35075","307.13165","224.06881","171.13905","367.35815","152.99586","96.96964","78.95852","7.52695606060606","7.82695606060606","949"
"","PS(10:0_25:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(10:0_25:0)-H",6.165564,0,0,0,0,0,6.165564,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(10:0_25:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(10:0_25:0)-H",7300.446,0,0,0,0,0,2118.297,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(10:0_25:0)-H",776.5465,0,0,0,0,0,224.0696,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(10:0_25:0)-H","776.5448","689.51278","535.37701","325.14221","517.36645","307.13165","224.06881","171.13905","381.37385","152.99586","96.96964","78.95852","5.97987878787879","6.27987878787879","160"
