"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","Plasmanyl-PC(O-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","Plasmanyl-PC(O-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","Plasmanyl-PC(O-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","Plasmanyl-PC(O-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","Plasmanyl-PC(O-16:0/16:0)+HCO2","764.58112","704.55998","633.48648","466.33031","448.31975","377.24626","224.06881","255.23295","168.04314","152.99586","96.96964","78.95852","7.76112727272727","8.06112727272727","1915"
"","Plasmanyl-PC(O-16:0/16:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:0/16:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:0/16:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:0/16:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:0/16:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:0/16:1)+HCO2","762.56552","702.54438","631.47088","466.33031","448.31975","377.24626","224.06881","253.21735","168.04314","152.99586","96.96964","78.95852","7.58775757575758","7.88775757575758","2502"
"","Plasmanyl-PC(O-16:0/18:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,0,"8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-16:0/18:0)+HCO2",0,9.011156,0,0,0,0,0,0,0,0,0,0,"8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-16:0/18:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,0,"8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-16:0/18:0)+HCO2",0,8774.465,0,0,0,0,0,0,0,0,0,0,"8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-16:0/18:0)+HCO2",0,732.5918,0,0,0,0,0,0,0,0,0,0,"8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-16:0/18:0)+HCO2","792.61242","732.59128","661.51778","466.33031","448.31975","377.24626","224.06881","283.26425","168.04314","152.99586","96.96964","78.95852","8.84105909090909","9.14105909090909","1763"
"","Plasmanyl-PC(O-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmanyl-PC(O-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmanyl-PC(O-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmanyl-PC(O-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmanyl-PC(O-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmanyl-PC(O-16:0/18:1)+HCO2","790.59682","730.57568","659.50218","466.33031","448.31975","377.24626","224.06881","281.24865","168.04314","152.99586","96.96964","78.95852","7.8228196969697","8.1228196969697","1060"
"","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmanyl-PC(O-16:0/18:2)+HCO2","788.58112","728.55998","657.48648","466.33031","448.31975","377.24626","224.06881","279.23295","168.04314","152.99586","96.96964","78.95852","7.64452121212121","7.94452121212121","1776"
"","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmanyl-PC(O-16:0/18:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmanyl-PC(O-16:0/18:2)+HCO2","788.58112","728.55998","657.48648","466.33031","448.31975","377.24626","224.06881","279.23295","168.04314","152.99586","96.96964","78.95852","6.91709848484848","7.21709848484848","3363"
"","Plasmanyl-PC(O-16:0/18:3)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:0/18:3)+HCO2",6.916239,6.916239,0,0,0,0,0,0,6.916239,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:0/18:3)+HCO2",1,1,0,0,0,0,0,0,1,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:0/18:3)+HCO2",3644.318,89306.26,0,0,0,0,0,0,644.8086,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:0/18:3)+HCO2",786.567,726.5453,0,0,0,0,0,0,168.0433,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:0/18:3)+HCO2","786.56552","726.54438","655.47088","466.33031","448.31975","377.24626","224.06881","277.21735","168.04314","152.99586","96.96964","78.95852","6.72870454545455","7.02870454545455","554"
"","Plasmanyl-PC(O-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmanyl-PC(O-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmanyl-PC(O-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmanyl-PC(O-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmanyl-PC(O-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmanyl-PC(O-16:0/20:2)+HCO2","816.61242","756.59128","685.51778","466.33031","448.31975","377.24626","224.06881","307.26425","168.04314","152.99586","96.96964","78.95852","8.07845303030303","8.37845303030303","1249"
"","Plasmanyl-PC(O-16:0/20:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmanyl-PC(O-16:0/20:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmanyl-PC(O-16:0/20:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmanyl-PC(O-16:0/20:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmanyl-PC(O-16:0/20:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmanyl-PC(O-16:0/20:3)+HCO2","814.59682","754.57568","683.50218","466.33031","448.31975","377.24626","224.06881","305.24865","168.04314","152.99586","96.96964","78.95852","7.87242424242424","8.17242424242424","1705"
"","Plasmanyl-PC(O-16:0/20:4)+HCO2",1,1,0,1,1,1,0,1,0,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2",6.844614,6.844614,0,6.844614,6.844614,6.844614,0,6.844614,6.844614,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2",1,1,0,1,1,1,0,1,1,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2",8293.021,187415.8,0,22784.34,3445.069,1174.976,0,208457.1,636.1218,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2",812.582,752.5608,0,466.3304,448.3198,377.2464,0,303.233,168.0431,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2","812.58112","752.55998","681.48648","466.33031","448.31975","377.24626","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","6.72865757575758","7.02865757575758","422"
