"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","Plasmanyl-PE(O-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-16:0/20:2)-H","728.55999","438.29902","420.28846","307.26425","152.99586","96.96964","78.95852","140.01128","122.0007","9.03562575757576","9.33562575757576","1043"
"","Plasmanyl-PE(O-16:0/20:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-16:0/20:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-16:0/20:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-16:0/20:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-16:0/20:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-16:0/20:3)-H","726.54439","438.29902","420.28846","305.24865","152.99586","96.96964","78.95852","140.01128","122.0007","8.1809303030303","8.4809303030303","809"
"","Plasmanyl-PE(O-16:0/20:5)-H",1,0,0,0,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmanyl-PE(O-16:0/20:5)-H",7.006121,0,0,0,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmanyl-PE(O-16:0/20:5)-H",1,0,0,0,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmanyl-PE(O-16:0/20:5)-H",48064.52,0,0,0,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmanyl-PE(O-16:0/20:5)-H",722.5139,0,0,0,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmanyl-PE(O-16:0/20:5)-H","722.51309","438.29902","420.28846","301.21735","152.99586","96.96964","78.95852","140.01128","122.0007","6.82514545454545","7.12514545454545","733"
"","Plasmanyl-PE(O-16:0/22:5)-H",1,0,0,0,0,0,0,1,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-16:0/22:5)-H",8.129968,0,0,0,0,0,0,8.129968,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-16:0/22:5)-H",1,0,0,0,0,0,0,1,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-16:0/22:5)-H",120687.7,0,0,0,0,0,0,4813.971,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-16:0/22:5)-H",750.5452,0,0,0,0,0,0,140.0119,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-16:0/22:5)-H","750.54439","438.29902","420.28846","329.24865","152.99586","96.96964","78.95852","140.01128","122.0007","7.9998696969697","8.2998696969697","524"
"","Plasmanyl-PE(O-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmanyl-PE(O-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmanyl-PE(O-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmanyl-PE(O-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmanyl-PE(O-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmanyl-PE(O-16:0/22:6)-H","748.52869","438.29902","420.28846","327.23295","152.99586","96.96964","78.95852","140.01128","122.0007","6.87461666666667","7.17461666666667","1462"
"","Plasmanyl-PE(O-18:0/18:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-18:0/18:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-18:0/18:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-18:0/18:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-18:0/18:2)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmanyl-PE(O-18:0/18:2)-H","728.55999","466.33032","448.31976","279.23295","152.99586","96.96964","78.95852","140.01128","122.0007","9.03562575757576","9.33562575757576","1043"
"","Plasmanyl-PE(O-18:0/18:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-18:0/18:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-18:0/18:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-18:0/18:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-18:0/18:3)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmanyl-PE(O-18:0/18:3)-H","726.54439","466.33032","448.31976","277.21735","152.99586","96.96964","78.95852","140.01128","122.0007","8.1809303030303","8.4809303030303","809"
"","Plasmanyl-PE(O-18:0/20:5)-H",1,0,0,0,0,0,0,1,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-18:0/20:5)-H",8.129968,0,0,0,0,0,0,8.129968,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-18:0/20:5)-H",1,0,0,0,0,0,0,1,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-18:0/20:5)-H",120687.7,0,0,0,0,0,0,4813.971,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-18:0/20:5)-H",750.5452,0,0,0,0,0,0,140.0119,0,"7.9998696969697","8.2998696969697","524","","Plasmanyl-PE(O-18:0/20:5)-H","750.54439","466.33032","448.31976","301.21735","152.99586","96.96964","78.95852","140.01128","122.0007","7.9998696969697","8.2998696969697","524"
"","Plasmanyl-PE(O-18:0/22:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-18:0/22:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-18:0/22:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-18:0/22:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-18:0/22:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-18:0/22:5)-H","778.57569","466.33032","448.31976","329.24865","152.99586","96.96964","78.95852","140.01128","122.0007","9.03998333333333","9.33998333333333","1310"
"","Plasmanyl-PE(O-20:0/20:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-20:0/20:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-20:0/20:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-20:0/20:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-20:0/20:5)-H",0,0,0,0,0,0,0,0,0,"9.03998333333333","9.33998333333333","1310","","Plasmanyl-PE(O-20:0/20:5)-H","778.57569","494.36162","476.35106","301.21735","152.99586","96.96964","78.95852","140.01128","122.0007","9.03998333333333","9.33998333333333","1310"
