"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","Plasmenyl-PC(P-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmenyl-PC(P-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmenyl-PC(P-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmenyl-PC(P-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmenyl-PC(P-16:0/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmenyl-PC(P-16:0/16:0)+HCO2","762.56546","702.54432","631.47082","464.31465","446.30409","375.2306","224.06881","255.23295","168.04314","152.99586","96.96964","78.95852","7.58775757575758","7.88775757575758","2502"
"","Plasmenyl-PC(P-16:0/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmenyl-PC(P-16:0/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmenyl-PC(P-16:0/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmenyl-PC(P-16:0/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmenyl-PC(P-16:0/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.8228196969697","8.1228196969697","1060","","Plasmenyl-PC(P-16:0/18:0)+HCO2","790.59676","730.57562","659.50212","464.31465","446.30409","375.2306","224.06881","283.26425","168.04314","152.99586","96.96964","78.95852","7.8228196969697","8.1228196969697","1060"
"","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:0/18:1)+HCO2","788.58116","728.56002","657.48652","464.31465","446.30409","375.2306","224.06881","281.24865","168.04314","152.99586","96.96964","78.95852","7.64452121212121","7.94452121212121","1776"
"","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmenyl-PC(P-16:0/18:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.91709848484848","7.21709848484848","3363","","Plasmenyl-PC(P-16:0/18:1)+HCO2","788.58116","728.56002","657.48652","464.31465","446.30409","375.2306","224.06881","281.24865","168.04314","152.99586","96.96964","78.95852","6.91709848484848","7.21709848484848","3363"
"","Plasmenyl-PC(P-16:0/18:2)+HCO2",1,1,0,1,1,0,0,1,0,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmenyl-PC(P-16:0/18:2)+HCO2",6.916239,6.916239,0,6.916239,6.916239,0,0,6.916239,6.916239,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmenyl-PC(P-16:0/18:2)+HCO2",1,1,0,1,1,0,0,1,1,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmenyl-PC(P-16:0/18:2)+HCO2",3644.318,89306.26,0,10942.9,3077.689,0,0,113024.9,644.8086,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmenyl-PC(P-16:0/18:2)+HCO2",786.567,726.5453,0,464.3149,446.3045,0,0,279.233,168.0433,0,0,0,"6.72870454545455","7.02870454545455","554","","Plasmenyl-PC(P-16:0/18:2)+HCO2","786.56546","726.54432","655.47082","464.31465","446.30409","375.2306","224.06881","279.23295","168.04314","152.99586","96.96964","78.95852","6.72870454545455","7.02870454545455","554"
"","Plasmenyl-PC(P-16:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmenyl-PC(P-16:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmenyl-PC(P-16:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmenyl-PC(P-16:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmenyl-PC(P-16:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"8.07845303030303","8.37845303030303","1249","","Plasmenyl-PC(P-16:0/20:1)+HCO2","816.61246","756.59132","685.51782","464.31465","446.30409","375.2306","224.06881","309.27995","168.04314","152.99586","96.96964","78.95852","8.07845303030303","8.37845303030303","1249"
"","Plasmenyl-PC(P-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmenyl-PC(P-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmenyl-PC(P-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmenyl-PC(P-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmenyl-PC(P-16:0/20:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.87242424242424","8.17242424242424","1705","","Plasmenyl-PC(P-16:0/20:2)+HCO2","814.59676","754.57562","683.50212","464.31465","446.30409","375.2306","224.06881","307.26425","168.04314","152.99586","96.96964","78.95852","7.87242424242424","8.17242424242424","1705"
"","Plasmenyl-PC(P-16:0/20:3)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmenyl-PC(P-16:0/20:3)+HCO2",6.844614,6.844614,0,0,0,0,0,0,6.844614,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmenyl-PC(P-16:0/20:3)+HCO2",1,1,0,0,0,0,0,0,1,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmenyl-PC(P-16:0/20:3)+HCO2",8293.021,187415.8,0,0,0,0,0,0,636.1218,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmenyl-PC(P-16:0/20:3)+HCO2",812.582,752.5608,0,0,0,0,0,0,168.0431,0,0,0,"6.72865757575758","7.02865757575758","422","","Plasmenyl-PC(P-16:0/20:3)+HCO2","812.58116","752.56002","681.48652","464.31465","446.30409","375.2306","224.06881","305.24865","168.04314","152.99586","96.96964","78.95852","6.72865757575758","7.02865757575758","422"
"","Plasmenyl-PC(P-16:0/20:4)+HCO2",1,1,0,1,1,1,0,1,0,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmenyl-PC(P-16:0/20:4)+HCO2",6.670787,6.670787,0,6.670787,6.670787,6.670787,0,6.670787,6.670787,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmenyl-PC(P-16:0/20:4)+HCO2",1,1,0,1,1,1,0,1,1,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmenyl-PC(P-16:0/20:4)+HCO2",5949.467,140839.8,0,20756.37,5771.396,1039.204,0,195950,697.3569,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmenyl-PC(P-16:0/20:4)+HCO2",810.5662,750.5456,0,464.3149,446.3046,375.2312,0,303.2331,168.0434,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmenyl-PC(P-16:0/20:4)+HCO2","810.56546","750.54432","679.47082","464.31465","446.30409","375.2306","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","6.5105303030303","6.8105303030303","548"
"","Plasmenyl-PC(P-16:0/20:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmenyl-PC(P-16:0/20:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmenyl-PC(P-16:0/20:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmenyl-PC(P-16:0/20:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmenyl-PC(P-16:0/20:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmenyl-PC(P-16:0/20:4)+HCO2","810.56546","750.54432","679.47082","464.31465","446.30409","375.2306","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","5.91286515151515","6.21286515151515","854"
