"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PE","[M-H]-","NL_T2Ketene&serene","NL_T2RCOOH","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","Plasmenyl-PE(P-16:0/20:1)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:0/20:1)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:0/20:1)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:0/20:1)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:0/20:1)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:0/20:1)-H","728.56005","436.28338","418.27282","309.27995","152.99586","96.96964","78.95852","140.01128","122.0007","9.03562575757576","9.33562575757576","1043"
"","Plasmenyl-PE(P-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:0/20:2)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:0/20:2)-H","726.54435","436.28338","418.27282","307.26425","152.99586","96.96964","78.95852","140.01128","122.0007","8.1809303030303","8.4809303030303","809"
"","Plasmenyl-PE(P-16:0/20:4)-H",1,1,1,1,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmenyl-PE(P-16:0/20:4)-H",7.006121,7.006121,7.006121,7.006121,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmenyl-PE(P-16:0/20:4)-H",1,1,1,1,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmenyl-PE(P-16:0/20:4)-H",48064.52,13157.13,3470.755,102423.4,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmenyl-PE(P-16:0/20:4)-H",722.5139,436.2834,418.2729,303.233,0,0,0,0,0,"6.82514545454545","7.12514545454545","733","","Plasmenyl-PE(P-16:0/20:4)-H","722.51305","436.28338","418.27282","303.23295","152.99586","96.96964","78.95852","140.01128","122.0007","6.82514545454545","7.12514545454545","733"
"","Plasmenyl-PE(P-16:0/20:5)-H",0,0,0,0,0,0,0,0,0,"6.0012803030303","6.3012803030303","2962","","Plasmenyl-PE(P-16:0/20:5)-H",0,0,0,0,0,0,0,0,0,"6.0012803030303","6.3012803030303","2962","","Plasmenyl-PE(P-16:0/20:5)-H",0,0,0,0,0,0,0,0,0,"6.0012803030303","6.3012803030303","2962","","Plasmenyl-PE(P-16:0/20:5)-H",0,0,0,0,0,0,0,0,0,"6.0012803030303","6.3012803030303","2962","","Plasmenyl-PE(P-16:0/20:5)-H",0,0,0,0,0,0,0,0,0,"6.0012803030303","6.3012803030303","2962","","Plasmenyl-PE(P-16:0/20:5)-H","720.49745","436.28338","418.27282","301.21735","152.99586","96.96964","78.95852","140.01128","122.0007","6.0012803030303","6.3012803030303","2962"
"","Plasmenyl-PE(P-16:0/22:4)-H",1,0,0,0,0,0,0,1,0,"7.9998696969697","8.2998696969697","524","","Plasmenyl-PE(P-16:0/22:4)-H",8.129968,0,0,0,0,0,0,8.129968,0,"7.9998696969697","8.2998696969697","524","","Plasmenyl-PE(P-16:0/22:4)-H",1,0,0,0,0,0,0,1,0,"7.9998696969697","8.2998696969697","524","","Plasmenyl-PE(P-16:0/22:4)-H",120687.7,0,0,0,0,0,0,4813.971,0,"7.9998696969697","8.2998696969697","524","","Plasmenyl-PE(P-16:0/22:4)-H",750.5452,0,0,0,0,0,0,140.0119,0,"7.9998696969697","8.2998696969697","524","","Plasmenyl-PE(P-16:0/22:4)-H","750.54435","436.28338","418.27282","331.26425","152.99586","96.96964","78.95852","140.01128","122.0007","7.9998696969697","8.2998696969697","524"
"","Plasmenyl-PE(P-16:0/22:5)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmenyl-PE(P-16:0/22:5)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmenyl-PE(P-16:0/22:5)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmenyl-PE(P-16:0/22:5)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmenyl-PE(P-16:0/22:5)-H",0,0,0,0,0,0,0,0,0,"6.87461666666667","7.17461666666667","1462","","Plasmenyl-PE(P-16:0/22:5)-H","748.52875","436.28338","418.27282","329.24865","152.99586","96.96964","78.95852","140.01128","122.0007","6.87461666666667","7.17461666666667","1462"
"","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.4841196969697","6.7841196969697","1375","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.4841196969697","6.7841196969697","1375","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.4841196969697","6.7841196969697","1375","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.4841196969697","6.7841196969697","1375","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"6.4841196969697","6.7841196969697","1375","","Plasmenyl-PE(P-16:0/22:6)-H","746.51305","436.28338","418.27282","327.23295","152.99586","96.96964","78.95852","140.01128","122.0007","6.4841196969697","6.7841196969697","1375"
"","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"5.97283787878788","6.27283787878788","3071","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"5.97283787878788","6.27283787878788","3071","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"5.97283787878788","6.27283787878788","3071","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"5.97283787878788","6.27283787878788","3071","","Plasmenyl-PE(P-16:0/22:6)-H",0,0,0,0,0,0,0,0,0,"5.97283787878788","6.27283787878788","3071","","Plasmenyl-PE(P-16:0/22:6)-H","746.51305","436.28338","418.27282","327.23295","152.99586","96.96964","78.95852","140.01128","122.0007","5.97283787878788","6.27283787878788","3071"
"","Plasmenyl-PE(P-16:1/20:0)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:1/20:0)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:1/20:0)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:1/20:0)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:1/20:0)-H",0,0,0,0,0,0,0,0,0,"9.03562575757576","9.33562575757576","1043","","Plasmenyl-PE(P-16:1/20:0)-H","728.56005","434.26778","416.25722","311.29555","152.99586","96.96964","78.95852","140.01128","122.0007","9.03562575757576","9.33562575757576","1043"
"","Plasmenyl-PE(P-16:1/20:1)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:1/20:1)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:1/20:1)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:1/20:1)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:1/20:1)-H",0,0,0,0,0,0,0,0,0,"8.1809303030303","8.4809303030303","809","","Plasmenyl-PE(P-16:1/20:1)-H","726.54445","434.26778","416.25722","309.27995","152.99586","96.96964","78.95852","140.01128","122.0007","8.1809303030303","8.4809303030303","809"
