"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Number of Scans","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Max Intensity","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Average m/z","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment"
"","SM(d10:0/20:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d10:0/20:1)+HCO2",3.240458,0,0,3.240458,"3.06854848484848","3.36854848484848","655","","SM(d10:0/20:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d10:0/20:1)+HCO2",1768.59,0,0,1769.81,"3.06854848484848","3.36854848484848","655","","SM(d10:0/20:1)+HCO2",691.5045,0,0,168.0431,"3.06854848484848","3.36854848484848","655","","SM(d10:0/20:1)+HCO2","691.5032","631.4774","309.2799","168.0431","3.06854848484848","3.36854848484848","655"
"","SM(d10:0/22:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d10:0/22:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d10:0/22:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d10:0/22:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d10:0/22:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d10:0/22:0)+HCO2","721.5501","661.5243","339.3268","168.0431","4.9380196969697","5.2380196969697","2362"
"","SM(d10:0/22:1)+HCO2",1,0,0,1,"4.38823333333333","4.68823333333333","107","","SM(d10:0/22:1)+HCO2",4.56546,0,0,4.56546,"4.38823333333333","4.68823333333333","107","","SM(d10:0/22:1)+HCO2",1,0,0,1,"4.38823333333333","4.68823333333333","107","","SM(d10:0/22:1)+HCO2",35088.98,0,0,39480.65,"4.38823333333333","4.68823333333333","107","","SM(d10:0/22:1)+HCO2",719.5355,0,0,168.0431,"4.38823333333333","4.68823333333333","107","","SM(d10:0/22:1)+HCO2","719.5345","659.5087","337.3112","168.0431","4.38823333333333","4.68823333333333","107"
"","SM(d10:0/22:2)+HCO2",1,0,0,1,"3.23113181818182","3.53113181818182","416","","SM(d10:0/22:2)+HCO2",3.403066,0,0,3.403066,"3.23113181818182","3.53113181818182","416","","SM(d10:0/22:2)+HCO2",1,0,0,1,"3.23113181818182","3.53113181818182","416","","SM(d10:0/22:2)+HCO2",2229.715,0,0,2252.49,"3.23113181818182","3.53113181818182","416","","SM(d10:0/22:2)+HCO2",717.5184,0,0,168.0431,"3.23113181818182","3.53113181818182","416","","SM(d10:0/22:2)+HCO2","717.5188","657.493","335.2955","168.0431","3.23113181818182","3.53113181818182","416"
"","SM(d10:0/24:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d10:0/24:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d10:0/24:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d10:0/24:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d10:0/24:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d10:0/24:0)+HCO2","749.5814","689.5556","367.3581","168.0431","6.26434696969697","6.56434696969697","884"
"","SM(d10:0/24:1)+HCO2",1,0,0,1,"5.78474393939394","6.08474393939394","25","","SM(d10:0/24:1)+HCO2",5.890948,0,0,5.890948,"5.78474393939394","6.08474393939394","25","","SM(d10:0/24:1)+HCO2",2,0,0,2,"5.78474393939394","6.08474393939394","25","","SM(d10:0/24:1)+HCO2",110725,0,0,212716.5,"5.78474393939394","6.08474393939394","25","","SM(d10:0/24:1)+HCO2",747.5666,0,0,168.0431,"5.78474393939394","6.08474393939394","25","","SM(d10:0/24:1)+HCO2","747.5658","687.54","365.3425","168.0431","5.78474393939394","6.08474393939394","25"
"","SM(d10:0/24:1)+HCO2",1,0,0,1,"5.58759696969697","5.88759696969697","1948","","SM(d10:0/24:1)+HCO2",5.768037,0,0,5.768037,"5.58759696969697","5.88759696969697","1948","","SM(d10:0/24:1)+HCO2",1,0,0,1,"5.58759696969697","5.88759696969697","1948","","SM(d10:0/24:1)+HCO2",4239.245,0,0,5524.473,"5.58759696969697","5.88759696969697","1948","","SM(d10:0/24:1)+HCO2",747.5669,0,0,168.0432,"5.58759696969697","5.88759696969697","1948","","SM(d10:0/24:1)+HCO2","747.5658","687.54","365.3425","168.0431","5.58759696969697","5.88759696969697","1948"
"","SM(d12:0/18:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d12:0/18:1)+HCO2",3.240458,0,0,3.240458,"3.06854848484848","3.36854848484848","655","","SM(d12:0/18:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d12:0/18:1)+HCO2",1768.59,0,0,1769.81,"3.06854848484848","3.36854848484848","655","","SM(d12:0/18:1)+HCO2",691.5045,0,0,168.0431,"3.06854848484848","3.36854848484848","655","","SM(d12:0/18:1)+HCO2","691.5032","631.4774","281.2486","168.0431","3.06854848484848","3.36854848484848","655"
"","SM(d12:0/20:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d12:0/20:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d12:0/20:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d12:0/20:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d12:0/20:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d12:0/20:0)+HCO2","721.5501","661.5243","311.2955","168.0431","4.9380196969697","5.2380196969697","2362"
"","SM(d12:0/20:1)+HCO2",1,0,0,1,"4.38823333333333","4.68823333333333","107","","SM(d12:0/20:1)+HCO2",4.56546,0,0,4.56546,"4.38823333333333","4.68823333333333","107","","SM(d12:0/20:1)+HCO2",1,0,0,1,"4.38823333333333","4.68823333333333","107","","SM(d12:0/20:1)+HCO2",35088.98,0,0,39480.65,"4.38823333333333","4.68823333333333","107","","SM(d12:0/20:1)+HCO2",719.5355,0,0,168.0431,"4.38823333333333","4.68823333333333","107","","SM(d12:0/20:1)+HCO2","719.5345","659.5087","309.2799","168.0431","4.38823333333333","4.68823333333333","107"
