"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","LPC(14:0)+HCO2","1","1","0","1","1","0","0","1","0","0","0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0","0.0000000","0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2","1","1","1","1","1","1","1","1","0","0","0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2"," 10350.570"," 320623.30","  793.3772"," 1707.7560"," 10982.1800","  502.0574","  748.8870"," 121066.300","0","   0.0000","0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2","512.2994","452.2785","381.2060","242.0800","224.0694","168.0431","152.9960","227.2017","0"," 0.00000","0.476742424242424","0.776742424242424","194","","LPC(14:0)+HCO2","512.2994","452.2783","381.2048","242.0799","224.0693","168.0431","152.9958","227.201655","96.9696","78.9591","0.476742424242424","0.776742424242424","194"
"","LPC(14:0)+HCO2","1","1","0","1","1","0","0","1","0","0","0.645025","0.945025","2578","","LPC(14:0)+HCO2","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0.6461870","0","0.0000000","0.645025","0.945025","2578","","LPC(14:0)+HCO2","1","1","1","1","1","1","1","1","0","0","0.645025","0.945025","2578","","LPC(14:0)+HCO2"," 10350.570"," 320623.30","  793.3772"," 1707.7560"," 10982.1800","  502.0574","  748.8870"," 121066.300","0","   0.0000","0.645025","0.945025","2578","","LPC(14:0)+HCO2","512.2994","452.2785","381.2060","242.0800","224.0694","168.0431","152.9960","227.2017","0"," 0.00000","0.645025","0.945025","2578","","LPC(14:0)+HCO2","512.2994","452.2783","381.2048","242.0799","224.0693","168.0431","152.9958","227.201655","96.9696","78.9591","0.645025","0.945025","2578"
"","LPC(16:0)+HCO2","1","1","1","1","1","1","1","1","0","1","0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2","0.8822394","0.8822394","0.8822394","0.8822394","0.8822394","0.8822394","0.8822394","0.8822394","0","0.8822394","0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2","2","2","2","2","2","2","2","2","0","2","0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2","130445.300","3001127.00"," 6982.5080","49777.1900"," 96706.0500"," 9025.5060","13593.1300","1979703.000","0","4281.5050","0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2","540.3308","480.3096","409.2359","242.0800","224.0693","168.0430","152.9958","255.2330","0","78.95913","0.777812121212121","1.07781212121212","8","","LPC(16:0)+HCO2","540.3307","480.3096","409.2361","242.0799","224.0693","168.0431","152.9958","255.232955","96.9696","78.9591","0.777812121212121","1.07781212121212","8"
"","LPC(16:0)+HCO2","1","1","1","1","1","1","1","1","0","1","0.9446","1.2446","3825","","LPC(16:0)+HCO2","1.0067610","1.0067610","1.0067610","1.0067610","1.0067610","1.0067610","1.0067610","1.0067610","0","1.0067610","0.9446","1.2446","3825","","LPC(16:0)+HCO2","2","2","1","2","2","1","2","2","0","1","0.9446","1.2446","3825","","LPC(16:0)+HCO2"," 92571.730","2143266.00"," 3047.1470","23505.7500"," 79065.2600"," 5629.5270"," 7976.0860"," 923323.800","0","2208.8200","0.9446","1.2446","3825","","LPC(16:0)+HCO2","540.3309","480.3096","409.2359","242.0800","224.0694","168.0430","152.9957","255.2330","0","78.95912","0.9446","1.2446","3825","","LPC(16:0)+HCO2","540.3307","480.3096","409.2361","242.0799","224.0693","168.0431","152.9958","255.232955","96.9696","78.9591","0.9446","1.2446","3825"
"","LPC(16:1)+HCO2","1","1","0","1","1","0","0","1","0","0","0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2","0.7102667","0.7102667","0.0000000","0.7102667","0.7102667","0.0000000","0.7102667","0.7102667","0","0.7102667","0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2","1","1","0","1","1","0","1","1","0","1","0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2"," 11283.690"," 292454.30","    0.0000"," 3726.2030"," 10387.6600","    0.0000","  768.0608"," 130325.700","0"," 440.2607","0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2","538.3149","478.2940","  0.0000","242.0801","224.0694","  0.0000","152.9958","253.2173","0","78.95905","0.528524242424242","0.828524242424242","137","","LPC(16:1)+HCO2","538.31505","478.29395","407.22045","242.0799","224.0693","168.0431","152.9958","253.217305","96.9696","78.9591","0.528524242424242","0.828524242424242","137"
"","LPC(17:0)+HCO2","1","1","0","1","1","0","1","1","0","0","1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","0","1.2152960","1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2","2","2","2","2","2","2","2","2","0","1","1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2"," 28474.960"," 673484.40","  959.0334"," 7096.7950"," 21566.7700","  867.5104"," 2277.6400"," 276830.200","0"," 542.1277","1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2","554.3467","494.3254","423.2523","242.0800","224.0694","168.0432","152.9959","269.2486","0","78.95921","1.00069696969697","1.30069696969697","37","","LPC(17:0)+HCO2","554.34635","494.32525","423.25175","242.0799","224.0693","168.0431","152.9958","269.248605","96.9696","78.9591","1.00069696969697","1.30069696969697","37"
"","LPC(17:0)+HCO2","1","1","0","1","1","0","1","1","0","0","1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","0","1.2152960","1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2","2","2","1","1","2","1","2","2","0","1","1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2"," 28474.960"," 673484.40","  959.0334"," 7096.7950"," 21566.7700","  867.5104"," 2277.6400"," 276830.200","0"," 542.1277","1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2","554.3466","494.3254","423.2517","242.0801","224.0693","168.0432","152.9959","269.2487","0","78.95921","1.17375333333333","1.47375333333333","1949","","LPC(17:0)+HCO2","554.34635","494.32525","423.25175","242.0799","224.0693","168.0431","152.9958","269.248605","96.9696","78.9591","1.17375333333333","1.47375333333333","1949"
"","LPC(17:0)+HCO2","1","1","0","1","1","0","1","1","0","0","0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","1.2152960","0","1.2152960","0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2","2","2","2","2","2","2","2","2","0","1","0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2"," 28474.960"," 673484.40","  959.0334"," 7096.7950"," 21566.7700","  867.5104"," 2277.6400"," 276830.200","0"," 542.1277","0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2","554.3467","494.3254","423.2523","242.0800","224.0694","168.0432","152.9959","269.2486","0","78.95921","0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2","554.34635","494.32525","423.25175","242.0799","224.0693","168.0431","152.9958","269.248605","96.9696","78.9591","0.98310833333333","1.28310833333333","3884"
"","LPC(18:0)+HCO2","1","1","1","1","1","1","1","1","0","1","1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","0","1.3853720","1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2","3","3","2","3","3","3","3","3","0","1","1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2","276488.400","6364383.00","16181.6600","74920.9800","278933.3000","23723.5100","17439.3300","3017536.000","0","9166.4080","1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2","568.3622","508.3407","437.2673","242.0799","224.0694","168.0431","152.9958","283.2642","0","78.95911","1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2","568.362","508.3409","437.2674","242.0799","224.0693","168.0431","152.9958","283.264255","96.9696","78.9591","1.24994393939394","1.54994393939394","18"
"","LPC(18:0)+HCO2","1","1","1","1","1","1","1","1","0","1","1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","1.3853720","0","1.3853720","1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2","3","3","2","3","3","3","3","3","0","1","1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2","276488.400","6364383.00","16181.6600","74920.9800","278933.3000","23723.5100","17439.3300","3017536.000","0","9166.4080","1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2","568.3622","508.3407","437.2673","242.0799","224.0694","168.0431","152.9958","283.2642","0","78.95911","1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2","568.362","508.3409","437.2674","242.0799","224.0693","168.0431","152.9958","283.264255","96.9696","78.9591","1.23098166666667","1.53098166666667","3880"
"","LPC(18:1)+HCO2","1","1","1","1","1","1","1","1","0","1","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0","0.9532399","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","2","2","2","2","2","2","2","2","0","2","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2"," 49273.480","1210233.00"," 3077.8720","15758.0300"," 49145.1100"," 4728.6840"," 4036.9350"," 677886.000","0","2600.0410","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","566.3465","506.3252","435.2523","242.0799","224.0693","168.0431","152.9957","281.2486","0","78.95913","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","566.34635","506.32525","435.25175","242.0799","224.0693","168.0431","152.9958","281.248605","96.9696","78.9591","0.849518181818182","1.14951818181818","50"
"","LPC(18:2)+HCO2","1","1","1","1","1","1","1","1","0","1","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0","0.7780710","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","1","1","1","1","1","1","1","1","0","1","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2"," 64452.280","1830033.00"," 4131.2950","23369.1900"," 75822.2600"," 7160.9830"," 5329.4200"," 917921.600","0","3800.0170","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","564.3311","504.3098","433.2365","242.0800","224.0693","168.0432","152.9960","279.2329","0","78.95913","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","564.3307","504.3096","433.2361","242.0799","224.0693","168.0431","152.9958","279.232955","96.9696","78.9591","0.590513636363636","0.890513636363636","28"
