"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PC(14:0_16:0)+HCO2","1","1","0","1","1","1","0","0","1","1","1","0","0","0","5.85595303030303","6.15595303030303","292","","PC(14:0_16:0)+HCO2"," 5.999008"," 5.999008"," 0.000000"," 6.031584"," 6.031584"," 6.031584"," 5.999008"," 0.000000"," 5.999008"," 5.999008"," 5.999008","0.000000","0.000000","0","5.85595303030303","6.15595303030303","292","","PC(14:0_16:0)+HCO2","2","2","0","2","2","2","1","0","2","2","2","0","0","0","5.85595303030303","6.15595303030303","292","","PC(14:0_16:0)+HCO2","  7398.1280"," 108196.40","    0.000"," 3674.7760","  3182.9340"," 1082.5580","  644.0680","    0.0000","  73018.0400","  60312.2500"," 2710.9190","    0.0000","   0.000","0","5.85595303030303","6.15595303030303","292","","PC(14:0_16:0)+HCO2","750.5309","690.5088","  0.0000","480.3093","452.2784","462.2994","434.2682","  0.0000","227.2018","255.2330","168.0430","  0.0000"," 0.00000","0","5.85595303030303","6.15595303030303","292","","PC(14:0_16:0)+HCO2","750.52908","690.50794","619.43444","480.30957","452.27827","462.29901","434.26771","224.06881","227.20165","255.23295","168.04314","152.99586","96.96964","78.95852","5.85595303030303","6.15595303030303","292"
"","PC(14:0_18:0)+HCO2","1","1","0","0","0","0","0","0","1","1","1","0","0","0","7.07521363636364","7.37521363636364","654","","PC(14:0_18:0)+HCO2"," 7.238242"," 7.238242"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 7.238242"," 7.238242"," 7.238242"," 7.238242","0.000000","0.000000","0","7.07521363636364","7.37521363636364","654","","PC(14:0_18:0)+HCO2","1","1","0","0","0","0","0","1","1","1","1","0","0","0","7.07521363636364","7.37521363636364","654","","PC(14:0_18:0)+HCO2"," 10895.0400"," 174089.10","    0.000","    0.0000","     0.0000","    0.0000","    0.0000","  799.2239","   3424.1490","   2564.6920"," 2772.6940","    0.0000","   0.000","0","7.07521363636364","7.37521363636364","654","","PC(14:0_18:0)+HCO2","778.5616","718.5398","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","224.0693","227.2017","283.2641","168.0430","  0.0000"," 0.00000","0","7.07521363636364","7.37521363636364","654","","PC(14:0_18:0)+HCO2","778.56038","718.53924","647.46574","508.34087","452.27827","490.33031","434.26771","224.06881","227.20165","283.26425","168.04314","152.99586","96.96964","78.95852","7.07521363636364","7.37521363636364","654"
"","PC(14:0_18:1)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","5.97987878787879","6.27987878787879","160","","PC(14:0_18:1)+HCO2"," 6.165564"," 6.165564"," 0.000000"," 0.000000"," 6.165564"," 0.000000"," 0.000000"," 6.165564"," 6.165564"," 6.165564"," 6.165564","0.000000","0.000000","0","5.97987878787879","6.27987878787879","160","","PC(14:0_18:1)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","5.97987878787879","6.27987878787879","160","","PC(14:0_18:1)+HCO2","  7300.4460"," 142560.10","    0.000","    0.0000","  2348.6190","    0.0000","    0.0000"," 2118.2970","   6286.3220","  24297.0100"," 1848.3980","    0.0000","   0.000","0","5.97987878787879","6.27987878787879","160","","PC(14:0_18:1)+HCO2","776.5465","716.5245","  0.0000","  0.0000","452.2786","  0.0000","  0.0000","224.0696","227.2018","281.2487","168.0433","  0.0000"," 0.00000","0","5.97987878787879","6.27987878787879","160","","PC(14:0_18:1)+HCO2","776.54478","716.52364","645.45014","506.32527","452.27827","488.31471","434.26771","224.06881","227.20165","281.24865","168.04314","152.99586","96.96964","78.95852","5.97987878787879","6.27987878787879","160"
"","PC(14:0_18:1)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","6.10964166666667","6.40964166666667","2194","","PC(14:0_18:1)+HCO2"," 6.165564"," 6.165564"," 0.000000"," 0.000000"," 6.165564"," 0.000000"," 0.000000"," 6.165564"," 6.165564"," 6.165564"," 6.165564","0.000000","0.000000","0","6.10964166666667","6.40964166666667","2194","","PC(14:0_18:1)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","6.10964166666667","6.40964166666667","2194","","PC(14:0_18:1)+HCO2","  7300.4460"," 142560.10","    0.000","    0.0000","  2348.6190","    0.0000","    0.0000"," 2118.2970","   6286.3220","  24297.0100"," 1848.3980","    0.0000","   0.000","0","6.10964166666667","6.40964166666667","2194","","PC(14:0_18:1)+HCO2","776.5465","716.5245","  0.0000","  0.0000","452.2786","  0.0000","  0.0000","224.0696","227.2018","281.2487","168.0433","  0.0000"," 0.00000","0","6.10964166666667","6.40964166666667","2194","","PC(14:0_18:1)+HCO2","776.54478","716.52364","645.45014","506.32527","452.27827","488.31471","434.26771","224.06881","227.20165","281.24865","168.04314","152.99586","96.96964","78.95852","6.10964166666667","6.40964166666667","2194"
"","PC(14:0_18:2)+HCO2","1","1","0","0","1","0","0","0","1","1","1","0","0","0","4.99847121212121","5.29847121212121","226","","PC(14:0_18:2)+HCO2"," 5.170068"," 5.170068"," 0.000000"," 0.000000"," 5.170068"," 0.000000"," 5.170068"," 5.170068"," 5.170068"," 5.170068"," 5.170068","0.000000","0.000000","0","4.99847121212121","5.29847121212121","226","","PC(14:0_18:2)+HCO2","1","1","0","0","1","0","1","1","1","1","1","0","0","0","4.99847121212121","5.29847121212121","226","","PC(14:0_18:2)+HCO2","  6730.8920"," 100768.30","    0.000","    0.0000","  5015.0130","    0.0000","  642.8708","  544.9714","  34185.1800","  96100.6700"," 1052.6320","    0.0000","   0.000","0","4.99847121212121","5.29847121212121","226","","PC(14:0_18:2)+HCO2","774.5306","714.5089","  0.0000","  0.0000","452.2787","  0.0000","434.2685","224.0692","227.2017","279.2329","168.0431","  0.0000"," 0.00000","0","4.99847121212121","5.29847121212121","226","","PC(14:0_18:2)+HCO2","774.52908","714.50794","643.43444","504.30957","452.27827","486.29901","434.26771","224.06881","227.20165","279.23295","168.04314","152.99586","96.96964","78.95852","4.99847121212121","5.29847121212121","226"
"","PC(14:0_20:3)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","5.38637727272727","5.68637727272727","185","","PC(14:0_20:3)+HCO2"," 5.500496"," 5.500496"," 0.000000"," 0.000000"," 5.500496"," 0.000000"," 0.000000"," 5.500496"," 5.500496"," 5.500496"," 5.500496","0.000000","0.000000","0","5.38637727272727","5.68637727272727","185","","PC(14:0_20:3)+HCO2","2","2","0","0","1","0","0","1","2","2","1","0","0","0","5.38637727272727","5.68637727272727","185","","PC(14:0_20:3)+HCO2","  9038.3610"," 161578.90","    0.000","    0.0000","  2151.1850","    0.0000","    0.0000"," 1166.3110","   7458.7970","  27435.3500"," 1125.9140","    0.0000","   0.000","0","5.38637727272727","5.68637727272727","185","","PC(14:0_20:3)+HCO2","800.5455","740.5244","  0.0000","  0.0000","452.2788","  0.0000","  0.0000","224.0695","227.2017","305.2487","168.0431","  0.0000"," 0.00000","0","5.38637727272727","5.68637727272727","185","","PC(14:0_20:3)+HCO2","800.54478","740.52364","669.45014","530.32527","452.27827","512.31471","434.26771","224.06881","227.20165","305.24865","168.04314","152.99586","96.96964","78.95852","5.38637727272727","5.68637727272727","185"
"","PC(15:0_18:2)+HCO2","1","1","0","0","1","1","1","0","1","1","1","0","0","0","5.63370151515152","5.93370151515152","220","","PC(15:0_18:2)+HCO2"," 5.804299"," 5.804299"," 0.000000"," 0.000000"," 5.804299"," 5.804299"," 5.804299"," 5.804299"," 5.804299"," 5.804299"," 5.804299","0.000000","0.000000","0","5.63370151515152","5.93370151515152","220","","PC(15:0_18:2)+HCO2","1","1","0","0","1","1","1","1","1","1","1","0","0","0","5.63370151515152","5.93370151515152","220","","PC(15:0_18:2)+HCO2","  7131.9710"," 123788.00","    0.000","    0.0000","  9361.1100"," 1169.5930"," 1027.0740","  801.5891","  40812.8900"," 125997.0000"," 1163.7580","    0.0000","   0.000","0","5.63370151515152","5.93370151515152","220","","PC(15:0_18:2)+HCO2","788.5464","728.5249","  0.0000","  0.0000","466.2942","486.2993","448.2831","224.0695","241.2174","279.2330","168.0431","  0.0000"," 0.00000","0","5.63370151515152","5.93370151515152","220","","PC(15:0_18:2)+HCO2","788.54478","728.52364","657.45014","504.30957","466.29397","486.29901","448.28341","224.06881","241.21735","279.23295","168.04314","152.99586","96.96964","78.95852","5.63370151515152","5.93370151515152","220"
"","PC(15:0_20:4)+HCO2","1","1","0","0","1","0","0","0","1","1","0","0","0","0","5.44529696969697","5.74529696969697","458","","PC(15:0_20:4)+HCO2"," 5.570340"," 5.570340"," 0.000000"," 0.000000"," 5.570340"," 0.000000"," 0.000000"," 5.570340"," 5.570340"," 5.570340"," 5.570340","0.000000","0.000000","0","5.44529696969697","5.74529696969697","458","","PC(15:0_20:4)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","5.44529696969697","5.74529696969697","458","","PC(15:0_20:4)+HCO2","  3136.6970","  44214.39","    0.000","    0.0000","  4570.8040","    0.0000","    0.0000","  880.5829","  18490.8700","  52381.5000","  650.5255","    0.0000","   0.000","0","5.44529696969697","5.74529696969697","458","","PC(15:0_20:4)+HCO2","812.5460","752.5244","  0.0000","  0.0000","466.2944","  0.0000","  0.0000","224.0694","241.2174","303.2330","168.0435","  0.0000"," 0.00000","0","5.44529696969697","5.74529696969697","458","","PC(15:0_20:4)+HCO2","812.54478","752.52364","681.45014","528.30957","466.29397","510.29901","448.28341","224.06881","241.21735","303.23295","168.04314","152.99586","96.96964","78.95852","5.44529696969697","5.74529696969697","458"
"","PC(16:0_16:0)+HCO2","1","1","0","1","1","1","1","0","1","1","1","0","0","0","7.07521363636364","7.37521363636364","654","","PC(16:0_16:0)+HCO2"," 7.238242"," 7.238242"," 0.000000"," 7.238242"," 7.238242"," 7.238242"," 7.238242"," 7.238242"," 7.238242"," 7.238242"," 7.238242","0.000000","0.000000","0","7.07521363636364","7.37521363636364","654","","PC(16:0_16:0)+HCO2","1","1","0","1","1","1","1","1","1","1","1","0","0","0","7.07521363636364","7.37521363636364","654","","PC(16:0_16:0)+HCO2"," 10895.0400"," 174089.10","    0.000","10378.5900"," 10378.5900"," 4388.5820"," 4388.5820","  799.2239"," 236224.5000"," 236224.5000"," 2772.6940","    0.0000","   0.000","0","7.07521363636364","7.37521363636364","654","","PC(16:0_16:0)+HCO2","778.5616","718.5398","  0.0000","480.3098","480.3098","462.2993","462.2993","224.0693","255.2330","255.2330","168.0430","  0.0000"," 0.00000","0","7.07521363636364","7.37521363636364","654","","PC(16:0_16:0)+HCO2","778.56038","718.53924","647.46574","480.30957","480.30957","462.29901","462.29901","224.06881","255.23295","255.23295","168.04314","152.99586","96.96964","78.95852","7.07521363636364","7.37521363636364","654"
"","PC(16:0_16:1)+HCO2","1","1","0","0","1","0","0","1","1","1","1","0","0","0","5.97987878787879","6.27987878787879","160","","PC(16:0_16:1)+HCO2"," 6.165564"," 6.165564"," 0.000000"," 0.000000"," 6.165564"," 0.000000"," 6.165564"," 6.165564"," 6.165564"," 6.165564"," 6.165564","0.000000","0.000000","0","5.97987878787879","6.27987878787879","160","","PC(16:0_16:1)+HCO2","1","1","0","0","1","0","1","1","1","1","1","0","0","0","5.97987878787879","6.27987878787879","160","","PC(16:0_16:1)+HCO2","  7300.4460"," 142560.10","    0.000","    0.0000","  7243.0390","    0.0000","  811.3437"," 2118.2970","  45574.6300"," 117888.4000"," 1848.3980","    0.0000","   0.000","0","5.97987878787879","6.27987878787879","160","","PC(16:0_16:1)+HCO2","776.5465","716.5245","  0.0000","  0.0000","480.3097","  0.0000","462.2986","224.0696","255.2331","253.2174","168.0433","  0.0000"," 0.00000","0","5.97987878787879","6.27987878787879","160","","PC(16:0_16:1)+HCO2","776.54478","716.52364","645.45014","478.29397","480.30957","460.28341","462.29901","224.06881","255.23295","253.21735","168.04314","152.99586","96.96964","78.95852","5.97987878787879","6.27987878787879","160"
