"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/20:4)+HCO2","1","1","0","1","1","1","0","1","0","0","0","0","6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2"," 6.844614"," 6.844614","0"," 6.844614","6.844614","6.844614","0"," 6.844614","6.844614"," 0.00000","0","0","6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2","1","1","0","1","1","1","0","1","1","0","0","0","6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2","  8293.021","187415.800","0","22784.340","3445.069","1174.976","0","208457.1000","636.1218","  0.0000","0","0","6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2","812.5820","752.5608","0","466.3304","448.3198","377.2464","0","303.2330","168.0431","  0.0000","0","0","6.72865757575758","7.02865757575758","422","","Plasmanyl-PC(O-16:0/20:4)+HCO2","812.58112","752.55998","681.48648","466.33031","448.31975","377.24626","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","6.72865757575758","7.02865757575758","422"
"","Plasmanyl-PC(O-16:0/22:5)+HCO2","1","1","0","1","0","0","0","1","0","0","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2"," 6.921464"," 6.921464","0"," 6.921464","0.000000","0.000000","0"," 6.921464","0.000000"," 0.00000","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2","1","1","0","1","0","0","0","1","0","0","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2","  8363.788","186200.800","0"," 2156.000","   0.000","   0.000","0"," 12536.7600","  0.0000","  0.0000","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2","838.5977","778.5763","0","466.3305","  0.0000","  0.0000","0","329.2485","  0.0000","  0.0000","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2","838.59682","778.57568","707.50218","466.33031","448.31975","377.24626","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","6.77478333333333","7.07478333333333","484"
"","Plasmanyl-PC(O-16:1/18:2)+HCO2","1","1","0","1","1","0","0","1","0","0","0","0","6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:1/18:2)+HCO2"," 6.916239"," 6.916239","0"," 6.916239","6.916239","0.000000","0"," 6.916239","6.916239"," 0.00000","0","0","6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:1/18:2)+HCO2","1","1","0","1","1","0","0","1","1","0","0","0","6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:1/18:2)+HCO2","  3644.318"," 89306.260","0","10942.900","3077.689","   0.000","0","113024.9000","644.8086","  0.0000","0","0","6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:1/18:2)+HCO2","786.5670","726.5453","0","464.3149","446.3045","  0.0000","0","279.2330","168.0433","  0.0000","0","0","6.72870454545455","7.02870454545455","554","","Plasmanyl-PC(O-16:1/18:2)+HCO2","786.56552","726.54438","655.47088","464.31471","446.30415","375.23066","224.06881","279.23295","168.04314","152.99586","96.96964","78.95852","6.72870454545455","7.02870454545455","554"
"","Plasmanyl-PC(O-16:1/20:4)+HCO2","1","1","0","1","1","1","0","1","0","0","0","0","6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:1/20:4)+HCO2"," 6.670787"," 6.670787","0"," 6.670787","6.670787","6.670787","0"," 6.670787","6.670787"," 0.00000","0","0","6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:1/20:4)+HCO2","1","1","0","1","1","1","0","1","1","0","0","0","6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:1/20:4)+HCO2","  5949.467","140839.800","0","20756.370","5771.396","1039.204","0","195950.0000","697.3569","  0.0000","0","0","6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:1/20:4)+HCO2","810.5662","750.5456","0","464.3149","446.3046","375.2312","0","303.2331","168.0434","  0.0000","0","0","6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:1/20:4)+HCO2","810.56552","750.54438","679.47088","464.31471","446.30415","375.23066","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","6.5105303030303","6.8105303030303","548"
"","Plasmanyl-PC(O-18:0/16:0)+HCO2","0","1","0","0","0","0","0","1","0","0","0","0","8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-18:0/16:0)+HCO2"," 0.000000"," 9.011156","0"," 0.000000","0.000000","0.000000","0"," 9.011156","0.000000"," 0.00000","0","0","8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-18:0/16:0)+HCO2","0","1","0","0","0","0","0","1","0","0","0","0","8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-18:0/16:0)+HCO2","     0.000","  8774.465","0","    0.000","   0.000","   0.000","0","  7018.4620","  0.0000","  0.0000","0","0","8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-18:0/16:0)+HCO2","  0.0000","732.5918","0","  0.0000","  0.0000","  0.0000","0","255.2331","  0.0000","  0.0000","0","0","8.84105909090909","9.14105909090909","1763","","Plasmanyl-PC(O-18:0/16:0)+HCO2","792.61242","732.59128","661.51778","494.36161","476.35105","405.27756","224.06881","255.23295","168.04314","152.99586","96.96964","78.95852","8.84105909090909","9.14105909090909","1763"
"","Plasmanyl-PC(O-18:0/20:4)+HCO2","1","1","0","1","1","0","0","1","0","0","0","0","7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-18:0/20:4)+HCO2"," 8.013856"," 8.013856","0"," 8.013856","8.013856","0.000000","0"," 8.013856","0.000000"," 0.00000","0","0","7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-18:0/20:4)+HCO2","1","1","0","1","1","0","0","1","0","0","0","0","7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-18:0/20:4)+HCO2","  3855.119","123818.600","0","14121.030","4958.254","   0.000","0","133837.9000","  0.0000","  0.0000","0","0","7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-18:0/20:4)+HCO2","840.6129","780.5924","0","494.3619","476.3511","  0.0000","0","303.2331","  0.0000","  0.0000","0","0","7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-18:0/20:4)+HCO2","840.61242","780.59128","709.51778","494.36161","476.35105","405.27756","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","7.87178181818182","8.17178181818182","682"
"","Plasmanyl-PC(O-18:1/20:4)+HCO2","1","1","0","1","1","0","0","1","0","0","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-18:1/20:4)+HCO2"," 6.921464"," 6.921464","0"," 6.921464","6.921464","6.921464","0"," 6.921464","0.000000"," 0.00000","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-18:1/20:4)+HCO2","1","1","0","1","1","1","0","1","0","0","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-18:1/20:4)+HCO2","  8363.788","186200.800","0","21843.790","5931.862"," 992.687","0","206491.6000","  0.0000","  0.0000","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-18:1/20:4)+HCO2","838.5977","778.5763","0","492.3460","474.3351","403.2624","0","303.2329","  0.0000","  0.0000","0","0","6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-18:1/20:4)+HCO2","838.59682","778.57568","707.50218","492.34601","474.33545","403.26196","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","6.77478333333333","7.07478333333333","484"
"","Plasmanyl-PC(O-20:0/22:5)+HCO2","0","1","0","0","0","0","0","1","0","0","0","0","8.872","9.172","736","","Plasmanyl-PC(O-20:0/22:5)+HCO2"," 0.000000"," 9.047699","0"," 0.000000","0.000000","0.000000","0"," 9.047699","0.000000"," 0.00000","0","0","8.872","9.172","736","","Plasmanyl-PC(O-20:0/22:5)+HCO2","0","1","0","0","0","0","0","1","0","0","0","0","8.872","9.172","736","","Plasmanyl-PC(O-20:0/22:5)+HCO2","     0.000"," 30242.200","0","    0.000","   0.000","   0.000","0","  2720.1200","  0.0000","  0.0000","0","0","8.872","9.172","736","","Plasmanyl-PC(O-20:0/22:5)+HCO2","  0.0000","834.6392","0","  0.0000","  0.0000","  0.0000","0","329.2489","  0.0000","  0.0000","0","0","8.872","9.172","736","","Plasmanyl-PC(O-20:0/22:5)+HCO2","894.65942","834.63828","763.56478","522.39291","504.38235","433.30886","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","8.872","9.172","736"
"","Plasmanyl-PC(O-22:1/20:4)+HCO2","0","1","0","1","0","0","0","1","0","0","0","0","8.872","9.172","736","","Plasmanyl-PC(O-22:1/20:4)+HCO2"," 0.000000"," 9.047699","0"," 9.047699","0.000000","0.000000","0"," 9.047699","0.000000"," 0.00000","0","0","8.872","9.172","736","","Plasmanyl-PC(O-22:1/20:4)+HCO2","0","1","0","1","0","0","0","1","0","0","0","0","8.872","9.172","736","","Plasmanyl-PC(O-22:1/20:4)+HCO2","     0.000"," 30242.200","0"," 4467.276","   0.000","   0.000","0"," 33739.8700","  0.0000","  0.0000","0","0","8.872","9.172","736","","Plasmanyl-PC(O-22:1/20:4)+HCO2","  0.0000","834.6392","0","548.4085","  0.0000","  0.0000","0","303.2330","  0.0000","  0.0000","0","0","8.872","9.172","736","","Plasmanyl-PC(O-22:1/20:4)+HCO2","894.65942","834.63828","763.56478","548.40861","530.39805","459.32456","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","8.872","9.172","736"
"","Plasmanyl-PC(O-24:1/20:4)+HCO2","1","1","0","1","0","0","0","1","0","0","0","0","9.81250454545454","10.1125045454545","496","","Plasmanyl-PC(O-24:1/20:4)+HCO2","10.001370","10.001370","0","10.001370","0.000000","0.000000","0","10.001370","0.000000"," 0.00000","0","0","9.81250454545454","10.1125045454545","496","","Plasmanyl-PC(O-24:1/20:4)+HCO2","1","1","0","1","0","0","0","1","0","0","0","0","9.81250454545454","10.1125045454545","496","","Plasmanyl-PC(O-24:1/20:4)+HCO2","  5228.443"," 59394.560","0"," 5462.206","   0.000","   0.000","0"," 59155.7300","  0.0000","  0.0000","0","0","9.81250454545454","10.1125045454545","496","","Plasmanyl-PC(O-24:1/20:4)+HCO2","922.6924","862.6708","0","576.4406","  0.0000","  0.0000","0","303.2331","  0.0000","  0.0000","0","0","9.81250454545454","10.1125045454545","496","","Plasmanyl-PC(O-24:1/20:4)+HCO2","922.69072","862.66958","791.59608","576.43991","558.42935","487.35586","224.06881","303.23295","168.04314","152.99586","96.96964","78.95852","9.81250454545454","10.1125045454545","496"
