"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PS(22:1)-H",0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(22:1)-H",0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(22:1)-H",0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(22:1)-H",0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(22:1)-H",0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","PS(22:1)-H","592.3257","505.29368","224.06881","152.99586","96.96964","78.95852","0.590781666666667","0.890781666666667","3933"
"","PS(28:0)-H",1,1,0,1,1,0,"3.71595909090909","4.01595909090909","111","","PS(28:0)-H",3.867781,3.867781,0,3.867781,3.867781,0,"3.71595909090909","4.01595909090909","111","","PS(28:0)-H",2,2,0,2,1,0,"3.71595909090909","4.01595909090909","111","","PS(28:0)-H",258464.7,388725.9,0,65533.39,5935.135,0,"3.71595909090909","4.01595909090909","111","","PS(28:0)-H",678.43565,591.4034,0,152.99585,96.96986,0,"3.71595909090909","4.01595909090909","111","","PS(28:0)-H","678.4352","591.40318","224.06881","152.99586","96.96964","78.95852","3.71595909090909","4.01595909090909","111"
"","PS(31:0)-H",1,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","PS(31:0)-H",5.740896,0,0,5.740896,0,0,"5.56829242424242","5.86829242424242","190","","PS(31:0)-H",1,0,0,1,0,0,"5.56829242424242","5.86829242424242","190","","PS(31:0)-H",182553.7,0,0,690.6321,0,0,"5.56829242424242","5.86829242424242","190","","PS(31:0)-H",720.4832,0,0,152.9959,0,0,"5.56829242424242","5.86829242424242","190","","PS(31:0)-H","720.4822","633.45018","224.06881","152.99586","96.96964","78.95852","5.56829242424242","5.86829242424242","190"
"","PS(33:0)-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(33:0)-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(33:0)-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(33:0)-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(33:0)-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(33:0)-H","748.5135","661.48148","224.06881","152.99586","96.96964","78.95852","4.66369090909091","4.96369090909091","3080"
"","PS(34:0)-H",0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(34:0)-H",0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(34:0)-H",0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(34:0)-H",0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(34:0)-H",0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(34:0)-H","762.5291","675.49708","224.06881","152.99586","96.96964","78.95852","7.52695606060606","7.82695606060606","949"
"","PS(35:0)-H",1,0,1,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(35:0)-H",6.165564,0,6.165564,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(35:0)-H",1,0,1,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(35:0)-H",7300.446,0,2118.297,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(35:0)-H",776.5465,0,224.0696,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(35:0)-H","776.5448","689.51278","224.06881","152.99586","96.96964","78.95852","5.97987878787879","6.27987878787879","160"
"","PS(35:0)-H",1,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(35:0)-H",8.003457,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(35:0)-H",1,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(35:0)-H",55092.88,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(35:0)-H",776.5453,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(35:0)-H","776.5448","689.51278","224.06881","152.99586","96.96964","78.95852","7.8329303030303","8.1329303030303","782"
"","PS(35:0)-H",1,0,1,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(35:0)-H",6.165564,0,6.165564,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(35:0)-H",1,0,1,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(35:0)-H",7300.446,0,2118.297,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(35:0)-H",776.5465,0,224.0696,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(35:0)-H","776.5448","689.51278","224.06881","152.99586","96.96964","78.95852","6.10964166666667","6.40964166666667","2194"
"","PS(35:1)-H",1,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","PS(35:1)-H",5.170068,0,5.170068,0,0,0,"4.99847121212121","5.29847121212121","226","","PS(35:1)-H",1,0,1,0,0,0,"4.99847121212121","5.29847121212121","226","","PS(35:1)-H",6730.892,0,544.9714,0,0,0,"4.99847121212121","5.29847121212121","226","","PS(35:1)-H",774.5306,0,224.0692,0,0,0,"4.99847121212121","5.29847121212121","226","","PS(35:1)-H","774.5292","687.49718","224.06881","152.99586","96.96964","78.95852","4.99847121212121","5.29847121212121","226"
"","PS(35:2)-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","PS(35:2)-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","PS(35:2)-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","PS(35:2)-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","PS(35:2)-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","PS(35:2)-H","772.5135","685.48148","224.06881","152.99586","96.96964","78.95852","5.93952727272727","6.23952727272727","902"
