"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","RT at Max Intensity","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Number of Scans","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Max Intensity","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Average m/z","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment"
"","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"16.9396680555556","17.2396680555556","12191","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"16.9396680555556","17.2396680555556","12191","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"16.9396680555556","17.2396680555556","12191","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"16.9396680555556","17.2396680555556","12191","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"16.9396680555556","17.2396680555556","12191","","CE(10:0)+NH4","558.524405","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","16.9396680555556","17.2396680555556","12191"
"","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.3266541666667","15.6266541666667","12208","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.3266541666667","15.6266541666667","12208","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.3266541666667","15.6266541666667","12208","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.3266541666667","15.6266541666667","12208","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.3266541666667","15.6266541666667","12208","","CE(10:0)+NH4","558.524405","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","15.3266541666667","15.6266541666667","12208"
"","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.1895777777778","15.4895777777778","12348","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.1895777777778","15.4895777777778","12348","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.1895777777778","15.4895777777778","12348","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.1895777777778","15.4895777777778","12348","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.1895777777778","15.4895777777778","12348","","CE(10:0)+NH4","558.524405","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","15.1895777777778","15.4895777777778","12348"
"","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"17.184875","17.484875","16936","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"17.184875","17.484875","16936","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"17.184875","17.484875","16936","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"17.184875","17.484875","16936","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"17.184875","17.484875","16936","","CE(10:0)+NH4","558.524405","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","17.184875","17.484875","16936"
"","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.6595348484848","15.9595348484848","16940","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.6595348484848","15.9595348484848","16940","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.6595348484848","15.9595348484848","16940","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.6595348484848","15.9595348484848","16940","","CE(10:0)+NH4",0,0,0,0,0,0,0,0,0,"15.6595348484848","15.9595348484848","16940","","CE(10:0)+NH4","558.524405","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","15.6595348484848","15.9595348484848","16940"
"","CE(13:0)+NH4",0,0,0,0,0,0,0,0,0,"9.25691363636364","9.55691363636364","15464","","CE(13:0)+NH4",0,0,0,0,0,0,0,0,0,"9.25691363636364","9.55691363636364","15464","","CE(13:0)+NH4",0,0,0,0,0,0,0,0,0,"9.25691363636364","9.55691363636364","15464","","CE(13:0)+NH4",0,0,0,0,0,0,0,0,0,"9.25691363636364","9.55691363636364","15464","","CE(13:0)+NH4",0,0,0,0,0,0,0,0,0,"9.25691363636364","9.55691363636364","15464","","CE(13:0)+NH4","600.571355","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","9.25691363636364","9.55691363636364","15464"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.48644444444444","9.78644444444444","4275","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.48644444444444","9.78644444444444","4275","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.48644444444444","9.78644444444444","4275","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.48644444444444","9.78644444444444","4275","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.48644444444444","9.78644444444444","4275","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","9.48644444444444","9.78644444444444","4275"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"10.2200242424242","10.5200242424242","4462","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"10.2200242424242","10.5200242424242","4462","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"10.2200242424242","10.5200242424242","4462","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"10.2200242424242","10.5200242424242","4462","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"10.2200242424242","10.5200242424242","4462","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","10.2200242424242","10.5200242424242","4462"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.67883611111111","8.97883611111111","8859","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.67883611111111","8.97883611111111","8859","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.67883611111111","8.97883611111111","8859","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.67883611111111","8.97883611111111","8859","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.67883611111111","8.97883611111111","8859","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","8.67883611111111","8.97883611111111","8859"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.10649393939394","9.40649393939394","12274","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.10649393939394","9.40649393939394","12274","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.10649393939394","9.40649393939394","12274","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.10649393939394","9.40649393939394","12274","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.10649393939394","9.40649393939394","12274","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","9.10649393939394","9.40649393939394","12274"
