"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","RT at Max Intensity","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Number of Scans","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Max Intensity","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Average m/z","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment"
"","CerP(d18:0/2:0)+H",0,0,0,0,0,0,"1.40906944444444","1.70906944444444","3094","","CerP(d18:0/2:0)+H",0,0,0,0,0,0,"1.40906944444444","1.70906944444444","3094","","CerP(d18:0/2:0)+H",0,0,0,0,0,0,"1.40906944444444","1.70906944444444","3094","","CerP(d18:0/2:0)+H",0,0,0,0,0,0,"1.40906944444444","1.70906944444444","3094","","CerP(d18:0/2:0)+H",0,0,0,0,0,0,"1.40906944444444","1.70906944444444","3094","","CerP(d18:0/2:0)+H","424.2822334","406.2716734","326.3053334","308.2947734","344.3159034","266.28405","1.40906944444444","1.70906944444444","3094"
"","CerP(d19:0/2:0)+H",0,0,0,0,0,0,"1.00476805555556","1.30476805555556","1873","","CerP(d19:0/2:0)+H",0,0,0,0,0,0,"1.00476805555556","1.30476805555556","1873","","CerP(d19:0/2:0)+H",0,0,0,0,0,0,"1.00476805555556","1.30476805555556","1873","","CerP(d19:0/2:0)+H",0,0,0,0,0,0,"1.00476805555556","1.30476805555556","1873","","CerP(d19:0/2:0)+H",0,0,0,0,0,0,"1.00476805555556","1.30476805555556","1873","","CerP(d19:0/2:0)+H","438.2978889","420.2873289","340.3209889","322.3104289","358.3315589","280.29969","1.00476805555556","1.30476805555556","1873"
"","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"0.784979166666666","1.08497916666667","1589","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"0.784979166666666","1.08497916666667","1589","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"0.784979166666666","1.08497916666667","1589","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"0.784979166666666","1.08497916666667","1589","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"0.784979166666666","1.08497916666667","1589","","CerP(d14:1/10:0)+H","478.3291999","460.3186399","380.3522999","362.3417399","398.3628699","208.20585","0.784979166666666","1.08497916666667","1589"
"","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"1.00783484848485","1.30783484848485","10476","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"1.00783484848485","1.30783484848485","10476","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"1.00783484848485","1.30783484848485","10476","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"1.00783484848485","1.30783484848485","10476","","CerP(d14:1/10:0)+H",0,0,0,0,0,0,"1.00783484848485","1.30783484848485","10476","","CerP(d14:1/10:0)+H","478.3291999","460.3186399","380.3522999","362.3417399","398.3628699","208.20585","1.00783484848485","1.30783484848485","10476"
"","CerP(d14:0/10:0)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","CerP(d14:0/10:0)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","CerP(d14:0/10:0)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","CerP(d14:0/10:0)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","CerP(d14:0/10:0)+H",0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","CerP(d14:0/10:0)+H","480.3448554","462.3342954","382.3679554","364.3573954","400.3785254","210.22149","0.67120303030303","0.97120303030303","3850"
"","CerP(d15:1/10:0)+H",0,0,0,0,0,0,"1.02006111111111","1.32006111111111","2548","","CerP(d15:1/10:0)+H",0,0,0,0,0,0,"1.02006111111111","1.32006111111111","2548","","CerP(d15:1/10:0)+H",0,0,0,0,0,0,"1.02006111111111","1.32006111111111","2548","","CerP(d15:1/10:0)+H",0,0,0,0,0,0,"1.02006111111111","1.32006111111111","2548","","CerP(d15:1/10:0)+H",0,0,0,0,0,0,"1.02006111111111","1.32006111111111","2548","","CerP(d15:1/10:0)+H","492.3448554","474.3342954","394.3679554","376.3573954","412.3785254","222.22149","1.02006111111111","1.32006111111111","2548"
"","CerP(d15:0/10:0)+H",0,0,0,0,0,0,"1.1221625","1.4221625","2020","","CerP(d15:0/10:0)+H",0,0,0,0,0,0,"1.1221625","1.4221625","2020","","CerP(d15:0/10:0)+H",0,0,0,0,0,0,"1.1221625","1.4221625","2020","","CerP(d15:0/10:0)+H",0,0,0,0,0,0,"1.1221625","1.4221625","2020","","CerP(d15:0/10:0)+H",0,0,0,0,0,0,"1.1221625","1.4221625","2020","","CerP(d15:0/10:0)+H","494.3604804","476.3499204","396.3835804","378.3730204","414.3941504","224.23713","1.1221625","1.4221625","2020"
"","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d14:1/12:0)+H","506.3604804","488.3499204","408.3835804","390.3730204","426.3941504","208.20585","1.26832916666667","1.56832916666667","2267"
"","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d14:1/12:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d14:1/12:0)+H","506.3604804","488.3499204","408.3835804","390.3730204","426.3941504","208.20585","0.715829166666667","1.01582916666667","3245"
"","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"1.26832916666667","1.56832916666667","2267","","CerP(d16:1/10:0)+H","506.3604804","488.3499204","408.3835804","390.3730204","426.3941504","236.23713","1.26832916666667","1.56832916666667","2267"
