"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Number of Scans","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Average m/z","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment"
"","Cer(d10:0/10:0)+H",0,0,0,0,0,"0.456411111111111","0.756411111111111","4446","","Cer(d10:0/10:0)+H",0,0,0,0,0,"0.456411111111111","0.756411111111111","4446","","Cer(d10:0/10:0)+H",0,0,0,0,0,"0.456411111111111","0.756411111111111","4446","","Cer(d10:0/10:0)+H",0,0,0,0,0,"0.456411111111111","0.756411111111111","4446","","Cer(d10:0/10:0)+H",0,0,0,0,0,"0.456411111111111","0.756411111111111","4446","","Cer(d10:0/10:0)+H","344.31588","326.3053","308.29472","172.169395","154.158815","0.456411111111111","0.756411111111111","4446"
"","Cer(d10:0/10:0)+H",0,0,0,0,0,"5.00732638888889","5.30732638888889","17052","","Cer(d10:0/10:0)+H",0,0,0,0,0,"5.00732638888889","5.30732638888889","17052","","Cer(d10:0/10:0)+H",0,0,0,0,0,"5.00732638888889","5.30732638888889","17052","","Cer(d10:0/10:0)+H",0,0,0,0,0,"5.00732638888889","5.30732638888889","17052","","Cer(d10:0/10:0)+H",0,0,0,0,0,"5.00732638888889","5.30732638888889","17052","","Cer(d10:0/10:0)+H","344.31588","326.3053","308.29472","172.169395","154.158815","5.00732638888889","5.30732638888889","17052"
"","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.735818055555556","1.03581805555556","2470","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.735818055555556","1.03581805555556","2470","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.735818055555556","1.03581805555556","2470","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.735818055555556","1.03581805555556","2470","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.735818055555556","1.03581805555556","2470","","Cer(d10:0/12:0)+H","372.34718","354.3366","336.32602","172.169395","154.158815","0.735818055555556","1.03581805555556","2470"
"","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.1305875","1.4305875","5870","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.1305875","1.4305875","5870","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.1305875","1.4305875","5870","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.1305875","1.4305875","5870","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.1305875","1.4305875","5870","","Cer(d10:0/12:0)+H","372.34718","354.3366","336.32602","172.169395","154.158815","1.1305875","1.4305875","5870"
"","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.382802777777778","0.682802777777778","6789","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.382802777777778","0.682802777777778","6789","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.382802777777778","0.682802777777778","6789","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.382802777777778","0.682802777777778","6789","","Cer(d10:0/12:0)+H",0,0,0,0,0,"0.382802777777778","0.682802777777778","6789","","Cer(d10:0/12:0)+H","372.34718","354.3366","336.32602","172.169395","154.158815","0.382802777777778","0.682802777777778","6789"
"","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.36408472222222","1.66408472222222","8975","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.36408472222222","1.66408472222222","8975","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.36408472222222","1.66408472222222","8975","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.36408472222222","1.66408472222222","8975","","Cer(d10:0/12:0)+H",0,0,0,0,0,"1.36408472222222","1.66408472222222","8975","","Cer(d10:0/12:0)+H","372.34718","354.3366","336.32602","172.169395","154.158815","1.36408472222222","1.66408472222222","8975"
"","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.95178194444444","1.25178194444444","5804","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.95178194444444","1.25178194444444","5804","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.95178194444444","1.25178194444444","5804","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.95178194444444","1.25178194444444","5804","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.95178194444444","1.25178194444444","5804","","Cer(d10:0/13:0)+H","386.36288","368.3523","350.34172","172.169395","154.158815","0.95178194444444","1.25178194444444","5804"
"","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12025694444444","4.42025694444444","6811","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12025694444444","4.42025694444444","6811","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12025694444444","4.42025694444444","6811","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12025694444444","4.42025694444444","6811","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12025694444444","4.42025694444444","6811","","Cer(d10:0/13:0)+H","386.36288","368.3523","350.34172","172.169395","154.158815","4.12025694444444","4.42025694444444","6811"
"","Cer(d10:0/13:0)+H",0,0,0,0,0,"1.31707638888889","1.61707638888889","7220","","Cer(d10:0/13:0)+H",0,0,0,0,0,"1.31707638888889","1.61707638888889","7220","","Cer(d10:0/13:0)+H",0,0,0,0,0,"1.31707638888889","1.61707638888889","7220","","Cer(d10:0/13:0)+H",0,0,0,0,0,"1.31707638888889","1.61707638888889","7220","","Cer(d10:0/13:0)+H",0,0,0,0,0,"1.31707638888889","1.61707638888889","7220","","Cer(d10:0/13:0)+H","386.36288","368.3523","350.34172","172.169395","154.158815","1.31707638888889","1.61707638888889","7220"
"","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.463011111111111","0.763011111111111","8744","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.463011111111111","0.763011111111111","8744","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.463011111111111","0.763011111111111","8744","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.463011111111111","0.763011111111111","8744","","Cer(d10:0/13:0)+H",0,0,0,0,0,"0.463011111111111","0.763011111111111","8744","","Cer(d10:0/13:0)+H","386.36288","368.3523","350.34172","172.169395","154.158815","0.463011111111111","0.763011111111111","8744"
"","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12368194444445","4.42368194444445","13371","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12368194444445","4.42368194444445","13371","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12368194444445","4.42368194444445","13371","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12368194444445","4.42368194444445","13371","","Cer(d10:0/13:0)+H",0,0,0,0,0,"4.12368194444445","4.42368194444445","13371","","Cer(d10:0/13:0)+H","386.36288","368.3523","350.34172","172.169395","154.158815","4.12368194444445","4.42368194444445","13371"
"","Cer(d10:0/14:0)+H",1,0,0,0,0,"1.20041388888889","1.50041388888889","1114","","Cer(d10:0/14:0)+H",1.359127,1.359127,0,0,0,"1.20041388888889","1.50041388888889","1114","","Cer(d10:0/14:0)+H",1,1,0,0,0,"1.20041388888889","1.50041388888889","1114","","Cer(d10:0/14:0)+H",438587.6,366.168,0,0,0,"1.20041388888889","1.50041388888889","1114","","Cer(d10:0/14:0)+H",400.3797,382.3687,0,0,0,"1.20041388888889","1.50041388888889","1114","","Cer(d10:0/14:0)+H","400.37848","382.3679","364.35732","172.169395","154.158815","1.20041388888889","1.50041388888889","1114"
"","Cer(d10:0/14:0)+H",0,0,0,0,0,"1.680225","1.980225","8869","","Cer(d10:0/14:0)+H",0,0,0,0,0,"1.680225","1.980225","8869","","Cer(d10:0/14:0)+H",0,0,0,0,0,"1.680225","1.980225","8869","","Cer(d10:0/14:0)+H",0,0,0,0,0,"1.680225","1.980225","8869","","Cer(d10:0/14:0)+H",0,0,0,0,0,"1.680225","1.980225","8869","","Cer(d10:0/14:0)+H","400.37848","382.3679","364.35732","172.169395","154.158815","1.680225","1.980225","8869"
"","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.63831944444444","2.93831944444444","2938","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.63831944444444","2.93831944444444","2938","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.63831944444444","2.93831944444444","2938","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.63831944444444","2.93831944444444","2938","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.63831944444444","2.93831944444444","2938","","Cer(d10:0/14:1)+H","398.36288","380.3523","362.34172","172.169395","154.158815","2.63831944444444","2.93831944444444","2938"
"","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.88181111111111","1.18181111111111","3044","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.88181111111111","1.18181111111111","3044","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.88181111111111","1.18181111111111","3044","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.88181111111111","1.18181111111111","3044","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.88181111111111","1.18181111111111","3044","","Cer(d10:0/14:1)+H","398.36288","380.3523","362.34172","172.169395","154.158815","0.88181111111111","1.18181111111111","3044"
"","Cer(d10:0/14:1)+H",0,0,0,0,0,"3.24598194444444","3.54598194444444","7170","","Cer(d10:0/14:1)+H",0,0,0,0,0,"3.24598194444444","3.54598194444444","7170","","Cer(d10:0/14:1)+H",0,0,0,0,0,"3.24598194444444","3.54598194444444","7170","","Cer(d10:0/14:1)+H",0,0,0,0,0,"3.24598194444444","3.54598194444444","7170","","Cer(d10:0/14:1)+H",0,0,0,0,0,"3.24598194444444","3.54598194444444","7170","","Cer(d10:0/14:1)+H","398.36288","380.3523","362.34172","172.169395","154.158815","3.24598194444444","3.54598194444444","7170"
"","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.384905555555556","0.684905555555556","7812","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.384905555555556","0.684905555555556","7812","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.384905555555556","0.684905555555556","7812","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.384905555555556","0.684905555555556","7812","","Cer(d10:0/14:1)+H",0,0,0,0,0,"0.384905555555556","0.684905555555556","7812","","Cer(d10:0/14:1)+H","398.36288","380.3523","362.34172","172.169395","154.158815","0.384905555555556","0.684905555555556","7812"
"","Cer(d10:0/14:1)+H",0,0,0,0,0,"1.0723125","1.3723125","9079","","Cer(d10:0/14:1)+H",0,0,0,0,0,"1.0723125","1.3723125","9079","","Cer(d10:0/14:1)+H",0,0,0,0,0,"1.0723125","1.3723125","9079","","Cer(d10:0/14:1)+H",0,0,0,0,0,"1.0723125","1.3723125","9079","","Cer(d10:0/14:1)+H",0,0,0,0,0,"1.0723125","1.3723125","9079","","Cer(d10:0/14:1)+H","398.36288","380.3523","362.34172","172.169395","154.158815","1.0723125","1.3723125","9079"
"","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.45069583333333","2.75069583333333","13439","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.45069583333333","2.75069583333333","13439","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.45069583333333","2.75069583333333","13439","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.45069583333333","2.75069583333333","13439","","Cer(d10:0/14:1)+H",0,0,0,0,0,"2.45069583333333","2.75069583333333","13439","","Cer(d10:0/14:1)+H","398.36288","380.3523","362.34172","172.169395","154.158815","2.45069583333333","2.75069583333333","13439"
"","Cer(d10:0/15:0)+H",0,0,0,0,0,"6.66469861111111","6.96469861111111","5279","","Cer(d10:0/15:0)+H",0,0,0,0,0,"6.66469861111111","6.96469861111111","5279","","Cer(d10:0/15:0)+H",0,0,0,0,0,"6.66469861111111","6.96469861111111","5279","","Cer(d10:0/15:0)+H",0,0,0,0,0,"6.66469861111111","6.96469861111111","5279","","Cer(d10:0/15:0)+H",0,0,0,0,0,"6.66469861111111","6.96469861111111","5279","","Cer(d10:0/15:0)+H","414.39418","396.3836","378.37302","172.169395","154.158815","6.66469861111111","6.96469861111111","5279"
