"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer_NDS(d16:0/14:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer_NDS(d16:0/14:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer_NDS(d16:0/14:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer_NDS(d16:0/14:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer_NDS(d16:0/14:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer_NDS(d16:0/14:0)+H","484.47185","466.46135","448.45075","256.26295","238.25235","228.23165","226.25235","7.16495555555556","7.46495555555556","17513"
"","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"5.51029545454545","5.81029545454545","8572","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"5.51029545454545","5.81029545454545","8572","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"5.51029545454545","5.81029545454545","8572","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"5.51029545454545","5.81029545454545","8572","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"5.51029545454545","5.81029545454545","8572","","Cer_NDS(d16:0/15:0)+H","498.48755","480.47695","462.46635","256.26295","238.25235","242.24725","226.25235","5.51029545454545","5.81029545454545","8572"
"","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"9.41744166666667","9.71744166666667","19141","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"9.41744166666667","9.71744166666667","19141","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"9.41744166666667","9.71744166666667","19141","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"9.41744166666667","9.71744166666667","19141","","Cer_NDS(d16:0/15:0)+H",0,0,0,0,0,0,0,"9.41744166666667","9.71744166666667","19141","","Cer_NDS(d16:0/15:0)+H","498.48755","480.47695","462.46635","256.26295","238.25235","242.24725","226.25235","9.41744166666667","9.71744166666667","19141"
"","Cer_NDS(d16:0/15:1)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer_NDS(d16:0/15:1)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer_NDS(d16:0/15:1)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer_NDS(d16:0/15:1)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer_NDS(d16:0/15:1)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer_NDS(d16:0/15:1)+H","496.47185","478.46135","460.45075","256.26295","238.25235","240.23165","226.25235","8.11116805555555","8.41116805555555","4548"
"","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer_NDS(d16:0/16:1)+H","510.48755","492.47695","474.46635","256.26295","238.25235","254.24725","226.25235","5.89319027777778","6.19319027777778","3887"
"","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer_NDS(d16:0/16:1)+H","510.48755","492.47695","474.46635","256.26295","238.25235","254.24725","226.25235","8.68406111111111","8.98406111111111","5075"
"","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer_NDS(d16:0/16:1)+H","510.48755","492.47695","474.46635","256.26295","238.25235","254.24725","226.25235","1.40603611111111","1.70603611111111","8910"
"","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer_NDS(d16:0/17:1)+H","524.50315","506.49265","488.48205","256.26295","238.25235","268.26295","226.25235","9.27542222222222","9.57542222222222","8266"
"","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer_NDS(d16:0/17:1)+H","524.50315","506.49265","488.48205","256.26295","238.25235","268.26295","226.25235","4.03312638888889","4.33312638888889","8831"
"","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer_NDS(d16:0/17:1)+H","524.50315","506.49265","488.48205","256.26295","238.25235","268.26295","226.25235","6.55073472222222","6.85073472222222","16082"
