"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4","784.50566","443.37316","425.36259","271.22692","229.18","155.1431","197.19002","1.03301111111111","1.33301111111111","12997"
"","DGDG(10:0_15:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(10:0_15:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(10:0_15:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(10:0_15:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(10:0_15:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(10:0_15:0)+NH4","812.53697","471.40447","453.3939","299.25823","229.18003","155.1431","225.2213","1.86782083333333","2.16782083333333","11159"
"","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4","826.55262","485.42012","467.40955","313.27388","229.18004","155.1431","239.23694","1.55908055555556","1.85908055555556","18812"
"","DGDG(10:0_17:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(10:0_17:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(10:0_17:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(10:0_17:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(10:0_17:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(10:0_17:0)+NH4","840.56828","499.43578","481.42521","327.28954","229.18006","155.1431","253.25258","4.10132083333333","4.40132083333333","8692"
"","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4","854.58392","513.45142","495.44085","341.30518","229.18006","155.1431","267.26822","0.539469444444444","0.839469444444444","4759"
"","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(10:0_18:4)+NH4","846.52132","505.38882","487.37825","333.24258","229.18002","155.1431","259.20566","5.27234242424242","5.57234242424242","10434"
"","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(10:0_18:4)+NH4",0,0,0,0,0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(10:0_18:4)+NH4","846.52132","505.38882","487.37825","333.24258","229.18002","155.1431","259.20566","5.27234242424242","5.57234242424242","15493"
"","DGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(10:0_20:0)+NH4","882.61522","541.48272","523.47215","369.33648","229.18008","155.1431","295.2995","1.17231944444444","1.47231944444444","16662"
"","DGDG(10:0_20:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(10:0_20:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(10:0_20:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(10:0_20:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(10:0_20:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(10:0_20:2)+NH4","878.58392","537.45142","519.44085","365.30518","229.18006","155.1431","291.26822","8.52266666666667","8.82266666666667","16911"
"","DGDG(10:0_20:5)+NH4",0,0,0,0,0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(10:0_20:5)+NH4",0,0,0,0,0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(10:0_20:5)+NH4",0,0,0,0,0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(10:0_20:5)+NH4",0,0,0,0,0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(10:0_20:5)+NH4",0,0,0,0,0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(10:0_20:5)+NH4","872.53697","531.40447","513.3939","359.25823","229.18003","155.1431","285.2213","5.51560694444444","5.81560694444444","5093"
