"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment"
"","DGTS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(8:0_15:0)+H","586.46777","568.45721","455.37315","469.3888","460.36337","362.25377","442.35281","344.24321","236.1492402","144.1018984","59.0729454","4.90239305555556","5.20239305555556","1884"
"","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(8:0_16:1)+H","598.46777","580.45721","467.37315","481.3888","472.36337","362.25377","454.35281","344.24321","236.1492402","144.1018984","59.0729454","0.795279166666666","1.09527916666667","4716"
"","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(8:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(8:0_16:1)+H","598.46777","580.45721","467.37315","481.3888","472.36337","362.25377","454.35281","344.24321","236.1492402","144.1018984","59.0729454","4.54611805555556","4.84611805555556","6403"
"","DGTS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(8:0_18:0)+H","628.51467","610.50411","497.42005","511.4357","502.41027","362.25377","484.39971","344.24321","236.1492402","144.1018984","59.0729454","1.78905138888889","2.08905138888889","7554"
"","DGTS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(8:0_18:1)+H","626.49907","608.48851","495.40445","509.4201","500.39467","362.25377","482.38411","344.24321","236.1492402","144.1018984","59.0729454","3.98269166666667","4.28269166666667","7545"
"","DGTS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(8:0_20:1)+H","654.53037","636.51981","523.43575","537.4514","528.42597","362.25377","510.41541","344.24321","236.1492402","144.1018984","59.0729454","4.99630454545455","5.29630454545455","6672"
"","DGTS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.9803263888889","10.2803263888889","14876","","DGTS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.9803263888889","10.2803263888889","14876","","DGTS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.9803263888889","10.2803263888889","14876","","DGTS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.9803263888889","10.2803263888889","14876","","DGTS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.9803263888889","10.2803263888889","14876","","DGTS(8:0_21:0)+H","670.56167","652.55111","539.46705","553.4827","544.45727","362.25377","526.44671","344.24321","236.1492402","144.1018984","59.0729454","9.9803263888889","10.2803263888889","14876"
"","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.158175","9.458175","12004","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.158175","9.458175","12004","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.158175","9.458175","12004","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.158175","9.458175","12004","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.158175","9.458175","12004","","DGTS(8:0_23:0)+H","698.59297","680.58241","567.49835","581.514","572.48857","362.25377","554.47801","344.24321","236.1492402","144.1018984","59.0729454","9.158175","9.458175","12004"
"","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(8:0_23:0)+H","698.59297","680.58241","567.49835","581.514","572.48857","362.25377","554.47801","344.24321","236.1492402","144.1018984","59.0729454","9.15824666666667","9.45824666666667","18058"
"","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(8:0_23:0)+H","698.59297","680.58241","567.49835","581.514","572.48857","362.25377","554.47801","344.24321","236.1492402","144.1018984","59.0729454","8.63880138888889","8.93880138888889","18630"
