"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","GlcCer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NDS(d16:0/16:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NDS(d16:0/16:1)+H","672.54085","510.48805","492.47745","474.46695","256.26295","238.25235","254.24725","226.25235","5.0153625","5.3153625","2151"
"","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","GlcCer_NDS(d16:0/17:0)+H","688.57225","526.51935","508.50875","490.49825","256.26295","238.25235","270.27855","226.25235","10.4931196969697","10.7931196969697","10162"
"","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","GlcCer_NDS(d16:0/17:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","GlcCer_NDS(d16:0/17:0)+H","688.57225","526.51935","508.50875","490.49825","256.26295","238.25235","270.27855","226.25235","10.6881013888889","10.9881013888889","17437"
"","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NDS(d16:0/17:1)+H","686.55655","524.50375","506.49315","488.48255","256.26295","238.25235","268.26295","226.25235","5.71002361111111","6.01002361111111","5972"
"","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NDS(d16:0/17:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NDS(d16:0/17:1)+H","686.55655","524.50375","506.49315","488.48255","256.26295","238.25235","268.26295","226.25235","10.2094212121212","10.5094212121212","16210"
"","GlcCer_NDS(d16:0/17:2)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NDS(d16:0/17:2)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NDS(d16:0/17:2)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NDS(d16:0/17:2)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NDS(d16:0/17:2)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NDS(d16:0/17:2)+H","684.54085","522.48805","504.47745","486.46695","256.26295","238.25235","266.24735","226.25235","6.78201944444445","7.08201944444445","14661"
"","GlcCer_NDS(d16:0/18:1)+H",0,0,1,1,1,0,1,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NDS(d16:0/18:1)+H",0,0,6.545538,6.545538,6.545538,0,6.545538,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NDS(d16:0/18:1)+H",0,0,1,1,1,0,1,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NDS(d16:0/18:1)+H",0,0,145452.5,56112.69,7330.657,0,25051.72,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NDS(d16:0/18:1)+H",0,0,520.5101,502.4994,256.264,0,282.2797,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NDS(d16:0/18:1)+H","700.57225","538.51935","520.50875","502.49825","256.26295","238.25235","282.27855","226.25235","6.36482638888889","6.66482638888889","1123"
"","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NDS(d16:0/18:1)+H","700.57225","538.51935","520.50875","502.49825","256.26295","238.25235","282.27855","226.25235","5.21461944444444","5.51461944444444","3785"
"","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NDS(d16:0/18:1)+H","700.57225","538.51935","520.50875","502.49825","256.26295","238.25235","282.27855","226.25235","8.27311666666667","8.57311666666667","12563"
"","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NDS(d16:0/18:1)+H","700.57225","538.51935","520.50875","502.49825","256.26295","238.25235","282.27855","226.25235","8.27312916666667","8.57312916666667","18238"
