"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Average m/z","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment"
"","LDGTS(4:0/0:0)",0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","LDGTS(4:0/0:0)",0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","LDGTS(4:0/0:0)",0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","LDGTS(4:0/0:0)",0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","LDGTS(4:0/0:0)",0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","LDGTS(4:0/0:0)","306.191108","288.1805434","236.1492722","218.1387122","144.1024","0.354361666666667","0.654361666666667","17862"
"","LDGTS(5:0/0:0)",0,0,0,0,0,"0.2131375","0.5131375","12863","","LDGTS(5:0/0:0)",0,0,0,0,0,"0.2131375","0.5131375","12863","","LDGTS(5:0/0:0)",0,0,0,0,0,"0.2131375","0.5131375","12863","","LDGTS(5:0/0:0)",0,0,0,0,0,"0.2131375","0.5131375","12863","","LDGTS(5:0/0:0)",0,0,0,0,0,"0.2131375","0.5131375","12863","","LDGTS(5:0/0:0)","320.206758","302.1961935","236.1492823","218.1387223","144.1024","0.2131375","0.5131375","12863"
"","LDGTS(6:0/0:0)",0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","LDGTS(6:0/0:0)",0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","LDGTS(6:0/0:0)",0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","LDGTS(6:0/0:0)",0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","LDGTS(6:0/0:0)",0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","LDGTS(6:0/0:0)","334.222408","316.2118435","236.1492923","218.1387323","144.1024","0.233751515151515","0.533751515151515","1514"
"","LDGTS(6:1/0:0)",0,0,0,0,0,"0.284501515151515","0.584501515151515","11683","","LDGTS(6:1/0:0)",0,0,0,0,0,"0.284501515151515","0.584501515151515","11683","","LDGTS(6:1/0:0)",0,0,0,0,0,"0.284501515151515","0.584501515151515","11683","","LDGTS(6:1/0:0)",0,0,0,0,0,"0.284501515151515","0.584501515151515","11683","","LDGTS(6:1/0:0)",0,0,0,0,0,"0.284501515151515","0.584501515151515","11683","","LDGTS(6:1/0:0)","332.206758","314.1961935","236.1492823","218.1387223","144.1024","0.284501515151515","0.584501515151515","11683"
"","LDGTS(7:0/0:0)",0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","LDGTS(7:0/0:0)",0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","LDGTS(7:0/0:0)",0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","LDGTS(7:0/0:0)",0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","LDGTS(7:0/0:0)",0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","LDGTS(7:0/0:0)","348.238058","330.2274936","236.1493024","218.1387424","144.1024","0.273609722222222","0.573609722222222","3723"
"","LDGTS(8:0/0:0)",0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","LDGTS(8:0/0:0)",0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","LDGTS(8:0/0:0)",0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","LDGTS(8:0/0:0)",0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","LDGTS(8:0/0:0)",0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","LDGTS(8:0/0:0)","362.253708","344.2431437","236.1493125","218.1387525","144.1024","0.314616666666667","0.614616666666667","5104"
"","LDGTS(8:1/0:0)",0,0,0,0,0,"0.209773333333333","0.509773333333333","18337","","LDGTS(8:1/0:0)",0,0,0,0,0,"0.209773333333333","0.509773333333333","18337","","LDGTS(8:1/0:0)",0,0,0,0,0,"0.209773333333333","0.509773333333333","18337","","LDGTS(8:1/0:0)",0,0,0,0,0,"0.209773333333333","0.509773333333333","18337","","LDGTS(8:1/0:0)",0,0,0,0,0,"0.209773333333333","0.509773333333333","18337","","LDGTS(8:1/0:0)","360.238058","342.2274936","236.1493024","218.1387424","144.1024","0.209773333333333","0.509773333333333","18337"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","4.09867777777778","4.39867777777778","8110"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","1.79171527777778","2.09171527777778","8171"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","4.81186111111111","5.11186111111111","8514"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","9.15855277777778","9.45855277777778","9005"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","0.375825757575758","0.675825757575758","10243"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","5.07489166666667","5.37489166666667","10573"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"5.64624027777778","5.94624027777778","10781","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.64624027777778","5.94624027777778","10781","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.64624027777778","5.94624027777778","10781","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.64624027777778","5.94624027777778","10781","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.64624027777778","5.94624027777778","10781","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","5.64624027777778","5.94624027777778","10781"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"12.4949277777778","12.7949277777778","10824","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.4949277777778","12.7949277777778","10824","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.4949277777778","12.7949277777778","10824","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.4949277777778","12.7949277777778","10824","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.4949277777778","12.7949277777778","10824","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","12.4949277777778","12.7949277777778","10824"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"14.9298166666667","15.2298166666667","12102","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.9298166666667","15.2298166666667","12102","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.9298166666667","15.2298166666667","12102","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.9298166666667","15.2298166666667","12102","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.9298166666667","15.2298166666667","12102","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","14.9298166666667","15.2298166666667","12102"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"8.68126527777778","8.98126527777778","12285","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.68126527777778","8.98126527777778","12285","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.68126527777778","8.98126527777778","12285","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.68126527777778","8.98126527777778","12285","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.68126527777778","8.98126527777778","12285","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","8.68126527777778","8.98126527777778","12285"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"14.6663416666667","14.9663416666667","12337","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.6663416666667","14.9663416666667","12337","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.6663416666667","14.9663416666667","12337","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.6663416666667","14.9663416666667","12337","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.6663416666667","14.9663416666667","12337","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","14.6663416666667","14.9663416666667","12337"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"1.38499722222222","1.68499722222222","12396","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.38499722222222","1.68499722222222","12396","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.38499722222222","1.68499722222222","12396","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.38499722222222","1.68499722222222","12396","","LDGTS(10:0/0:0)",0,0,0,0,0,"1.38499722222222","1.68499722222222","12396","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","1.38499722222222","1.68499722222222","12396"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"2.66301527777778","2.96301527777778","13860","","LDGTS(10:0/0:0)",0,0,0,0,0,"2.66301527777778","2.96301527777778","13860","","LDGTS(10:0/0:0)",0,0,0,0,0,"2.66301527777778","2.96301527777778","13860","","LDGTS(10:0/0:0)",0,0,0,0,0,"2.66301527777778","2.96301527777778","13860","","LDGTS(10:0/0:0)",0,0,0,0,0,"2.66301527777778","2.96301527777778","13860","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","2.66301527777778","2.96301527777778","13860"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","8.27024861111111","8.57024861111111","13993"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","12.6743888888889","12.9743888888889","14193"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","14.3141111111111","14.6141111111111","14216"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","14.8981361111111","15.1981361111111","15646"
