"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Number of Scans","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Max Intensity","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Average m/z","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment"
"","LPC(12:0)+H",0,0,0,0,0,0,0,"0.622708333333333","0.922708333333333","10087","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.622708333333333","0.922708333333333","10087","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.622708333333333","0.922708333333333","10087","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.622708333333333","0.922708333333333","10087","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.622708333333333","0.922708333333333","10087","","LPC(12:0)+H","440.277205","257.211205","258.11015","184.07332","124.9994","104.1069","86.0963","0.622708333333333","0.922708333333333","10087"
"","LPC(12:0)+H",0,0,0,0,0,0,0,"0.331268055555556","0.631268055555556","11494","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.331268055555556","0.631268055555556","11494","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.331268055555556","0.631268055555556","11494","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.331268055555556","0.631268055555556","11494","","LPC(12:0)+H",0,0,0,0,0,0,0,"0.331268055555556","0.631268055555556","11494","","LPC(12:0)+H","440.277205","257.211205","258.11015","184.07332","124.9994","104.1069","86.0963","0.331268055555556","0.631268055555556","11494"
"","LPC(13:0)+H",1,0,0,0,0,0,0,"0.837354166666667","1.13735416666667","705","","LPC(13:0)+H",0.9710801,0,0,0,0,0.9710801,0,"0.837354166666667","1.13735416666667","705","","LPC(13:0)+H",1,0,0,0,0,1,0,"0.837354166666667","1.13735416666667","705","","LPC(13:0)+H",41563.17,0,0,0,0,501.6677,0,"0.837354166666667","1.13735416666667","705","","LPC(13:0)+H",454.2934,0,0,0,0,104.1071,0,"0.837354166666667","1.13735416666667","705","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","0.837354166666667","1.13735416666667","705"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"1.03138333333333","1.33138333333333","5640","","LPC(13:0)+H",0,0,0,0,0,0,0,"1.03138333333333","1.33138333333333","5640","","LPC(13:0)+H",0,0,0,0,0,0,0,"1.03138333333333","1.33138333333333","5640","","LPC(13:0)+H",0,0,0,0,0,0,0,"1.03138333333333","1.33138333333333","5640","","LPC(13:0)+H",0,0,0,0,0,0,0,"1.03138333333333","1.33138333333333","5640","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","1.03138333333333","1.33138333333333","5640"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"4.95699166666667","5.25699166666667","6220","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.95699166666667","5.25699166666667","6220","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.95699166666667","5.25699166666667","6220","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.95699166666667","5.25699166666667","6220","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.95699166666667","5.25699166666667","6220","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","4.95699166666667","5.25699166666667","6220"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0885083333333","10.3885083333333","7083","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0885083333333","10.3885083333333","7083","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0885083333333","10.3885083333333","7083","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0885083333333","10.3885083333333","7083","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0885083333333","10.3885083333333","7083","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","10.0885083333333","10.3885083333333","7083"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"8.24155833333333","8.54155833333333","7162","","LPC(13:0)+H",0,0,0,0,0,0,0,"8.24155833333333","8.54155833333333","7162","","LPC(13:0)+H",0,0,0,0,0,0,0,"8.24155833333333","8.54155833333333","7162","","LPC(13:0)+H",0,0,0,0,0,0,0,"8.24155833333333","8.54155833333333","7162","","LPC(13:0)+H",0,0,0,0,0,0,0,"8.24155833333333","8.54155833333333","7162","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","8.24155833333333","8.54155833333333","7162"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"5.13154848484848","5.43154848484848","7373","","LPC(13:0)+H",0,0,0,0,0,0,0,"5.13154848484848","5.43154848484848","7373","","LPC(13:0)+H",0,0,0,0,0,0,0,"5.13154848484848","5.43154848484848","7373","","LPC(13:0)+H",0,0,0,0,0,0,0,"5.13154848484848","5.43154848484848","7373","","LPC(13:0)+H",0,0,0,0,0,0,0,"5.13154848484848","5.43154848484848","7373","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","5.13154848484848","5.43154848484848","7373"
"","LPC(13:0)+H",0,0,0,0,0,0,1,"11.6968291666667","11.9968291666667","7594","","LPC(13:0)+H",0,0,0,0,0,0,11.78214,"11.6968291666667","11.9968291666667","7594","","LPC(13:0)+H",0,0,0,0,0,0,1,"11.6968291666667","11.9968291666667","7594","","LPC(13:0)+H",0,0,0,0,0,0,1624.282,"11.6968291666667","11.9968291666667","7594","","LPC(13:0)+H",0,0,0,0,0,0,86.0966,"11.6968291666667","11.9968291666667","7594","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","11.6968291666667","11.9968291666667","7594"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"10.9013708333333","11.2013708333333","7844","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.9013708333333","11.2013708333333","7844","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.9013708333333","11.2013708333333","7844","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.9013708333333","11.2013708333333","7844","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.9013708333333","11.2013708333333","7844","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","10.9013708333333","11.2013708333333","7844"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPC(13:0)+H",0,0,0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPC(13:0)+H",0,0,0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPC(13:0)+H",0,0,0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPC(13:0)+H",0,0,0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","2.33812222222222","2.63812222222222","7854"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","9.00497222222222","9.30497222222222","8091"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","9.73044393939394","10.0304439393939","8519"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","4.86370138888889","5.16370138888889","10312"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","9.23429027777778","9.53429027777778","11073"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPC(13:0)+H",0,0,0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPC(13:0)+H",0,0,0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPC(13:0)+H",0,0,0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPC(13:0)+H",0,0,0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","11.9661416666667","12.2661416666667","11207"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPC(13:0)+H",0,0,0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","10.0839513888889","10.3839513888889","13775"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","4.52249166666667","4.82249166666667","14128"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPC(13:0)+H",0,0,0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","4.98549861111111","5.28549861111111","17478"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"9.210475","9.510475","17594","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.210475","9.510475","17594","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.210475","9.510475","17594","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.210475","9.510475","17594","","LPC(13:0)+H",0,0,0,0,0,0,0,"9.210475","9.510475","17594","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","9.210475","9.510475","17594"
"","LPC(13:0)+H",0,0,0,0,0,0,0,"0.377983333333333","0.677983333333333","17750","","LPC(13:0)+H",0,0,0,0,0,0,0,"0.377983333333333","0.677983333333333","17750","","LPC(13:0)+H",0,0,0,0,0,0,0,"0.377983333333333","0.677983333333333","17750","","LPC(13:0)+H",0,0,0,0,0,0,0,"0.377983333333333","0.677983333333333","17750","","LPC(13:0)+H",0,0,0,0,0,0,0,"0.377983333333333","0.677983333333333","17750","","LPC(13:0)+H","454.292855","271.226855","258.11015","184.07332","124.9994","104.1069","86.0963","0.377983333333333","0.677983333333333","17750"
"","LPC(14:0)+H",1,1,1,1,1,1,1,"0.484563888888889","0.784563888888889","189","","LPC(14:0)+H",0.6487598,0.6487598,0.6487598,0.6487598,0.6487598,0.6487598,0.6487598,"0.484563888888889","0.784563888888889","189","","LPC(14:0)+H",1,1,1,1,1,1,1,"0.484563888888889","0.784563888888889","189","","LPC(14:0)+H",3672489,92764.89,85364.06,4404990,23556.09,4283194,165288,"0.484563888888889","0.784563888888889","189","","LPC(14:0)+H",468.3088,285.2425,258.1102,184.0734,124.9999,104.107,86.09647,"0.484563888888889","0.784563888888889","189","","LPC(14:0)+H","468.308505","285.242505","258.11015","184.07332","124.9994","104.1069","86.0963","0.484563888888889","0.784563888888889","189"
"","LPC(14:0)+H",0,0,0,0,0,0,0,"0.6578","0.9578","12718","","LPC(14:0)+H",0,0,0,0,0,0,0,"0.6578","0.9578","12718","","LPC(14:0)+H",0,0,0,0,0,0,0,"0.6578","0.9578","12718","","LPC(14:0)+H",0,0,0,0,0,0,0,"0.6578","0.9578","12718","","LPC(14:0)+H",0,0,0,0,0,0,0,"0.6578","0.9578","12718","","LPC(14:0)+H","468.308505","285.242505","258.11015","184.07332","124.9994","104.1069","86.0963","0.6578","0.9578","12718"
"","LPC(14:1)+H",0,0,0,0,0,0,0,"0.370883333333333","0.670883333333333","13391","","LPC(14:1)+H",0,0,0,0,0,0,0,"0.370883333333333","0.670883333333333","13391","","LPC(14:1)+H",0,0,0,0,0,0,0,"0.370883333333333","0.670883333333333","13391","","LPC(14:1)+H",0,0,0,0,0,0,0,"0.370883333333333","0.670883333333333","13391","","LPC(14:1)+H",0,0,0,0,0,0,0,"0.370883333333333","0.670883333333333","13391","","LPC(14:1)+H","466.292855","283.226855","258.11015","184.07332","124.9994","104.1069","86.0963","0.370883333333333","0.670883333333333","13391"
"","LPC(15:0)+H",1,1,1,1,1,1,1,"0.608841666666667","0.908841666666667","254","","LPC(15:0)+H",0.7448988,0.7448988,0.7448988,0.7448988,0.7448988,0.7448988,0.7448988,"0.608841666666667","0.908841666666667","254","","LPC(15:0)+H",2,2,2,2,1,2,2,"0.608841666666667","0.908841666666667","254","","LPC(15:0)+H",2360705,54178.82,51508.15,2805264,15846.63,2360755,85299.27,"0.608841666666667","0.908841666666667","254","","LPC(15:0)+H",482.32475,299.25825,258.1104,184.0735,124.9999,104.1071,86.09654,"0.608841666666667","0.908841666666667","254","","LPC(15:0)+H","482.324155","299.258155","258.11015","184.07332","124.9994","104.1069","86.0963","0.608841666666667","0.908841666666667","254"
"","LPC(15:0)+H",1,0,0,1,0,1,0,"1.34317916666667","1.64317916666667","495","","LPC(15:0)+H",1.478427,0,0,1.478427,0,1.478427,0,"1.34317916666667","1.64317916666667","495","","LPC(15:0)+H",1,0,0,1,0,1,0,"1.34317916666667","1.64317916666667","495","","LPC(15:0)+H",106622.7,0,0,7444.226,0,40495.67,0,"1.34317916666667","1.64317916666667","495","","LPC(15:0)+H",482.3247,0,0,184.0735,0,104.1071,0,"1.34317916666667","1.64317916666667","495","","LPC(15:0)+H","482.324155","299.258155","258.11015","184.07332","124.9994","104.1069","86.0963","1.34317916666667","1.64317916666667","495"
"","LPC(15:0)+H",0,0,0,0,0,0,0,"1.53233333333333","1.83233333333333","4659","","LPC(15:0)+H",0,0,0,0,0,0,0,"1.53233333333333","1.83233333333333","4659","","LPC(15:0)+H",0,0,0,0,0,0,0,"1.53233333333333","1.83233333333333","4659","","LPC(15:0)+H",0,0,0,0,0,0,0,"1.53233333333333","1.83233333333333","4659","","LPC(15:0)+H",0,0,0,0,0,0,0,"1.53233333333333","1.83233333333333","4659","","LPC(15:0)+H","482.324155","299.258155","258.11015","184.07332","124.9994","104.1069","86.0963","1.53233333333333","1.83233333333333","4659"
"","LPC(15:1)+H",1,0,0,1,1,1,1,"0.90731944444444","1.20731944444444","653","","LPC(15:1)+H",1.069192,0,0,1.069192,1.069192,1.069192,1.069192,"0.90731944444444","1.20731944444444","653","","LPC(15:1)+H",2,0,0,3,3,3,3,"0.90731944444444","1.20731944444444","653","","LPC(15:1)+H",76649.84,0,0,210467.7,55949.74,1243912,245041.6,"0.90731944444444","1.20731944444444","653","","LPC(15:1)+H",480.3095,0,0,184.073533333333,125,104.1071,86.0965166666667,"0.90731944444444","1.20731944444444","653","","LPC(15:1)+H","480.308505","297.242505","258.11015","184.07332","124.9994","104.1069","86.0963","0.90731944444444","1.20731944444444","653"
"","LPC(15:1)+H",0,0,0,0,0,0,0,"0.4731125","0.7731125","4739","","LPC(15:1)+H",0,0,0,0,0,0,0,"0.4731125","0.7731125","4739","","LPC(15:1)+H",0,0,0,0,0,0,0,"0.4731125","0.7731125","4739","","LPC(15:1)+H",0,0,0,0,0,0,0,"0.4731125","0.7731125","4739","","LPC(15:1)+H",0,0,0,0,0,0,0,"0.4731125","0.7731125","4739","","LPC(15:1)+H","480.308505","297.242505","258.11015","184.07332","124.9994","104.1069","86.0963","0.4731125","0.7731125","4739"
"","LPC(15:1)+H",0,0,0,0,0,0,0,"15.0183266666667","15.3183266666667","15631","","LPC(15:1)+H",0,0,0,0,0,0,0,"15.0183266666667","15.3183266666667","15631","","LPC(15:1)+H",0,0,0,0,0,0,0,"15.0183266666667","15.3183266666667","15631","","LPC(15:1)+H",0,0,0,0,0,0,0,"15.0183266666667","15.3183266666667","15631","","LPC(15:1)+H",0,0,0,0,0,0,0,"15.0183266666667","15.3183266666667","15631","","LPC(15:1)+H","480.308505","297.242505","258.11015","184.07332","124.9994","104.1069","86.0963","15.0183266666667","15.3183266666667","15631"
