"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","LPC(13:0)+Na",0,0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPC(13:0)+Na",0,0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPC(13:0)+Na",0,0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPC(13:0)+Na",0,0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPC(13:0)+Na",0,0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPC(13:0)+Na","476.274235","293.208235","417.200735","271.226235","146.944835","184.07332","0.481963888888889","0.781963888888889","3863"
"","LPC(14:0)+Na",0,0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPC(14:0)+Na",0,0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPC(14:0)+Na",0,0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPC(14:0)+Na",0,0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPC(14:0)+Na",0,0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPC(14:0)+Na","490.289885","307.223885","431.216385","285.241885","160.960485","184.07332","0.484563888888889","0.784563888888889","1614"
"","LPC(15:0)+Na",0,0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPC(15:0)+Na",0,0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPC(15:0)+Na",0,0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPC(15:0)+Na",0,0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPC(15:0)+Na",0,0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPC(15:0)+Na","504.305535","321.239535","445.232035","299.257535","174.976135","184.07332","1.36907222222222","1.66907222222222","3532"
"","LPC(15:1)+Na",0,0,0,0,0,0,"0.578043055555556","0.878043055555556","762","","LPC(15:1)+Na",0,0,0,0.6892593,0,0,"0.578043055555556","0.878043055555556","762","","LPC(15:1)+Na",0,0,0,1,0,0,"0.578043055555556","0.878043055555556","762","","LPC(15:1)+Na",0,0,0,621.8461,0,0,"0.578043055555556","0.878043055555556","762","","LPC(15:1)+Na",0,0,0,297.2419,0,0,"0.578043055555556","0.878043055555556","762","","LPC(15:1)+Na","502.289885","319.223885","443.216385","297.241885","172.960485","184.07332","0.578043055555556","0.878043055555556","762"
"","LPC(15:1)+Na",0,0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPC(15:1)+Na",0,0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPC(15:1)+Na",0,0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPC(15:1)+Na",0,0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPC(15:1)+Na",0,0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPC(15:1)+Na","502.289885","319.223885","443.216385","297.241885","172.960485","184.07332","0.91815555555556","1.21815555555556","15387"
"","LPC(16:0)+Na",1,1,1,1,0,1,"0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na",0.9355703,0.8117199,0.9355703,0.8117199,0,0.8117199,"0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na",2,2,2,2,0,2,"0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na",1234647,11719.64,1298778,203823.1,0,70102.76,"0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na",518.32235,335.25575,459.24855,313.27385,0,184.07355,"0.738405555555556","1.03840555555556","295","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","0.738405555555556","1.03840555555556","295"
"","LPC(16:0)+Na",0,0,0,0,0,1,"0.448061111111111","0.748061111111111","394","","LPC(16:0)+Na",0,0,0,0,0,0.6175924,"0.448061111111111","0.748061111111111","394","","LPC(16:0)+Na",0,0,0,0,0,1,"0.448061111111111","0.748061111111111","394","","LPC(16:0)+Na",0,0,0,0,0,1579002,"0.448061111111111","0.748061111111111","394","","LPC(16:0)+Na",0,0,0,0,0,184.0736,"0.448061111111111","0.748061111111111","394","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","0.448061111111111","0.748061111111111","394"
"","LPC(16:0)+Na",1,0,1,1,0,0,"1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na",1.989305,1.989305,1.989305,1.989305,0,1.989305,"1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na",1,1,1,1,0,1,"1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na",261399.9,707.9921,246375.1,14314.66,0,901.0662,"1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na",518.3223,335.2558,459.2485,313.2738,0,184.0738,"1.82039027777778","2.12039027777778","999","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","1.82039027777778","2.12039027777778","999"
"","LPC(16:0)+Na",1,0,1,1,0,1,"1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na",1.519948,0,1.519948,1.519948,0,1.519948,"1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na",1,0,1,1,0,1,"1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na",255034.3,0,260420.4,11902.66,0,1856.86,"1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na",518.3223,0,459.2484,313.2738,0,184.0735,"1.37974166666667","1.67974166666667","1222","","LPC(16:0)+Na","518.321185","335.255185","459.247685","313.273185","188.991785","184.07332","1.37974166666667","1.67974166666667","1222"
"","LPC(16:1)+Na",0,0,0,0,0,0,"0.501563636363636","0.801563636363636","9147","","LPC(16:1)+Na",0,0,0,0,0,0,"0.501563636363636","0.801563636363636","9147","","LPC(16:1)+Na",0,0,0,0,0,0,"0.501563636363636","0.801563636363636","9147","","LPC(16:1)+Na",0,0,0,0,0,0,"0.501563636363636","0.801563636363636","9147","","LPC(16:1)+Na",0,0,0,0,0,0,"0.501563636363636","0.801563636363636","9147","","LPC(16:1)+Na","516.305535","333.239535","457.232035","311.257535","186.976135","184.07332","0.501563636363636","0.801563636363636","9147"
