"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","LPE(16:0)+Na",0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPE(16:0)+Na",0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPE(16:0)+Na",0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPE(16:0)+Na",0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPE(16:0)+Na",0,0,0,0,0,"0.481963888888889","0.781963888888889","3863","","LPE(16:0)+Na","476.273675","433.231475","335.2545807","176.99139","164.00888","0.481963888888889","0.781963888888889","3863"
"","LPE(17:0)+Na",0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPE(17:0)+Na",0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPE(17:0)+Na",0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPE(17:0)+Na",0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPE(17:0)+Na",0,0,0,0,0,"0.484563888888889","0.784563888888889","1614","","LPE(17:0)+Na","490.289325","447.247125","349.2702307","176.99139","164.00888","0.484563888888889","0.784563888888889","1614"
"","LPE(18:0)+Na",0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPE(18:0)+Na",0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPE(18:0)+Na",0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPE(18:0)+Na",0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPE(18:0)+Na",0,0,0,0,0,"1.36907222222222","1.66907222222222","3532","","LPE(18:0)+Na","504.304975","461.262775","363.2858807","176.99139","164.00888","1.36907222222222","1.66907222222222","3532"
"","LPE(18:1)+Na",0,0,0,0,0,"0.578043055555556","0.878043055555556","762","","LPE(18:1)+Na",0,0,0,0,0,"0.578043055555556","0.878043055555556","762","","LPE(18:1)+Na",0,0,0,0,0,"0.578043055555556","0.878043055555556","762","","LPE(18:1)+Na",0,0,0,0,0,"0.578043055555556","0.878043055555556","762","","LPE(18:1)+Na",0,0,0,0,0,"0.578043055555556","0.878043055555556","762","","LPE(18:1)+Na","502.289325","459.247125","361.2702307","176.99139","164.00888","0.578043055555556","0.878043055555556","762"
"","LPE(18:1)+Na",0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPE(18:1)+Na",0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPE(18:1)+Na",0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPE(18:1)+Na",0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPE(18:1)+Na",0,0,0,0,0,"0.91815555555556","1.21815555555556","15387","","LPE(18:1)+Na","502.289325","459.247125","361.2702307","176.99139","164.00888","0.91815555555556","1.21815555555556","15387"
"","LPE(18:2)+Na",0,0,0,0,0,"0.448397222222222","0.748397222222222","4137","","LPE(18:2)+Na",0,0,0,0,0,"0.448397222222222","0.748397222222222","4137","","LPE(18:2)+Na",0,0,0,0,0,"0.448397222222222","0.748397222222222","4137","","LPE(18:2)+Na",0,0,0,0,0,"0.448397222222222","0.748397222222222","4137","","LPE(18:2)+Na",0,0,0,0,0,"0.448397222222222","0.748397222222222","4137","","LPE(18:2)+Na","500.273675","457.231475","359.2545807","176.99139","164.00888","0.448397222222222","0.748397222222222","4137"
"","LPE(18:2)+Na",0,0,0,0,0,"0.628391666666667","0.928391666666667","14399","","LPE(18:2)+Na",0,0,0,0,0,"0.628391666666667","0.928391666666667","14399","","LPE(18:2)+Na",0,0,0,0,0,"0.628391666666667","0.928391666666667","14399","","LPE(18:2)+Na",0,0,0,0,0,"0.628391666666667","0.928391666666667","14399","","LPE(18:2)+Na",0,0,0,0,0,"0.628391666666667","0.928391666666667","14399","","LPE(18:2)+Na","500.273675","457.231475","359.2545807","176.99139","164.00888","0.628391666666667","0.928391666666667","14399"
"","LPE(18:4)+Na",0,0,0,0,0,"7.09040972222222","7.39040972222222","11581","","LPE(18:4)+Na",0,0,0,0,0,"7.09040972222222","7.39040972222222","11581","","LPE(18:4)+Na",0,0,0,0,0,"7.09040972222222","7.39040972222222","11581","","LPE(18:4)+Na",0,0,0,0,0,"7.09040972222222","7.39040972222222","11581","","LPE(18:4)+Na",0,0,0,0,0,"7.09040972222222","7.39040972222222","11581","","LPE(18:4)+Na","496.242375","453.200175","355.2232807","176.99139","164.00888","7.09040972222222","7.39040972222222","11581"
"","LPE(19:0)+Na",1,0,0,0,0,"0.738405555555556","1.03840555555556","295","","LPE(19:0)+Na",0.9355703,0,0,0,0,"0.738405555555556","1.03840555555556","295","","LPE(19:0)+Na",2,0,0,0,0,"0.738405555555556","1.03840555555556","295","","LPE(19:0)+Na",1234647,0,0,0,0,"0.738405555555556","1.03840555555556","295","","LPE(19:0)+Na",518.32235,0,0,0,0,"0.738405555555556","1.03840555555556","295","","LPE(19:0)+Na","518.320625","475.278425","377.3015307","176.99139","164.00888","0.738405555555556","1.03840555555556","295"
"","LPE(19:0)+Na",0,0,0,0,0,"0.448061111111111","0.748061111111111","394","","LPE(19:0)+Na",0,0,0,0,0,"0.448061111111111","0.748061111111111","394","","LPE(19:0)+Na",0,0,0,0,0,"0.448061111111111","0.748061111111111","394","","LPE(19:0)+Na",0,0,0,0,0,"0.448061111111111","0.748061111111111","394","","LPE(19:0)+Na",0,0,0,0,0,"0.448061111111111","0.748061111111111","394","","LPE(19:0)+Na","518.320625","475.278425","377.3015307","176.99139","164.00888","0.448061111111111","0.748061111111111","394"
