"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","MGDG(10:0_10:0)+NH4",0,0,0,0,0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(10:0_10:0)+NH4",0,0,0,0,0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(10:0_10:0)+NH4",0,0,0,0,0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(10:0_10:0)+NH4",0,0,0,0,0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(10:0_10:0)+NH4",0,0,0,0,0,0,0,"0.89715972222222","1.19715972222222","18398","","MGDG(10:0_10:0)+NH4","580.40552","401.32622","383.31565","229.17998","229.17998","155.1431","155.1431","0.89715972222222","1.19715972222222","18398"
"","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"0.518206944444445","0.818206944444445","1131","","MGDG(10:0_14:1)+NH4","634.45246","455.37316","437.36259","283.22692","229.18","155.1431","209.19002","0.518206944444445","0.818206944444445","1131"
"","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"15.1049333333333","15.4049333333333","8784","","MGDG(10:0_14:1)+NH4","634.45246","455.37316","437.36259","283.22692","229.18","155.1431","209.19002","15.1049333333333","15.4049333333333","8784"
"","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.5682375","12.8682375","16522","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.5682375","12.8682375","16522","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.5682375","12.8682375","16522","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.5682375","12.8682375","16522","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.5682375","12.8682375","16522","","MGDG(10:0_14:1)+NH4","634.45246","455.37316","437.36259","283.22692","229.18","155.1431","209.19002","12.5682375","12.8682375","16522"
"","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"14.6452319444444","14.9452319444444","17741","","MGDG(10:0_14:1)+NH4","634.45246","455.37316","437.36259","283.22692","229.18","155.1431","209.19002","14.6452319444444","14.9452319444444","17741"
"","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(10:0_14:1)+NH4",0,0,0,0,0,0,0,"12.3154069444444","12.6154069444444","19121","","MGDG(10:0_14:1)+NH4","634.45246","455.37316","437.36259","283.22692","229.18","155.1431","209.19002","12.3154069444444","12.6154069444444","19121"
"","MGDG(10:0_15:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(10:0_15:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(10:0_15:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(10:0_15:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(10:0_15:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(10:0_15:1)+NH4","648.46812","469.38882","451.37825","297.24258","229.18002","155.1431","223.20566","0.527179166666667","0.827179166666667","9501"
"","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(10:0_16:1)+NH4","662.48377","483.40447","465.3939","311.25823","229.18003","155.1431","237.2213","0.472570833333333","0.772570833333333","2714"
"","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(10:0_16:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(10:0_16:1)+NH4","662.48377","483.40447","465.3939","311.25823","229.18003","155.1431","237.2213","0.668754166666667","0.968754166666667","17261"
"","MGDG(10:0_17:2)+NH4",0,0,0,0,0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(10:0_17:2)+NH4",0,0,0,0,0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(10:0_17:2)+NH4",0,0,0,0,0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(10:0_17:2)+NH4",0,0,0,0,0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(10:0_17:2)+NH4",0,0,0,0,0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(10:0_17:2)+NH4","674.48377","495.40447","477.3939","323.25823","229.18003","155.1431","249.2213","1.41962638888889","1.71962638888889","15823"
