"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment"
"","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,0.4763662,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,1,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,436.4953,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,88.07577,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO","398.23845","338.21733","268.13913","59.01275","129.09095","158.15394","88.07574","0.2108","0.5108","11260"
"","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(2:0_17:0)+NH4-CO","538.3949","478.37378","268.13918","59.01275","269.24735","298.31039","88.07579","8.95386111111111","9.25386111111111","15380"
"","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(2:0_17:0)+NH4-CO","538.3949","478.37378","268.13918","59.01275","269.24735","298.31039","88.07579","11.7699569444444","12.0699569444444","15679"
"","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(2:0_17:0)+NH4-CO","538.3949","478.37378","268.13918","59.01275","269.24735","298.31039","88.07579","17.0342575757576","17.3342575757576","17373"
"","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(2:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(2:0_17:0)+NH4-CO","538.3949","478.37378","268.13918","59.01275","269.24735","298.31039","88.07579","10.0112106060606","10.3112106060606","17433"
"","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO","534.36367","474.34255","268.13923","59.01275","265.21607","294.27916","88.07584","0.309133333333333","0.609133333333333","3173"
"","MGDG(2:0_18:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(2:0_18:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(2:0_18:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(2:0_18:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(2:0_18:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(2:0_18:0)+NH4-CO","552.4106","492.38948","268.13924","59.01275","283.26299","312.32609","88.07585","2.07656944444444","2.37656944444444","13011"
"","MGDG(2:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",0.516453,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",1,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",776.1049,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",548.3806,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO","548.3793","488.35818","268.13922","59.01275","279.23171","308.29479","88.07583","0.343763888888889","0.643763888888889","648"
"","MGDG(2:0_20:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(2:0_20:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(2:0_20:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(2:0_20:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(2:0_20:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(2:0_20:0)+NH4-CO","580.4419","520.42078","268.13926","59.01275","311.29427","340.35739","88.07587","3.01885138888889","3.31885138888889","7209"
"","MGDG(2:0_20:1)+NH4-CO",0,0,0,0,0,0,0,"2.17234583333333","2.47234583333333","5693","","MGDG(2:0_20:1)+NH4-CO",0,0,0,0,0,0,0,"2.17234583333333","2.47234583333333","5693","","MGDG(2:0_20:1)+NH4-CO",0,0,0,0,0,0,0,"2.17234583333333","2.47234583333333","5693","","MGDG(2:0_20:1)+NH4-CO",0,0,0,0,0,0,0,"2.17234583333333","2.47234583333333","5693","","MGDG(2:0_20:1)+NH4-CO",0,0,0,0,0,0,0,"2.17234583333333","2.47234583333333","5693","","MGDG(2:0_20:1)+NH4-CO","578.4262","518.40508","268.1392","59.01275","309.27863","338.34169","88.07581","2.17234583333333","2.47234583333333","5693"
