"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","RT at Max Intensity","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Number of Scans","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Max Intensity","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Average m/z","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment"
"","MG(13:0)+NH4",1,0,0,0,0,"0.343763888888889","0.643763888888889","587","","MG(13:0)+NH4",0.5434019,0,0,0,0,"0.343763888888889","0.643763888888889","587","","MG(13:0)+NH4",1,0,0,0,0,"0.343763888888889","0.643763888888889","587","","MG(13:0)+NH4",11381.26,0,0,0,0,"0.343763888888889","0.643763888888889","587","","MG(13:0)+NH4",306.2641,0,0,0,0,"0.343763888888889","0.643763888888889","587","","MG(13:0)+NH4","306.2638795","289.2611395","271.2505795","215.22424","197.21368","0.343763888888889","0.643763888888889","587"
"","MG(13:0)+NH4",0,0,0,0,0,"0.655508333333333","0.955508333333333","4403","","MG(13:0)+NH4",0,0,0,0,0,"0.655508333333333","0.955508333333333","4403","","MG(13:0)+NH4",0,0,0,0,0,"0.655508333333333","0.955508333333333","4403","","MG(13:0)+NH4",0,0,0,0,0,"0.655508333333333","0.955508333333333","4403","","MG(13:0)+NH4",0,0,0,0,0,"0.655508333333333","0.955508333333333","4403","","MG(13:0)+NH4","306.2638795","289.2611395","271.2505795","215.22424","197.21368","0.655508333333333","0.955508333333333","4403"
"","MG(13:0)+NH4",0,0,0,0,0,"0.649490277777778","0.949490277777778","17289","","MG(13:0)+NH4",0,0,0,0,0,"0.649490277777778","0.949490277777778","17289","","MG(13:0)+NH4",0,0,0,0,0,"0.649490277777778","0.949490277777778","17289","","MG(13:0)+NH4",0,0,0,0,0,"0.649490277777778","0.949490277777778","17289","","MG(13:0)+NH4",0,0,0,0,0,"0.649490277777778","0.949490277777778","17289","","MG(13:0)+NH4","306.2638795","289.2611395","271.2505795","215.22424","197.21368","0.649490277777778","0.949490277777778","17289"
"","MG(15:0)+NH4",0,0,0,0,0,"2.69311805555556","2.99311805555556","4761","","MG(15:0)+NH4",0,0,0,0,0,"2.69311805555556","2.99311805555556","4761","","MG(15:0)+NH4",0,0,0,0,0,"2.69311805555556","2.99311805555556","4761","","MG(15:0)+NH4",0,0,0,0,0,"2.69311805555556","2.99311805555556","4761","","MG(15:0)+NH4",0,0,0,0,0,"2.69311805555556","2.99311805555556","4761","","MG(15:0)+NH4","334.2951796","317.2924396","299.2818796","243.25552","225.24496","2.69311805555556","2.99311805555556","4761"
"","MG(15:0)+NH4",0,0,0,0,0,"1.80337916666667","2.10337916666667","8036","","MG(15:0)+NH4",0,0,0,0,0,"1.80337916666667","2.10337916666667","8036","","MG(15:0)+NH4",0,0,0,0,0,"1.80337916666667","2.10337916666667","8036","","MG(15:0)+NH4",0,0,0,0,0,"1.80337916666667","2.10337916666667","8036","","MG(15:0)+NH4",0,0,0,0,0,"1.80337916666667","2.10337916666667","8036","","MG(15:0)+NH4","334.2951796","317.2924396","299.2818796","243.25552","225.24496","1.80337916666667","2.10337916666667","8036"
"","MG(15:1)+NH4",0,0,0,0,0,"0.341158333333333","0.641158333333333","935","","MG(15:1)+NH4",0,0,0,0,0,"0.341158333333333","0.641158333333333","935","","MG(15:1)+NH4",0,0,0,0,0,"0.341158333333333","0.641158333333333","935","","MG(15:1)+NH4",0,0,0,0,0,"0.341158333333333","0.641158333333333","935","","MG(15:1)+NH4",0,0,0,0,0,"0.341158333333333","0.641158333333333","935","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","0.341158333333333","0.641158333333333","935"
"","MG(15:1)+NH4",0,0,0,0,0,"1.40689027777778","1.70689027777778","3190","","MG(15:1)+NH4",0,0,0,0,0,"1.40689027777778","1.70689027777778","3190","","MG(15:1)+NH4",0,0,0,0,0,"1.40689027777778","1.70689027777778","3190","","MG(15:1)+NH4",0,0,0,0,0,"1.40689027777778","1.70689027777778","3190","","MG(15:1)+NH4",0,0,0,0,0,"1.40689027777778","1.70689027777778","3190","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","1.40689027777778","1.70689027777778","3190"
"","MG(15:1)+NH4",0,0,0,0,0,"0.718411904761905","1.0184119047619","4375","","MG(15:1)+NH4",0,0,0,0,0,"0.718411904761905","1.0184119047619","4375","","MG(15:1)+NH4",0,0,0,0,0,"0.718411904761905","1.0184119047619","4375","","MG(15:1)+NH4",0,0,0,0,0,"0.718411904761905","1.0184119047619","4375","","MG(15:1)+NH4",0,0,0,0,0,"0.718411904761905","1.0184119047619","4375","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","0.718411904761905","1.0184119047619","4375"
"","MG(15:1)+NH4",0,0,0,0,0,"2.32365972222222","2.62365972222222","5806","","MG(15:1)+NH4",0,0,0,0,0,"2.32365972222222","2.62365972222222","5806","","MG(15:1)+NH4",0,0,0,0,0,"2.32365972222222","2.62365972222222","5806","","MG(15:1)+NH4",0,0,0,0,0,"2.32365972222222","2.62365972222222","5806","","MG(15:1)+NH4",0,0,0,0,0,"2.32365972222222","2.62365972222222","5806","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","2.32365972222222","2.62365972222222","5806"
"","MG(15:1)+NH4",0,0,0,0,0,"13.7093208333333","14.0093208333333","5991","","MG(15:1)+NH4",0,0,0,0,0,"13.7093208333333","14.0093208333333","5991","","MG(15:1)+NH4",0,0,0,0,0,"13.7093208333333","14.0093208333333","5991","","MG(15:1)+NH4",0,0,0,0,0,"13.7093208333333","14.0093208333333","5991","","MG(15:1)+NH4",0,0,0,0,0,"13.7093208333333","14.0093208333333","5991","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","13.7093208333333","14.0093208333333","5991"
"","MG(15:1)+NH4",0,0,0,0,0,"13.2177375","13.5177375","6002","","MG(15:1)+NH4",0,0,0,0,0,"13.2177375","13.5177375","6002","","MG(15:1)+NH4",0,0,0,0,0,"13.2177375","13.5177375","6002","","MG(15:1)+NH4",0,0,0,0,0,"13.2177375","13.5177375","6002","","MG(15:1)+NH4",0,0,0,0,0,"13.2177375","13.5177375","6002","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","13.2177375","13.5177375","6002"
"","MG(15:1)+NH4",0,0,0,0,0,"2.66904722222222","2.96904722222222","6216","","MG(15:1)+NH4",0,0,0,0,0,"2.66904722222222","2.96904722222222","6216","","MG(15:1)+NH4",0,0,0,0,0,"2.66904722222222","2.96904722222222","6216","","MG(15:1)+NH4",0,0,0,0,0,"2.66904722222222","2.96904722222222","6216","","MG(15:1)+NH4",0,0,0,0,0,"2.66904722222222","2.96904722222222","6216","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","2.66904722222222","2.96904722222222","6216"
"","MG(15:1)+NH4",0,0,0,0,0,"14.6849875","14.9849875","7939","","MG(15:1)+NH4",0,0,0,0,0,"14.6849875","14.9849875","7939","","MG(15:1)+NH4",0,0,0,0,0,"14.6849875","14.9849875","7939","","MG(15:1)+NH4",0,0,0,0,0,"14.6849875","14.9849875","7939","","MG(15:1)+NH4",0,0,0,0,0,"14.6849875","14.9849875","7939","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","14.6849875","14.9849875","7939"
"","MG(15:1)+NH4",0,0,0,0,0,"4.09103055555556","4.39103055555556","8079","","MG(15:1)+NH4",0,0,0,0,0,"4.09103055555556","4.39103055555556","8079","","MG(15:1)+NH4",0,0,0,0,0,"4.09103055555556","4.39103055555556","8079","","MG(15:1)+NH4",0,0,0,0,0,"4.09103055555556","4.39103055555556","8079","","MG(15:1)+NH4",0,0,0,0,0,"4.09103055555556","4.39103055555556","8079","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","4.09103055555556","4.39103055555556","8079"
"","MG(15:1)+NH4",0,0,0,0,0,"4.74332222222222","5.04332222222222","8082","","MG(15:1)+NH4",0,0,0,0,0,"4.74332222222222","5.04332222222222","8082","","MG(15:1)+NH4",0,0,0,0,0,"4.74332222222222","5.04332222222222","8082","","MG(15:1)+NH4",0,0,0,0,0,"4.74332222222222","5.04332222222222","8082","","MG(15:1)+NH4",0,0,0,0,0,"4.74332222222222","5.04332222222222","8082","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","4.74332222222222","5.04332222222222","8082"
"","MG(15:1)+NH4",0,0,0,0,0,"5.35802916666667","5.65802916666667","8151","","MG(15:1)+NH4",0,0,0,0,0,"5.35802916666667","5.65802916666667","8151","","MG(15:1)+NH4",0,0,0,0,0,"5.35802916666667","5.65802916666667","8151","","MG(15:1)+NH4",0,0,0,0,0,"5.35802916666667","5.65802916666667","8151","","MG(15:1)+NH4",0,0,0,0,0,"5.35802916666667","5.65802916666667","8151","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","5.35802916666667","5.65802916666667","8151"
"","MG(15:1)+NH4",0,0,0,0,0,"5.64890277777778","5.94890277777778","8360","","MG(15:1)+NH4",0,0,0,0,0,"5.64890277777778","5.94890277777778","8360","","MG(15:1)+NH4",0,0,0,0,0,"5.64890277777778","5.94890277777778","8360","","MG(15:1)+NH4",0,0,0,0,0,"5.64890277777778","5.94890277777778","8360","","MG(15:1)+NH4",0,0,0,0,0,"5.64890277777778","5.94890277777778","8360","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","5.64890277777778","5.94890277777778","8360"
"","MG(15:1)+NH4",0,0,0,0,0,"8.26816388888889","8.56816388888889","8486","","MG(15:1)+NH4",0,0,0,0,0,"8.26816388888889","8.56816388888889","8486","","MG(15:1)+NH4",0,0,0,0,0,"8.26816388888889","8.56816388888889","8486","","MG(15:1)+NH4",0,0,0,0,0,"8.26816388888889","8.56816388888889","8486","","MG(15:1)+NH4",0,0,0,0,0,"8.26816388888889","8.56816388888889","8486","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","8.26816388888889","8.56816388888889","8486"
"","MG(15:1)+NH4",0,0,0,0,0,"6.03562727272727","6.33562727272727","8787","","MG(15:1)+NH4",0,0,0,0,0,"6.03562727272727","6.33562727272727","8787","","MG(15:1)+NH4",0,0,0,0,0,"6.03562727272727","6.33562727272727","8787","","MG(15:1)+NH4",0,0,0,0,0,"6.03562727272727","6.33562727272727","8787","","MG(15:1)+NH4",0,0,0,0,0,"6.03562727272727","6.33562727272727","8787","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","6.03562727272727","6.33562727272727","8787"
