"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment"
"","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.76906388888889","6.06906388888889","9759","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.76906388888889","6.06906388888889","9759","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.76906388888889","6.06906388888889","9759","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.76906388888889","6.06906388888889","9759","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.76906388888889","6.06906388888889","9759","","OxLPC(14:1(CHO))+H","480.27214","297.20614","258.11015","184.07332","124.9994","104.1069","86.0963","5.76906388888889","6.06906388888889","9759"
"","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.77136666666667","6.07136666666667","15358","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.77136666666667","6.07136666666667","15358","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.77136666666667","6.07136666666667","15358","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.77136666666667","6.07136666666667","15358","","OxLPC(14:1(CHO))+H",0,0,0,0,0,0,0,"5.77136666666667","6.07136666666667","15358","","OxLPC(14:1(CHO))+H","480.27214","297.20614","258.11015","184.07332","124.9994","104.1069","86.0963","5.77136666666667","6.07136666666667","15358"
"","OxLPC(16:2(CHO))+H",0,0,0,0,0,0,0,"0.636469444444445","0.936469444444445","4213","","OxLPC(16:2(CHO))+H",0,0,0,0,0,0,0,"0.636469444444445","0.936469444444445","4213","","OxLPC(16:2(CHO))+H",0,0,0,0,0,0,0,"0.636469444444445","0.936469444444445","4213","","OxLPC(16:2(CHO))+H",0,0,0,0,0,0,0,"0.636469444444445","0.936469444444445","4213","","OxLPC(16:2(CHO))+H",0,0,0,0,0,0,0,"0.636469444444445","0.936469444444445","4213","","OxLPC(16:2(CHO))+H","506.28779","323.22179","258.11015","184.07332","124.9994","104.1069","86.0963","0.636469444444445","0.936469444444445","4213"
"","OxLPC(18:4(CHO))+H",0,0,0,0,0,1,1,"0.5959875","0.8959875","2211","","OxLPC(18:4(CHO))+H",0,0,0,0,0,0.8428669,0.8428669,"0.5959875","0.8959875","2211","","OxLPC(18:4(CHO))+H",0,0,0,0,0,1,1,"0.5959875","0.8959875","2211","","OxLPC(18:4(CHO))+H",0,0,0,0,0,36954.89,3931.051,"0.5959875","0.8959875","2211","","OxLPC(18:4(CHO))+H",0,0,0,0,0,104.1071,86.09652,"0.5959875","0.8959875","2211","","OxLPC(18:4(CHO))+H","530.28779","347.22179","258.11015","184.07332","124.9994","104.1069","86.0963","0.5959875","0.8959875","2211"
"","OxLPC(19:4(CHO))+H",0,0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(19:4(CHO))+H",0,0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(19:4(CHO))+H",0,0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(19:4(CHO))+H",0,0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(19:4(CHO))+H",0,0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(19:4(CHO))+H","544.30344","361.23744","258.11015","184.07332","124.9994","104.1069","86.0963","1.89569166666667","2.19569166666667","6040"
"","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPC(19:5(CHO))+H","542.28779","359.22179","258.11015","184.07332","124.9994","104.1069","86.0963","6.43124861111111","6.73124861111111","4247"
"","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPC(19:5(CHO))+H",0,0,0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPC(19:5(CHO))+H","542.28779","359.22179","258.11015","184.07332","124.9994","104.1069","86.0963","7.49432361111111","7.79432361111111","15166"
"","OxLPC(15:0(COOH))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:0(COOH))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:0(COOH))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:0(COOH))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:0(COOH))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:0(COOH))+H","512.29835","329.23235","258.11015","184.07332","124.9994","104.1069","86.0963","0.761893055555555","1.06189305555556","3800"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.7517902777778","15.0517902777778","5116","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.7517902777778","15.0517902777778","5116","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.7517902777778","15.0517902777778","5116","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.7517902777778","15.0517902777778","5116","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.7517902777778","15.0517902777778","5116","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","14.7517902777778","15.0517902777778","5116"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.4503097222222","12.7503097222222","6727","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.4503097222222","12.7503097222222","6727","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.4503097222222","12.7503097222222","6727","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.4503097222222","12.7503097222222","6727","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.4503097222222","12.7503097222222","6727","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","12.4503097222222","12.7503097222222","6727"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","14.983096969697","15.283096969697","9758"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","12.5517638888889","12.8517638888889","15560"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","15.1504513888889","15.4504513888889","16040"
