"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","OxLPC(15:0(CHO))+Na",0,0,0,1,0,1,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,0.8117199,0,0.6175924,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,2,0,2,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,27597.05,0,1579002,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,313.2377,0,184.0736,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na","518.28481","335.21881","459.21131","313.23681","76.866585","184.07332","0.572014814814815","0.872014814814815","6673"
"","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:0(CHO))+Na","518.28481","335.21881","459.21131","313.23681","76.866585","184.07332","6.59762638888889","6.89762638888889","10360"
"","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:0(CHO))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:0(CHO))+Na","518.28481","335.21881","459.21131","313.23681","76.866585","184.07332","7.69778472222222","7.99778472222222","11771"
"","OxLPC(16:1(CHO))+Na",0,0,0,1,0,0,"0.5959875","0.8959875","2211","","OxLPC(16:1(CHO))+Na",0,0,0,0.8428669,0,0,"0.5959875","0.8959875","2211","","OxLPC(16:1(CHO))+Na",0,0,0,1,0,0,"0.5959875","0.8959875","2211","","OxLPC(16:1(CHO))+Na",0,0,0,10304.27,0,0,"0.5959875","0.8959875","2211","","OxLPC(16:1(CHO))+Na",0,0,0,325.2376,0,0,"0.5959875","0.8959875","2211","","OxLPC(16:1(CHO))+Na","530.28482","347.21882","471.21132","325.23682","76.866585","184.07332","0.5959875","0.8959875","2211"
"","OxLPC(19:4(CHO))+Na",0,0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPC(19:4(CHO))+Na",0,0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPC(19:4(CHO))+Na",0,0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPC(19:4(CHO))+Na",0,0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPC(19:4(CHO))+Na",0,0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPC(19:4(CHO))+Na","566.28482","383.21882","507.21132","361.23682","76.866585","184.07332","6.04504583333333","6.34504583333333","7263"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"8.25182222222222","8.55182222222222","6514","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"8.25182222222222","8.55182222222222","6514","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"8.25182222222222","8.55182222222222","6514","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"8.25182222222222","8.55182222222222","6514","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"8.25182222222222","8.55182222222222","6514","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","8.25182222222222","8.55182222222222","6514"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","10.1003055555556","10.4003055555556","7289"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","7.79902083333333","8.09902083333333","7431"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","1.38499444444444","1.68499444444444","8073"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","7.76684305555556","8.06684305555556","10504"
