"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","OxLPE(18:1(OH))+Na",0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","OxLPE(18:1(OH))+Na","518.28429","475.24209","377.2651957","176.99139","164.00888","0.572014814814815","0.872014814814815","6673"
"","OxLPE(18:1(OH))+Na",0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPE(18:1(OH))+Na","518.28429","475.24209","377.2651957","176.99139","164.00888","6.59762638888889","6.89762638888889","10360"
"","OxLPE(18:1(OH))+Na",0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPE(18:1(OH))+Na",0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPE(18:1(OH))+Na","518.28429","475.24209","377.2651957","176.99139","164.00888","7.69778472222222","7.99778472222222","11771"
"","OxLPE(20:2(OH))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:2(OH))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:2(OH))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:2(OH))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:2(OH))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:2(OH))+Na","544.29989","501.25769","403.2807957","176.99139","164.00888","1.89569166666667","2.19569166666667","6040"
"","OxLPE(20:3(OH))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:3(OH))+Na","542.28429","499.24209","401.2651957","176.99139","164.00888","6.43124861111111","6.73124861111111","4247"
"","OxLPE(20:3(OH))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:3(OH))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:3(OH))+Na","542.28429","499.24209","401.2651957","176.99139","164.00888","7.49432361111111","7.79432361111111","15166"
"","OxLPE(22:1(OH))+Na",0,0,0,0,0,"0.6869375","0.9869375","2686","","OxLPE(22:1(OH))+Na",0,0,0,0,0,"0.6869375","0.9869375","2686","","OxLPE(22:1(OH))+Na",0,0,0,0,0,"0.6869375","0.9869375","2686","","OxLPE(22:1(OH))+Na",0,0,0,0,0,"0.6869375","0.9869375","2686","","OxLPE(22:1(OH))+Na",0,0,0,0,0,"0.6869375","0.9869375","2686","","OxLPE(22:1(OH))+Na","574.34689","531.30469","433.3277957","176.99139","164.00888","0.6869375","0.9869375","2686"
"","OxLPE(22:2(OH))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:2(OH))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:2(OH))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:2(OH))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:2(OH))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:2(OH))+Na","572.33119","529.28899","431.3120957","176.99139","164.00888","0.547627777777778","0.847627777777778","622"
"","OxLPE(22:3(OH))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:3(OH))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:3(OH))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:3(OH))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:3(OH))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:3(OH))+Na","570.31559","527.27339","429.2964957","176.99139","164.00888","0.405259090909091","0.705259090909091","11793"
"","OxLPE(22:5(OH))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:5(OH))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:5(OH))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:5(OH))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:5(OH))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:5(OH))+Na","566.28429","523.24209","425.2651957","176.99139","164.00888","6.04504583333333","6.34504583333333","7263"
