"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(8:0_12:0(CHO))+Na","560.2959178","517.2537178","419.2768235","373.1388178","303.0969578","164.00888","7.49951805555555","7.79951805555555","1330"
"","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(8:0_12:0(CHO))+Na","560.2959178","517.2537178","419.2768235","373.1388178","303.0969578","164.00888","6.41087777777778","6.71087777777778","2398"
"","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(8:0_12:0(CHO))+Na","560.2959178","517.2537178","419.2768235","373.1388178","303.0969578","164.00888","8.55429444444444","8.85429444444444","6910"
"","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(8:0_12:0(CHO))+Na","560.2959178","517.2537178","419.2768235","373.1388178","303.0969578","164.00888","7.66776944444444","7.96776944444444","14866"
"","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(8:0_12:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(8:0_12:0(CHO))+Na","560.2959178","517.2537178","419.2768235","373.1388178","303.0969578","164.00888","6.39903055555556","6.69903055555556","17177"
"","OxPE(8:0_12:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(8:0_12:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(8:0_12:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(8:0_12:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(8:0_12:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(8:0_12:1(CHO))+Na","558.2802778","515.2380778","417.2611835","371.1231778","303.0969578","164.00888","5.61840833333333","5.91840833333333","8166"
"","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(8:0_14:1(CHO))+Na","586.3115778","543.2693778","445.2924835","399.1544778","303.0969578","164.00888","1.82909166666667","2.12909166666667","7873"
"","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(8:0_14:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(8:0_14:1(CHO))+Na","586.3115778","543.2693778","445.2924835","399.1544778","303.0969578","164.00888","6.81816944444444","7.11816944444444","10654"
"","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(8:0_14:2(CHO))+Na","584.2959278","541.2537278","443.2768335","397.1388278","303.0969578","164.00888","7.18054444444445","7.48054444444445","3574"
"","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(8:0_14:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(8:0_14:2(CHO))+Na","584.2959278","541.2537278","443.2768335","397.1388278","303.0969578","164.00888","6.06621666666667","6.36621666666667","3840"
