"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Average m/z","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment"
"","PA(8:0_12:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(8:0_12:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(8:0_12:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(8:0_12:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(8:0_12:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(8:0_12:0)+H","481.2925","383.31559","257.21114","201.14854","127.11175","183.17435","7.80914444444445","8.10914444444445","17032"
"","PA(8:0_18:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(8:0_18:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(8:0_18:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(8:0_18:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(8:0_18:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(8:0_18:0)+H","565.3864","467.40949","341.30504","201.14854","127.11175","267.26825","1.82040416666667","2.12040416666667","18712"
"","PA(8:0_21:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(8:0_21:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(8:0_21:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(8:0_21:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(8:0_21:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(8:0_21:0)+H","607.4334","509.45649","383.35204","201.14854","127.11175","309.31525","2.39325","2.69325","8335"
"","PA(8:0_22:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(8:0_22:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(8:0_22:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(8:0_22:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(8:0_22:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(8:0_22:3)+H","615.4021","517.42519","391.32074","201.14854","127.11175","317.28395","4.90855909090909","5.20855909090909","6945"
"","PA(8:0_22:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(8:0_22:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(8:0_22:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(8:0_22:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(8:0_22:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(8:0_22:5)+H","611.3708","513.39389","387.28944","201.14854","127.11175","313.25265","0.356601388888889","0.656601388888889","2764"
"","PA(8:0_22:6)+H",0,0,0,0,0,0,"0.442522727272727","0.742522727272727","15658","","PA(8:0_22:6)+H",0,0,0,0,0,0,"0.442522727272727","0.742522727272727","15658","","PA(8:0_22:6)+H",0,0,0,0,0,0,"0.442522727272727","0.742522727272727","15658","","PA(8:0_22:6)+H",0,0,0,0,0,0,"0.442522727272727","0.742522727272727","15658","","PA(8:0_22:6)+H",0,0,0,0,0,0,"0.442522727272727","0.742522727272727","15658","","PA(8:0_22:6)+H","609.3551","511.37819","385.27374","201.14854","127.11175","311.23695","0.442522727272727","0.742522727272727","15658"
"","PA(8:0_26:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(8:0_26:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(8:0_26:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(8:0_26:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(8:0_26:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(8:0_26:0)+H","677.5116","579.53469","453.43024","201.14854","127.11175","379.39345","10.1530888888889","10.4530888888889","6085"
"","PA(8:0_26:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(8:0_26:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(8:0_26:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(8:0_26:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(8:0_26:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(8:0_26:0)+H","677.5116","579.53469","453.43024","201.14854","127.11175","379.39345","2.40720151515152","2.70720151515152","11217"
"","PA(10:0_10:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(10:0_10:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(10:0_10:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(10:0_10:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(10:0_10:0)+H",0,0,0,0,0,0,"7.80914444444445","8.10914444444445","17032","","PA(10:0_10:0)+H","481.2925","383.31559","229.17984","229.17984","155.14305","155.14305","7.80914444444445","8.10914444444445","17032"
"","PA(10:0_16:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(10:0_16:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(10:0_16:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(10:0_16:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(10:0_16:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(10:0_16:0)+H","565.3864","467.40949","313.27374","229.17984","155.14305","239.23695","1.82040416666667","2.12040416666667","18712"
