"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment"
"","PE(8:0_14:1)+H",0,0,0,0,0,0,0,"0.8628875","1.1628875","2125","","PE(8:0_14:1)+H",0,0,0,0,0,0,0,"0.8628875","1.1628875","2125","","PE(8:0_14:1)+H",0,0,0,0,0,0,0,"0.8628875","1.1628875","2125","","PE(8:0_14:1)+H",0,0,0,0,0,0,0,"0.8628875","1.1628875","2125","","PE(8:0_14:1)+H",0,0,0,0,0,0,0,"0.8628875","1.1628875","2125","","PE(8:0_14:1)+H","550.35038","409.33127","283.22682","201.14852","127.11175","209.19005","142.02639","0.8628875","1.1628875","2125"
"","PE(8:0_17:2)+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","PE(8:0_17:2)+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","PE(8:0_17:2)+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","PE(8:0_17:2)+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","PE(8:0_17:2)+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","PE(8:0_17:2)+H","590.38168","449.36257","323.25812","201.14852","127.11175","249.22135","142.02639","0.93341944444444","1.23341944444444","14595"
"","PE(8:0_18:4)+H",0,0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_18:4)+H",0,0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_18:4)+H",0,0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_18:4)+H",0,0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_18:4)+H",0,0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_18:4)+H","600.36598","459.34687","333.24242","201.14852","127.11175","259.20565","142.02639","0.832229166666666","1.13222916666667","4388"
"","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(8:0_20:0)+H","636.45988","495.44077","369.33632","201.14852","127.11175","295.29955","142.02639","4.97676527777778","5.27676527777778","3409"
"","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(8:0_20:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(8:0_20:0)+H","636.45988","495.44077","369.33632","201.14852","127.11175","295.29955","142.02639","1.39863194444444","1.69863194444444","14975"
"","PE(8:0_21:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(8:0_21:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(8:0_21:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(8:0_21:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(8:0_21:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(8:0_21:0)+H","650.47558","509.45647","383.35202","201.14852","127.11175","309.31525","142.02639","3.33079861111111","3.63079861111111","5401"
"","PE(8:0_22:0)+H",1,1,0,0,0,0,1,"6.30153194444444","6.60153194444444","97","","PE(8:0_22:0)+H",6.479667,6.479667,0,0,0,0,6.479667,"6.30153194444444","6.60153194444444","97","","PE(8:0_22:0)+H",2,2,0,0,0,0,1,"6.30153194444444","6.60153194444444","97","","PE(8:0_22:0)+H",69924.22,16353570,0,0,0,0,8939.61,"6.30153194444444","6.60153194444444","97","","PE(8:0_22:0)+H",664.49195,523.4727,0,0,0,0,142.0265,"6.30153194444444","6.60153194444444","97","","PE(8:0_22:0)+H","664.49118","523.47207","397.36762","201.14852","127.11175","323.33085","142.02639","6.30153194444444","6.60153194444444","97"
"","PE(8:0_22:0)+H",1,1,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(8:0_22:0)+H",6.597385,6.597385,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(8:0_22:0)+H",1,1,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(8:0_22:0)+H",6324.5,1614014,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(8:0_22:0)+H",664.4921,523.473,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(8:0_22:0)+H","664.49118","523.47207","397.36762","201.14852","127.11175","323.33085","142.02639","6.48472083333333","6.78472083333333","15124"
"","PE(8:0_23:0)+H",1,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(8:0_23:0)+H",4.868633,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(8:0_23:0)+H",1,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(8:0_23:0)+H",122538.7,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(8:0_23:0)+H",678.509,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(8:0_23:0)+H","678.50688","537.48777","411.38332","201.14852","127.11175","337.34655","142.02639","4.68950454545455","4.98950454545455","1155"
"","PE(8:0_23:0)+H",1,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(8:0_23:0)+H",4.868633,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(8:0_23:0)+H",1,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(8:0_23:0)+H",122538.7,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(8:0_23:0)+H",678.509,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(8:0_23:0)+H","678.50688","537.48777","411.38332","201.14852","127.11175","337.34655","142.02639","4.69344722222222","4.99344722222222","12687"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","5.37767361111111","5.67767361111111","2266"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","5.64302916666667","5.94302916666667","3402"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","5.12018472222222","5.42018472222222","4596"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","12.1199472222222","12.4199472222222","7285"
"","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H","690.50688","549.48777","423.38332","201.14852","127.11175","349.34655","142.02639","12.0874060606061","12.3874060606061","9023"
