"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","PE(8:0_10:0)+Na",0,0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"0.572014814814815","0.872014814814815","6673","","PE(8:0_10:0)+Na","518.2853178","475.2431178","377.2662235","331.1282378","303.0969378","164.00888","0.572014814814815","0.872014814814815","6673"
"","PE(8:0_10:0)+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","PE(8:0_10:0)+Na","518.2853178","475.2431178","377.2662235","331.1282378","303.0969378","164.00888","6.59762638888889","6.89762638888889","10360"
"","PE(8:0_10:0)+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","PE(8:0_10:0)+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","PE(8:0_10:0)+Na","518.2853178","475.2431178","377.2662235","331.1282378","303.0969378","164.00888","7.69778472222222","7.99778472222222","11771"
"","PE(8:0_14:0)+Na",0,0,0,0,0,0,"0.6869375","0.9869375","2686","","PE(8:0_14:0)+Na",0,0,0,0,0,0,"0.6869375","0.9869375","2686","","PE(8:0_14:0)+Na",0,0,0,0,0,0,"0.6869375","0.9869375","2686","","PE(8:0_14:0)+Na",0,0,0,0,0,0,"0.6869375","0.9869375","2686","","PE(8:0_14:0)+Na",0,0,0,0,0,0,"0.6869375","0.9869375","2686","","PE(8:0_14:0)+Na","574.3479178","531.3057178","433.3288235","387.1908378","303.0969378","164.00888","0.6869375","0.9869375","2686"
"","PE(8:0_14:1)+Na",0,0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","PE(8:0_14:1)+Na",0,0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","PE(8:0_14:1)+Na",0,0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","PE(8:0_14:1)+Na",0,0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","PE(8:0_14:1)+Na",0,0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","PE(8:0_14:1)+Na","572.3323178","529.2901178","431.3132235","385.1752378","303.0969378","164.00888","0.547627777777778","0.847627777777778","622"
"","PE(8:0_16:1)+Na",0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_16:1)+Na",0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_16:1)+Na",0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_16:1)+Na",0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_16:1)+Na",0,0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","PE(8:0_16:1)+Na","600.3636178","557.3214178","459.3445235","413.2065378","303.0969378","164.00888","0.832229166666666","1.13222916666667","4388"
"","PE(8:0_17:1)+Na",0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PE(8:0_17:1)+Na",0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PE(8:0_17:1)+Na",0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PE(8:0_17:1)+Na",0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PE(8:0_17:1)+Na",0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PE(8:0_17:1)+Na","614.3792178","571.3370178","473.3601235","427.2221378","303.0969378","164.00888","5.63460833333333","5.93460833333333","10115"
"","PE(8:0_22:0)+Na",0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(8:0_22:0)+Na",0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(8:0_22:0)+Na",0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(8:0_22:0)+Na",0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(8:0_22:0)+Na",0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(8:0_22:0)+Na","686.4731178","643.4309178","545.4540235","499.3160378","303.0969378","164.00888","6.29392361111111","6.59392361111111","12753"
"","PE(8:0_23:0)+Na",0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(8:0_23:0)+Na",0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(8:0_23:0)+Na",0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(8:0_23:0)+Na",0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(8:0_23:0)+Na",0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(8:0_23:0)+Na","700.4888178","657.4466178","559.4697235","513.3317378","303.0969378","164.00888","4.70208611111111","5.00208611111111","6138"
"","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(8:0_24:0)+Na","714.5044178","671.4622178","573.4853235","527.3473378","303.0969378","164.00888","5.54374861111111","5.84374861111111","6823"
