"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment"
"","PG(8:0_14:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(8:0_14:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(8:0_14:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(8:0_14:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(8:0_14:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(8:0_14:0)+NH4","600.38716","411.346927","439.245586","355.151686","127.11175","211.20565","201.14853","285.24243","2.62962916666667","2.92962916666667","12217"
"","PG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(8:0_15:0)+NH4","614.40286","425.362627","453.261286","355.151686","127.11175","225.22135","201.14853","299.25813","2.96007083333333","3.26007083333333","8820"
"","PG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(8:0_17:0)+NH4","642.43416","453.393927","481.292586","355.151686","127.11175","253.25265","201.14853","327.28943","3.20013888888889","3.50013888888889","2688"
"","PG(8:0_18:0)+NH4",0,0,0,0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(8:0_18:0)+NH4",0,0,0,0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(8:0_18:0)+NH4",0,0,0,0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(8:0_18:0)+NH4",0,0,0,0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(8:0_18:0)+NH4",0,0,0,0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(8:0_18:0)+NH4","656.44976","467.409527","495.308186","355.151686","127.11175","267.26825","201.14853","341.30503","2.88142222222222","3.18142222222222","5201"
"","PG(8:0_18:2)+NH4",0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PG(8:0_18:2)+NH4",0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PG(8:0_18:2)+NH4",0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PG(8:0_18:2)+NH4",0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PG(8:0_18:2)+NH4",0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PG(8:0_18:2)+NH4","652.41846","463.378227","491.276886","355.151686","127.11175","263.23695","201.14853","337.27373","2.6957875","2.9957875","8069"
"","PG(8:0_18:3)+NH4",0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(8:0_18:3)+NH4",0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(8:0_18:3)+NH4",0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(8:0_18:3)+NH4",0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(8:0_18:3)+NH4",0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(8:0_18:3)+NH4","650.40286","461.362627","489.261286","355.151686","127.11175","261.22135","201.14853","335.25813","0.92806527777778","1.22806527777778","5931"
"","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"4.47284861111111","4.77284861111111","3183","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"4.47284861111111","4.77284861111111","3183","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"4.47284861111111","4.77284861111111","3183","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"4.47284861111111","4.77284861111111","3183","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"4.47284861111111","4.77284861111111","3183","","PG(8:0_19:0)+NH4","670.46546","481.425227","509.323886","355.151686","127.11175","281.28395","201.14853","355.32073","4.47284861111111","4.77284861111111","3183"
"","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4738","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4738","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4738","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4738","","PG(8:0_19:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4738","","PG(8:0_19:0)+NH4","670.46546","481.425227","509.323886","355.151686","127.11175","281.28395","201.14853","355.32073","3.20013888888889","3.50013888888889","4738"
"","PG(8:0_20:0)+NH4",0,1,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","171","","PG(8:0_20:0)+NH4",0,4.258391,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","171","","PG(8:0_20:0)+NH4",0,2,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","171","","PG(8:0_20:0)+NH4",0,8996515,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","171","","PG(8:0_20:0)+NH4",0,495.4412,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","171","","PG(8:0_20:0)+NH4","684.48106","495.440827","523.339486","355.151686","127.11175","295.29955","201.14853","369.33633","4.09877222222222","4.39877222222222","171"
"","PG(8:0_20:0)+NH4",0,0,0,0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(8:0_20:0)+NH4",0,0,0,0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(8:0_20:0)+NH4",0,0,0,0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(8:0_20:0)+NH4",0,0,0,0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(8:0_20:0)+NH4",0,0,0,0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(8:0_20:0)+NH4","684.48106","495.440827","523.339486","355.151686","127.11175","295.29955","201.14853","369.33633","4.91529722222222","5.21529722222222","2547"
