"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_20:0)+Na","702.4316249","615.3995949","604.4547249","419.4458049","495.4407549","471.2845649","303.0967649","207.99872","3.85204848484848","4.15204848484848","2390"
"","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_20:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_20:0)+Na","702.4316249","615.3995949","604.4547249","419.4458049","495.4407549","471.2845649","303.0967649","207.99872","3.85645138888889","4.15645138888889","12785"
"","PS(8:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(8:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(8:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(8:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(8:0_21:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(8:0_21:0)+Na","716.4473249","629.4152949","618.4704249","433.4615049","509.45645","485.3002649","303.0967649","207.99872","4.99630606060606","5.29630606060606","13568"
"","PS(8:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(8:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(8:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(8:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(8:0_22:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(8:0_22:0)+Na","730.4629249","643.4308949","632.4860249","447.4771049","523.47205","499.3158649","303.0967649","207.99872","1.47424166666667","1.77424166666667","7817"
"","PS(8:0_22:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(8:0_22:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(8:0_22:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(8:0_22:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(8:0_22:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(8:0_22:3)+Na","724.4160249","637.3839949","626.4391249","441.4302049","517.4251549","493.2689649","303.0967649","207.99872","3.85230416666667","4.15230416666667","4482"
"","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_18:0)+Na","702.4316249","615.3995949","604.4547249","419.4458049","495.4407549","443.2532649","331.1280649","207.99872","3.85204848484848","4.15204848484848","2390"
"","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_18:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_18:0)+Na","702.4316249","615.3995949","604.4547249","419.4458049","495.4407549","443.2532649","331.1280649","207.99872","3.85645138888889","4.15645138888889","12785"
"","PS(10:0_19:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(10:0_19:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(10:0_19:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(10:0_19:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(10:0_19:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(10:0_19:0)+Na","716.4473249","629.4152949","618.4704249","433.4615049","509.4564549","457.2689649","331.1280649","207.99872","4.99630606060606","5.29630606060606","13568"
"","PS(10:0_20:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_20:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_20:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_20:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_20:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_20:0)+Na","730.4629249","643.4308949","632.4860249","447.4771049","523.4720549","471.2845649","331.1280649","207.99872","1.47424166666667","1.77424166666667","7817"
"","PS(10:0_20:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(10:0_20:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(10:0_20:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(10:0_20:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(10:0_20:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(10:0_20:3)+Na","724.4160249","637.3839949","626.4391249","441.4302049","517.4251549","465.2376649","331.1280649","207.99872","3.85230416666667","4.15230416666667","4482"
