"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(O-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(O-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(O-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(O-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PC(O-16:0/10:0)+H","636.4962576","453.4302176","396.2510926","337.1775926","482.3605776","464.3500176","412.24589","229.17983","155.1436","184.07332","5.48004027777778","5.78004027777778","3177"
"","Plasmanyl-PC(O-16:0/12:0)+H",0,0,0,0,0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(O-16:0/12:0)+H",0,0,0,0,0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(O-16:0/12:0)+H",0,0,0,0,0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(O-16:0/12:0)+H",0,0,0,0,0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(O-16:0/12:0)+H",0,0,0,0,0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PC(O-16:0/12:0)+H","664.5275576","481.4615176","424.2823926","365.2088926","482.3605776","464.3500176","440.27719","257.21113","183.1749","184.07332","5.43967777777778","5.73967777777778","4536"
"","Plasmanyl-PC(O-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(O-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(O-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(O-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(O-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PC(O-16:0/14:0)+H","692.5588576","509.4928176","452.3136926","393.2401926","482.3605776","464.3500176","468.30849","285.24243","211.2062","184.07332","6.71965138888889","7.01965138888889","1066"
"","Plasmanyl-PC(O-16:0/14:1)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(O-16:0/14:1)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(O-16:0/14:1)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(O-16:0/14:1)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(O-16:0/14:1)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PC(O-16:0/14:1)+H","690.5432576","507.4772176","450.2980926","391.2245926","482.3605776","464.3500176","466.29289","283.22683","209.1906","184.07332","6.54070833333333","6.84070833333333","1283"
"","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PC(O-16:0/15:0)+H","706.5745576","523.5085176","466.3293926","407.2558926","482.3605776","464.3500176","482.32419","299.25813","225.2219","184.07332","7.33104861111111","7.63104861111111","2469"
"","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PC(O-16:0/15:0)+H","706.5745576","523.5085176","466.3293926","407.2558926","482.3605776","464.3500176","482.32419","299.25813","225.2219","184.07332","9.31048194444444","9.61048194444444","13574"
"","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(O-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(O-16:0/15:0)+H","706.5745576","523.5085176","466.3293926","407.2558926","482.3605776","464.3500176","482.32419","299.25813","225.2219","184.07332","7.13543472222222","7.43543472222222","15338"
"","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(O-16:0/15:1)+H","704.5588576","521.4928176","464.3136926","405.2401926","482.3605776","464.3500176","480.30849","297.24243","223.2062","184.07332","8.29211805555556","8.59211805555556","2770"
"","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(O-16:0/15:1)+H","704.5588576","521.4928176","464.3136926","405.2401926","482.3605776","464.3500176","480.30849","297.24243","223.2062","184.07332","7.151225","7.451225","11381"
"","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(O-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(O-16:0/15:1)+H","704.5588576","521.4928176","464.3136926","405.2401926","482.3605776","464.3500176","480.30849","297.24243","223.2062","184.07332","9.22618571428571","9.52618571428571","14373"
