"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment"
"","Plasmanyl-PE(O-16:0/10:0)+H",0,0,0,0,0,0,"3.366125","3.666125","7810","","Plasmanyl-PE(O-16:0/10:0)+H",0,0,0,0,0,0,"3.366125","3.666125","7810","","Plasmanyl-PE(O-16:0/10:0)+H",0,0,0,0,0,0,"3.366125","3.666125","7810","","Plasmanyl-PE(O-16:0/10:0)+H",0,0,0,0,0,0,"3.366125","3.666125","7810","","Plasmanyl-PE(O-16:0/10:0)+H",0,0,0,0,0,0,"3.366125","3.666125","7810","","Plasmanyl-PE(O-16:0/10:0)+H","594.44935","453.43024","299.29449","155.14305","229.17983","142.02639","3.366125","3.666125","7810"
"","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.83300138888889","5.13300138888889","5816","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.83300138888889","5.13300138888889","5816","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.83300138888889","5.13300138888889","5816","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.83300138888889","5.13300138888889","5816","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.83300138888889","5.13300138888889","5816","","Plasmanyl-PE(O-16:0/12:0)+H","622.48065","481.46154","299.29449","183.17435","257.21113","142.02639","4.83300138888889","5.13300138888889","5816"
"","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.84424027777778","5.14424027777778","13177","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.84424027777778","5.14424027777778","13177","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.84424027777778","5.14424027777778","13177","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.84424027777778","5.14424027777778","13177","","Plasmanyl-PE(O-16:0/12:0)+H",0,0,0,0,0,0,"4.84424027777778","5.14424027777778","13177","","Plasmanyl-PE(O-16:0/12:0)+H","622.48065","481.46154","299.29449","183.17435","257.21113","142.02639","4.84424027777778","5.14424027777778","13177"
"","Plasmanyl-PE(O-16:0/13:0)+H",0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PE(O-16:0/13:0)+H",0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PE(O-16:0/13:0)+H",0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PE(O-16:0/13:0)+H",0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PE(O-16:0/13:0)+H",0,0,0,0,0,0,"5.48004027777778","5.78004027777778","3177","","Plasmanyl-PE(O-16:0/13:0)+H","636.49635","495.47724","299.29449","197.19005","271.22683","142.02639","5.48004027777778","5.78004027777778","3177"
"","Plasmanyl-PE(O-16:0/14:1)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmanyl-PE(O-16:0/14:1)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmanyl-PE(O-16:0/14:1)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmanyl-PE(O-16:0/14:1)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmanyl-PE(O-16:0/14:1)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmanyl-PE(O-16:0/14:1)+H","648.49635","507.47724","299.29449","209.19005","283.22683","142.02639","4.96316363636364","5.26316363636364","10481"
"","Plasmanyl-PE(O-16:0/15:0)+H",0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PE(O-16:0/15:0)+H",0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PE(O-16:0/15:0)+H",0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PE(O-16:0/15:0)+H",0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PE(O-16:0/15:0)+H",0,0,0,0,0,0,"5.43967777777778","5.73967777777778","4536","","Plasmanyl-PE(O-16:0/15:0)+H","664.52765","523.50854","299.29449","225.22135","299.25813","142.02639","5.43967777777778","5.73967777777778","4536"
"","Plasmanyl-PE(O-16:0/16:1)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PE(O-16:0/16:1)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PE(O-16:0/16:1)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PE(O-16:0/16:1)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PE(O-16:0/16:1)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmanyl-PE(O-16:0/16:1)+H","676.52765","535.50854","299.29449","237.22135","311.25813","142.02639","8.11464074074074","8.41464074074074","16679"
"","Plasmanyl-PE(O-16:0/17:0)+H",0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PE(O-16:0/17:0)+H",0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PE(O-16:0/17:0)+H",0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PE(O-16:0/17:0)+H",0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PE(O-16:0/17:0)+H",0,0,0,0,0,0,"6.71965138888889","7.01965138888889","1066","","Plasmanyl-PE(O-16:0/17:0)+H","692.55895","551.53984","299.29449","253.25265","327.28943","142.02639","6.71965138888889","7.01965138888889","1066"
"","Plasmanyl-PE(O-16:0/17:1)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PE(O-16:0/17:1)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PE(O-16:0/17:1)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PE(O-16:0/17:1)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PE(O-16:0/17:1)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmanyl-PE(O-16:0/17:1)+H","690.54325","549.52414","299.29449","251.23695","325.27373","142.02639","6.54070833333333","6.84070833333333","1283"
"","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.33104861111111","7.63104861111111","2469","","Plasmanyl-PE(O-16:0/18:0)+H","706.57455","565.55544","299.29449","267.26825","341.30503","142.02639","7.33104861111111","7.63104861111111","2469"
