"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmenyl-PC(P-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PC(P-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PC(P-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PC(P-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PC(P-16:0/10:0)+H",0,0,0,0,0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PC(P-16:0/10:0)+H","634.4805976","451.4145576","394.2354326","335.1619326","480.3449176","462.3343576","412.24589","229.17983","155.1436","184.07332","4.01695138888889","4.31695138888889","7205"
"","Plasmenyl-PC(P-16:0/13:0)+H",0,0,0,0,0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PC(P-16:0/13:0)+H",0,0,0,0,0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PC(P-16:0/13:0)+H",0,0,0,0,0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PC(P-16:0/13:0)+H",0,0,0,0,0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PC(P-16:0/13:0)+H",0,0,0,0,0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PC(P-16:0/13:0)+H","676.5275976","493.4615576","436.2824326","377.2089326","480.3449176","462.3343576","454.29289","271.22683","197.1906","184.07332","8.11464074074074","8.41464074074074","16679"
"","Plasmenyl-PC(P-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PC(P-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PC(P-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PC(P-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PC(P-16:0/14:0)+H",0,0,0,0,0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PC(P-16:0/14:0)+H","690.5431976","507.4771576","450.2980326","391.2245326","480.3449176","462.3343576","468.30849","285.24243","211.2062","184.07332","6.54070833333333","6.84070833333333","1283"
"","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PC(P-16:0/15:0)+H","704.5588976","521.4928576","464.3137326","405.2402326","480.3449176","462.3343576","482.32419","299.25813","225.2219","184.07332","8.29211805555556","8.59211805555556","2770"
"","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PC(P-16:0/15:0)+H","704.5588976","521.4928576","464.3137326","405.2402326","480.3449176","462.3343576","482.32419","299.25813","225.2219","184.07332","7.151225","7.451225","11381"
"","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PC(P-16:0/15:0)+H",0,0,0,0,0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PC(P-16:0/15:0)+H","704.5588976","521.4928576","464.3137326","405.2402326","480.3449176","462.3343576","482.32419","299.25813","225.2219","184.07332","9.22618571428571","9.52618571428571","14373"
"","Plasmenyl-PC(P-16:0/15:1)+H",1,0,0,0,0,0,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PC(P-16:0/15:1)+H",8.352914,0,8.352914,0,0,0,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PC(P-16:0/15:1)+H",1,0,1,0,0,0,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PC(P-16:0/15:1)+H",6032.236,0,773.7566,0,0,0,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PC(P-16:0/15:1)+H",702.5429,0,462.2982,0,0,0,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PC(P-16:0/15:1)+H","702.5431976","519.4771576","462.2980326","403.2245326","480.3449176","462.3343576","480.30849","297.24243","223.2062","184.07332","8.13996527777778","8.43996527777778","1023"
"","Plasmenyl-PC(P-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PC(P-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PC(P-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PC(P-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PC(P-16:0/15:1)+H",0,0,0,0,0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PC(P-16:0/15:1)+H","702.5431976","519.4771576","462.2980326","403.2245326","480.3449176","462.3343576","480.30849","297.24243","223.2062","184.07332","7.41902083333333","7.71902083333333","15955"
"","Plasmenyl-PC(P-16:0/16:0)+H",1,0,1,1,1,0,0,1,1,1,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H",7.872663,0,7.872663,7.872663,7.872663,0,0,7.810819,7.810819,7.872663,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H",2,0,2,1,1,0,0,1,2,2,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H",740660.8,0,50734.58,5798.809,25278.18,0,0,7101.484,20423.39,6397098,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H",718.57525,0,478.3295,419.256,480.3454,0,0,313.274,239.23715,184.07355,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(P-16:0/16:0)+H","718.5744976","535.5084576","478.3293326","419.2558326","480.3449176","462.3343576","496.33979","313.27373","239.2375","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmenyl-PC(P-16:0/16:0)+H",1,1,0,0,0,0,0,0,0,1,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(P-16:0/16:0)+H",7.144014,7.144014,0,0,0,0,0,0,0,7.144014,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(P-16:0/16:0)+H",1,1,0,0,0,0,0,0,0,1,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(P-16:0/16:0)+H",178567.1,1051.531,0,0,0,0,0,0,0,1337785,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(P-16:0/16:0)+H",718.576,535.5106,0,0,0,0,0,0,0,184.0737,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(P-16:0/16:0)+H","718.5744976","535.5084576","478.3293326","419.2558326","480.3449176","462.3343576","496.33979","313.27373","239.2375","184.07332","6.86943888888889","7.16943888888889","699"
"","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",6.856732,0,6.856732,0,6.856732,0,0,0,0,6.856732,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",73595.97,0,5145.985,0,1187.525,0,0,0,0,612662.8,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",716.5604,0,476.3153,0,480.3455,0,0,0,0,184.0737,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.66181805555556","6.96181805555556","1083"
"","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","5.83862777777778","6.13862777777778","2703"
"","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",6.856732,0,6.856732,0,6.856732,0,0,0,0,6.856732,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",73595.97,0,5145.985,0,1187.525,0,0,0,0,612662.8,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",716.5604,0,476.3153,0,480.3455,0,0,0,0,184.0737,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","8.7356962962963","9.0356962962963","10132"
