"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment"
"","Plasmenyl-PE(P-16:0/10:0)+H",0,0,0,0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(P-16:0/10:0)+H",0,0,0,0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(P-16:0/10:0)+H",0,0,0,0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(P-16:0/10:0)+H",0,0,0,0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(P-16:0/10:0)+H",0,0,0,0,0,0,"0.64275","0.94275","17315","","Plasmenyl-PE(P-16:0/10:0)+H","592.43366","451.41455","297.2788","155.14305","229.17983","142.02639","0.64275","0.94275","17315"
"","Plasmenyl-PE(P-16:0/13:0)+H",0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(P-16:0/13:0)+H",0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(P-16:0/13:0)+H",0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(P-16:0/13:0)+H",0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(P-16:0/13:0)+H",0,0,0,0,0,0,"4.01695138888889","4.31695138888889","7205","","Plasmenyl-PE(P-16:0/13:0)+H","634.48066","493.46155","297.2788","197.19005","271.22683","142.02639","4.01695138888889","4.31695138888889","7205"
"","Plasmenyl-PE(P-16:0/14:0)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(P-16:0/14:0)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(P-16:0/14:0)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(P-16:0/14:0)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(P-16:0/14:0)+H",0,0,0,0,0,0,"4.96316363636364","5.26316363636364","10481","","Plasmenyl-PE(P-16:0/14:0)+H","648.49626","507.47715","297.2788","211.20565","285.24243","142.02639","4.96316363636364","5.26316363636364","10481"
"","Plasmenyl-PE(P-16:0/15:1)+H",0,0,0,0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(P-16:0/15:1)+H",0,0,0,0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(P-16:0/15:1)+H",0,0,0,0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(P-16:0/15:1)+H",0,0,0,0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(P-16:0/15:1)+H",0,0,0,0,0,0,"4.86655694444444","5.16655694444444","15469","","Plasmenyl-PE(P-16:0/15:1)+H","660.49626","519.47715","297.2788","223.20565","297.24243","142.02639","4.86655694444444","5.16655694444444","15469"
"","Plasmenyl-PE(P-16:0/16:0)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(P-16:0/16:0)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(P-16:0/16:0)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(P-16:0/16:0)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(P-16:0/16:0)+H",0,0,0,0,0,0,"8.11464074074074","8.41464074074074","16679","","Plasmenyl-PE(P-16:0/16:0)+H","676.52756","535.50845","297.2788","239.23695","313.27373","142.02639","8.11464074074074","8.41464074074074","16679"
"","Plasmenyl-PE(P-16:0/17:0)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(P-16:0/17:0)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(P-16:0/17:0)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(P-16:0/17:0)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(P-16:0/17:0)+H",0,0,0,0,0,0,"6.54070833333333","6.84070833333333","1283","","Plasmenyl-PE(P-16:0/17:0)+H","690.54326","549.52415","297.2788","253.25265","327.28943","142.02639","6.54070833333333","6.84070833333333","1283"
"","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmenyl-PE(P-16:0/18:0)+H","704.55886","563.53975","297.2788","267.26825","341.30503","142.02639","8.29211805555556","8.59211805555556","2770"
"","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmenyl-PE(P-16:0/18:0)+H","704.55886","563.53975","297.2788","267.26825","341.30503","142.02639","7.151225","7.451225","11381"
"","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(P-16:0/18:0)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmenyl-PE(P-16:0/18:0)+H","704.55886","563.53975","297.2788","267.26825","341.30503","142.02639","9.22618571428571","9.52618571428571","14373"
"","Plasmenyl-PE(P-16:0/18:1)+H",1,1,0,1,1,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(P-16:0/18:1)+H",8.352914,8.352914,0,8.352914,8.352914,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(P-16:0/18:1)+H",1,1,0,1,1,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(P-16:0/18:1)+H",6032.236,15565.86,0,5150.692,190088.1,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(P-16:0/18:1)+H",702.5429,561.5247,0,265.253,339.2896,0,"8.13996527777778","8.43996527777778","1023","","Plasmenyl-PE(P-16:0/18:1)+H","702.54326","561.52415","297.2788","265.25265","339.28943","142.02639","8.13996527777778","8.43996527777778","1023"
