"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment"
"","Plasmenyl-PS(P-16:0/10:0)+H",0,0,0,0,"1.05930277777778","1.35930277777778","3506","","Plasmenyl-PS(P-16:0/10:0)+H",0,0,0,0,"1.05930277777778","1.35930277777778","3506","","Plasmenyl-PS(P-16:0/10:0)+H",0,0,0,0,"1.05930277777778","1.35930277777778","3506","","Plasmenyl-PS(P-16:0/10:0)+H",0,0,0,0,"1.05930277777778","1.35930277777778","3506","","Plasmenyl-PS(P-16:0/10:0)+H",0,0,0,0,"1.05930277777778","1.35930277777778","3506","","Plasmenyl-PS(P-16:0/10:0)+H","636.42353","451.41458","297.27883","155.14305","1.05930277777778","1.35930277777778","3506"
"","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.57770972222222","1.87770972222222","15224","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.57770972222222","1.87770972222222","15224","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.57770972222222","1.87770972222222","15224","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.57770972222222","1.87770972222222","15224","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.57770972222222","1.87770972222222","15224","","Plasmenyl-PS(P-16:0/12:0)+H","664.45483","479.44588","297.27883","183.17435","1.57770972222222","1.87770972222222","15224"
"","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.23173472222222","1.53173472222222","15522","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.23173472222222","1.53173472222222","15522","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.23173472222222","1.53173472222222","15522","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.23173472222222","1.53173472222222","15522","","Plasmenyl-PS(P-16:0/12:0)+H",0,0,0,0,"1.23173472222222","1.53173472222222","15522","","Plasmenyl-PS(P-16:0/12:0)+H","664.45483","479.44588","297.27883","183.17435","1.23173472222222","1.53173472222222","15522"
"","Plasmenyl-PS(P-16:0/13:0)+H",1,0,0,0,"1.75607361111111","2.05607361111111","1282","","Plasmenyl-PS(P-16:0/13:0)+H",1.904868,0,0,0,"1.75607361111111","2.05607361111111","1282","","Plasmenyl-PS(P-16:0/13:0)+H",1,0,0,0,"1.75607361111111","2.05607361111111","1282","","Plasmenyl-PS(P-16:0/13:0)+H",281176.2,0,0,0,"1.75607361111111","2.05607361111111","1282","","Plasmenyl-PS(P-16:0/13:0)+H",678.4712,0,0,0,"1.75607361111111","2.05607361111111","1282","","Plasmenyl-PS(P-16:0/13:0)+H","678.47053","493.46158","297.27883","197.19005","1.75607361111111","2.05607361111111","1282"
"","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(P-16:0/13:0)+H","678.47053","493.46158","297.27883","197.19005","1.34024027777778","1.64024027777778","3050"
"","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(P-16:0/13:0)+H",0,0,0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(P-16:0/13:0)+H","678.47053","493.46158","297.27883","197.19005","8.17720416666667","8.47720416666667","13856"
"","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(P-16:0/14:1)+H","690.47053","505.46158","297.27883","209.19005","1.50405972222222","1.80405972222222","3527"
"","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(P-16:0/14:1)+H","690.47053","505.46158","297.27883","209.19005","1.16705","1.46705","4441"
"","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(P-16:0/14:1)+H","690.47053","505.46158","297.27883","209.19005","1.75341666666667","2.05341666666667","7234"
"","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(P-16:0/14:1)+H",0,0,0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(P-16:0/14:1)+H","690.47053","505.46158","297.27883","209.19005","1.46909305555556","1.76909305555556","9420"
