"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","RT at Max Intensity","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Number of Scans","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Max Intensity","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Average m/z","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment"
"","Sulfatide(d14:0_22:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","Sulfatide(d14:0_22:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","Sulfatide(d14:0_22:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","Sulfatide(d14:0_22:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","Sulfatide(d14:0_22:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","Sulfatide(d14:0_22:0)+H","810.5759532","210.22149","228.23206","198.22149","532.5451332","550.5557032","534.5607832","520.5451332","712.6085532","340.3573732","5.5424375","5.8424375","4960"
"","Sulfatide(d14:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","Sulfatide(d14:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","Sulfatide(d14:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","Sulfatide(d14:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","Sulfatide(d14:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","Sulfatide(d14:0_24:0)+H","838.6072533","210.22149","228.23206","198.22149","560.5764333","578.5870033","562.5920833","548.5764333","740.6398533","368.3886733","5.38028055555556","5.68028055555556","2872"
"","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:0_24:1)+H","836.5916033","210.22149","228.23206","198.22149","558.5607833","576.5713533","560.5764333","546.5607833","738.6242033","366.3730233","5.5220625","5.8220625","5412"
"","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:0_24:1)+H","836.5916033","210.22149","228.23206","198.22149","558.5607833","576.5713533","560.5764333","546.5607833","738.6242033","366.3730233","5.71263611111111","6.01263611111111","15223"
"","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:0_26:1)+H","864.6229034","210.22149","228.23206","198.22149","586.5920834","604.6026534","588.6077334","574.5920834","766.6555034","394.4043234","5.8500625","6.1500625","2591"
"","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:0_26:1)+H","864.6229034","210.22149","228.23206","198.22149","586.5920834","604.6026534","588.6077334","574.5920834","766.6555034","394.4043234","5.29032916666667","5.59032916666667","3468"
"","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:0_26:1)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:0_26:1)+H","864.6229034","210.22149","228.23206","198.22149","586.5920834","604.6026534","588.6077334","574.5920834","766.6555034","394.4043234","5.63189545454546","5.93189545454546","10743"
"","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","Sulfatide(d14:1_22:0)+H","808.5603031","208.20585","226.21642","196.20585","530.5294831","548.5400531","532.5451331","518.5294831","710.5929031","340.3573631","4.71455138888889","5.01455138888889","18767"
"","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","Sulfatide(d14:1_22:0)+H","808.5603031","208.20585","226.21642","196.20585","530.5294831","548.5400531","532.5451331","518.5294831","710.5929031","340.3573631","4.43436212121212","4.73436212121212","18804"
"","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","Sulfatide(d14:1_22:0)+H",0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","Sulfatide(d14:1_22:0)+H","808.5603031","208.20585","226.21642","196.20585","530.5294831","548.5400531","532.5451331","518.5294831","710.5929031","340.3573631","4.13444696969697","4.43444696969697","18885"
