"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Number of Scans","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Average m/z","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment"
"","Cer(d16:0/24:1)+H","0","1","1","0","1","10.4325819444444","10.7325819444444","365","","Cer(d16:0/24:1)+H","10.6160200","10.6160200","10.616020"," 0.000000","10.616020","10.4325819444444","10.7325819444444","365","","Cer(d16:0/24:1)+H","1","1","1","0","1","10.4325819444444","10.7325819444444","365","","Cer(d16:0/24:1)+H","    743.6637"," 724078.8000","166113.50","      0.0000","8.571880e+03","10.4325819444444","10.7325819444444","365","","Cer(d16:0/24:1)+H","622.6155","604.6035","586.5930","  0.0000","238.2532","10.4325819444444","10.7325819444444","365","","Cer(d16:0/24:1)+H","622.61328","604.6027","586.59212","256.263295","238.252715","10.4325819444444","10.7325819444444","365"
"","Cer(d16:1/22:0)+H","0","1","1","1","1","9.4545","9.7545","1448","","Cer(d16:1/22:0)+H"," 0.0000000"," 9.6606470"," 9.660647"," 9.660647"," 9.660647","9.4545","9.7545","1448","","Cer(d16:1/22:0)+H","0","1","1","1","1","9.4545","9.7545","1448","","Cer(d16:1/22:0)+H","      0.0000","  84726.5300"," 17821.57","  15189.6100","1.105895e+05","9.4545","9.7545","1448","","Cer(d16:1/22:0)+H","  0.0000","576.5723","558.5617","254.2480","236.2375","9.4545","9.7545","1448","","Cer(d16:1/22:0)+H","594.58198","576.5714","558.56082","254.247695","236.237115","9.4545","9.7545","1448"
"","Cer(d16:1/24:0)+H","0","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer(d16:1/24:0)+H","10.6160200","10.6160200","10.616020","10.616020","10.616020","10.4325819444444","10.7325819444444","365","","Cer(d16:1/24:0)+H","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer(d16:1/24:0)+H","    743.6637"," 724078.8000","166113.50","  57393.5400","4.450449e+05","10.4325819444444","10.7325819444444","365","","Cer(d16:1/24:0)+H","622.6155","604.6035","586.5930","254.2480","236.2375","10.4325819444444","10.7325819444444","365","","Cer(d16:1/24:0)+H","622.61328","604.6027","586.59212","254.247695","236.237115","10.4325819444444","10.7325819444444","365"
"","Cer(d16:1/24:1)+H","0","1","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer(d16:1/24:1)+H"," 0.0000000"," 9.7237320"," 9.723732"," 9.723732"," 9.723732","9.54950555555556","9.84950555555556","1092","","Cer(d16:1/24:1)+H","0","1","1","1","1","9.54950555555556","9.84950555555556","1092","","Cer(d16:1/24:1)+H","      0.0000"," 145523.6000"," 35235.78","    768.6838","1.684282e+04","9.54950555555556","9.84950555555556","1092","","Cer(d16:1/24:1)+H","  0.0000","602.5880","584.5775","254.2483","236.2375","9.54950555555556","9.84950555555556","1092","","Cer(d16:1/24:1)+H","620.59768","602.5871","584.57652","254.247695","236.237115","9.54950555555556","9.84950555555556","1092"
"","Cer(d16:1/25:0)+H","1","1","1","1","1","10.8764486111111","11.1764486111111","438","","Cer(d16:1/25:0)+H","10.9864900","10.9864900","10.986490","10.986490","10.986490","10.8764486111111","11.1764486111111","438","","Cer(d16:1/25:0)+H","1","2","2","2","2","10.8764486111111","11.1764486111111","438","","Cer(d16:1/25:0)+H","   2483.6190"," 413020.9000"," 93169.66","   1190.4120","1.119776e+04","10.8764486111111","11.1764486111111","438","","Cer(d16:1/25:0)+H","636.6304","618.6199","600.6092","254.2482","236.2378","10.8764486111111","11.1764486111111","438","","Cer(d16:1/25:0)+H","636.62898","618.6184","600.60782","254.247695","236.237115","10.8764486111111","11.1764486111111","438"
"","Cer(d16:1/26:0)+H","1","1","1","1","1","11.3082560606061","11.6082560606061","148","","Cer(d16:1/26:0)+H","11.4440600","11.4440600","11.444060","11.444060","11.444060","11.3082560606061","11.6082560606061","148","","Cer(d16:1/26:0)+H","3","3","3","2","3","11.3082560606061","11.6082560606061","148","","Cer(d16:1/26:0)+H","  15923.2200","2796524.0000","620834.20","   1355.4600","1.400887e+04","11.3082560606061","11.6082560606061","148","","Cer(d16:1/26:0)+H","650.6451","632.6350","614.6246","254.2476","236.2376","11.3082560606061","11.6082560606061","148","","Cer(d16:1/26:0)+H","650.64458","632.634","614.62342","254.247695","236.237115","11.3082560606061","11.6082560606061","148"
"","Cer(d17:0/24:1)+H","1","1","1","0","1","10.8764486111111","11.1764486111111","438","","Cer(d17:0/24:1)+H","10.9864900","10.9864900","10.986490"," 0.000000","10.986490","10.8764486111111","11.1764486111111","438","","Cer(d17:0/24:1)+H","1","2","2","0","2","10.8764486111111","11.1764486111111","438","","Cer(d17:0/24:1)+H","   2483.6190"," 413020.9000"," 93169.66","      0.0000","8.166816e+04","10.8764486111111","11.1764486111111","438","","Cer(d17:0/24:1)+H","636.6304","618.6199","600.6092","  0.0000","252.2690","10.8764486111111","11.1764486111111","438","","Cer(d17:0/24:1)+H","636.62898","618.6184","600.60782","270.278995","252.268415","10.8764486111111","11.1764486111111","438"
"","Cer(d17:1/23:0)+H","0","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer(d17:1/23:0)+H","10.6160200","10.6160200","10.616020","10.616020","10.616020","10.4325819444444","10.7325819444444","365","","Cer(d17:1/23:0)+H","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer(d17:1/23:0)+H","    743.6637"," 724078.8000","166113.50","  10361.9100","6.725009e+04","10.4325819444444","10.7325819444444","365","","Cer(d17:1/23:0)+H","622.6155","604.6035","586.5930","268.2635","250.2531","10.4325819444444","10.7325819444444","365","","Cer(d17:1/23:0)+H","622.61328","604.6027","586.59212","268.263295","250.252715","10.4325819444444","10.7325819444444","365"
"","Cer(d17:1/24:0)+H","1","1","1","1","1","10.8764486111111","11.1764486111111","438","","Cer(d17:1/24:0)+H","10.9864900","10.9864900","10.986490","10.986490","10.986490","10.8764486111111","11.1764486111111","438","","Cer(d17:1/24:0)+H","1","2","2","2","2","10.8764486111111","11.1764486111111","438","","Cer(d17:1/24:0)+H","   2483.6190"," 413020.9000"," 93169.66","  28518.4100","1.941120e+05","10.8764486111111","11.1764486111111","438","","Cer(d17:1/24:0)+H","636.6304","618.6199","600.6092","268.2640","250.2534","10.8764486111111","11.1764486111111","438","","Cer(d17:1/24:0)+H","636.62888","618.6183","600.60772","268.263295","250.252715","10.8764486111111","11.1764486111111","438"
"","Cer(d17:1/24:1)+H","0","1","1","1","1","10.0310402777778","10.3310402777778","1142","","Cer(d17:1/24:1)+H"," 0.0000000","10.2002700","10.200270","10.200270","10.200270","10.0310402777778","10.3310402777778","1142","","Cer(d17:1/24:1)+H","0","1","1","1","1","10.0310402777778","10.3310402777778","1142","","Cer(d17:1/24:1)+H","      0.0000"," 170842.6000"," 38676.83","   1067.3590","4.449260e+04","10.0310402777778","10.3310402777778","1142","","Cer(d17:1/24:1)+H","  0.0000","616.6035","598.5928","268.2637","250.2531","10.0310402777778","10.3310402777778","1142","","Cer(d17:1/24:1)+H","634.61328","616.6027","598.59212","268.263295","250.252715","10.0310402777778","10.3310402777778","1142"
"","Cer(d17:1/25:0)+H","1","1","1","1","1","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","11.4440600","11.4440600","11.444060","11.444060","11.444060","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","3","3","3","1","3","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","  15923.2200","2796524.0000","620834.20","   4589.4490","2.686793e+04","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","650.6451","632.6350","614.6246","268.2634","250.2532","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","650.64458","632.634","614.62342","268.263295","250.252715","11.3082560606061","11.6082560606061","148"
"","Cer(d17:1/25:0)+H","0","1","1","0","1","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","11.3153200","11.3153200","11.315320"," 0.000000","11.315320","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","1","1","1","0","1","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","    734.6305"," 227217.7000"," 49396.18","      0.0000","5.203684e+03","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","650.6444","632.6354","614.6249","  0.0000","250.2534","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","650.64458","632.634","614.62342","268.263295","250.252715","11.140325","11.440325","1404"
